date,sku_id,forecast_tons,confidence_level
2020-01-11,SKU011,19.66,0.77
2020-01-11,SKU012,13.09,0.8
2020-01-11,SKU013,17.27,0.9
2020-01-11,SKU014,11.42,0.77
2020-01-12,SKU001,27.99,0.81
2020-01-12,SKU002,27.52,0.92
2020-01-12,SKU003,7.79,0.8
2020-01-12,SKU004,30.81,0.8
2020-01-12,SKU005,21.14,0.86
2020-01-12,SKU006,30.76,0.85
2020-01-12,SKU007,20.43,0.86
2020-01-12,SKU008,16.39,0.94
2020-01-12,SKU009,12.88,0.83
2020-01-12,SKU010,10.48,0.92
2020-01-12,SKU011,20.08,0.78
2020-01-12,SKU012,16.93,0.82
2020-01-12,SKU013,17.46,0.85
2020-01-12,SKU014,13.12,0.86
2020-01-13,SKU001,38.07,0.88
2020-01-13,SKU002,26.18,0.91
2020-01-13,SKU003,9.06,0.8
2020-01-13,SKU004,31.75,0.79
2020-01-13,SKU005,21.04,0.88
2020-01-13,SKU006,30.04,0.84
2020-01-13,SKU007,20.02,0.77
2020-01-13,SKU008,12.93,0.84
2020-01-13,SKU009,14.3,0.88
2020-01-13,SKU010,8.51,0.94
2020-01-13,SKU011,22.03,0.86
2020-01-13,SKU012,15.92,0.88
2020-01-13,SKU013,15.88,0.91
2020-01-13,SKU014,13.81,0.86
2020-01-14,SKU001,35.37,0.88
2020-01-14,SKU002,23.72,0.81
2020-01-14,SKU003,8.82,0.95
2020-01-14,SKU004,29.63,0.9
2020-01-14,SKU005,16.31,0.86
2020-01-14,SKU006,31.59,0.84
2020-01-14,SKU007,16.51,0.93
2020-01-14,SKU008,15.57,0.9
2020-01-14,SKU009,12.77,0.81
2020-01-14,SKU010,10.48,0.77
2020-01-14,SKU011,19.66,0.91
2020-01-14,SKU012,15.7,0.76
2020-01-14,SKU013,16.05,0.93
2020-01-14,SKU014,12.76,0.84
2020-01-15,SKU001,35.5,0.83
2020-01-15,SKU002,27.24,0.94
2020-01-15,SKU003,8.55,0.83
2020-01-15,SKU004,27.84,0.9
2020-01-15,SKU005,20.49,0.89
2020-01-15,SKU006,26.65,0.83
2020-01-15,SKU007,18.92,0.85
2020-01-15,SKU008,15.22,0.75
2020-01-15,SKU009,13.19,0.77
2020-01-15,SKU010,10.56,0.87
2020-01-15,SKU011,20.3,0.75
2020-01-15,SKU012,15.79,0.84
2020-01-15,SKU013,17.95,0.92
2020-01-15,SKU014,12.91,0.88
2020-01-16,SKU001,37.04,0.94
2020-01-16,SKU002,21.72,0.79
2020-01-16,SKU003,9.91,0.78
2020-01-16,SKU004,31.24,0.76
2020-01-16,SKU005,20.16,0.78
2020-01-16,SKU006,29.04,0.81
2020-01-16,SKU007,19.68,0.83
2020-01-16,SKU008,15.45,0.85
2020-01-16,SKU009,12.28,0.91
2020-01-16,SKU010,9.52,0.76
2020-01-16,SKU011,19.97,0.8
2020-01-16,SKU012,15.93,0.78
2020-01-16,SKU013,18.9,0.82
2020-01-16,SKU014,12.0,0.83
2020-01-17,SKU001,33.79,0.87
2020-01-17,SKU002,22.53,0.82
2020-01-17,SKU003,7.72,0.91
2020-01-17,SKU004,25.52,0.81
2020-01-17,SKU005,18.54,0.83
2020-01-17,SKU006,25.44,0.93
2020-01-17,SKU007,18.59,0.85
2020-01-17,SKU008,13.64,0.76
2020-01-17,SKU009,12.15,0.77
2020-01-17,SKU010,9.59,0.86
2020-01-17,SKU011,17.37,0.89
2020-01-17,SKU012,15.19,0.89
2020-01-17,SKU013,17.99,0.77
2020-01-17,SKU014,11.69,0.77
2020-01-18,SKU001,34.12,0.84
2020-01-18,SKU002,23.81,0.94
2020-01-18,SKU003,7.88,0.75
2020-01-18,SKU004,30.35,0.78
2020-01-18,SKU005,16.95,0.91
2020-01-18,SKU006,28.7,0.85
2020-01-18,SKU007,18.69,0.81
2020-01-18,SKU008,12.97,0.85
2020-01-18,SKU009,10.96,0.95
2020-01-18,SKU010,9.69,0.76
2020-01-18,SKU011,20.13,0.94
2020-01-18,SKU012,14.22,0.8
2020-01-18,SKU013,17.57,0.76
2020-01-18,SKU014,10.67,0.85
2020-01-19,SKU001,37.57,0.79
2020-01-19,SKU002,29.16,0.85
2020-01-19,SKU003,8.53,0.89
2020-01-19,SKU004,33.27,0.82
2020-01-19,SKU005,19.99,0.86
2020-01-19,SKU006,27.61,0.81
2020-01-19,SKU007,21.64,0.9
2020-01-19,SKU008,16.21,0.78
2020-01-19,SKU009,13.4,0.75
2020-01-19,SKU010,11.47,0.76
2020-01-19,SKU011,18.92,0.78
2020-01-19,SKU012,17.7,0.76
2020-01-19,SKU013,19.22,0.94
2020-01-19,SKU014,14.36,0.87
2020-01-20,SKU001,34.03,0.87
2020-01-20,SKU002,28.38,0.78
2020-01-20,SKU003,8.13,0.79
2020-01-20,SKU004,31.35,0.76
2020-01-20,SKU005,22.87,0.83
2020-01-20,SKU006,28.63,0.92
2020-01-20,SKU007,19.14,0.8
2020-01-20,SKU008,18.5,0.93
2020-01-20,SKU009,12.77,0.87
2020-01-20,SKU010,10.24,0.84
2020-01-20,SKU011,20.36,0.92
2020-01-20,SKU012,13.86,0.92
2020-01-20,SKU013,18.71,0.83
2020-01-20,SKU014,12.99,0.75
2020-01-21,SKU001,36.43,0.83
2020-01-21,SKU002,27.27,0.93
2020-01-21,SKU003,10.19,0.79
2020-01-21,SKU004,34.28,0.85
2020-01-21,SKU005,21.29,0.8
2020-01-21,SKU006,31.46,0.76
2020-01-21,SKU007,20.23,0.76
2020-01-21,SKU008,13.48,0.87
2020-01-21,SKU009,14.17,0.76
2020-01-21,SKU010,10.65,0.91
2020-01-21,SKU011,17.24,0.94
2020-01-21,SKU012,16.29,0.78
2020-01-21,SKU013,16.02,0.86
2020-01-21,SKU014,13.11,0.86
2020-01-22,SKU001,37.77,0.88
2020-01-22,SKU002,25.04,0.9
2020-01-22,SKU003,8.28,0.88
2020-01-22,SKU004,30.35,0.78
2020-01-22,SKU005,20.44,0.82
2020-01-22,SKU006,30.0,0.92
2020-01-22,SKU007,20.01,0.92
2020-01-22,SKU008,17.41,0.89
2020-01-22,SKU009,13.1,0.89
2020-01-22,SKU010,10.59,0.87
2020-01-22,SKU011,22.59,0.81
2020-01-22,SKU012,15.61,0.75
2020-01-22,SKU013,18.78,0.81
2020-01-22,SKU014,12.56,0.92
2020-01-23,SKU001,34.05,0.91
2020-01-23,SKU002,27.49,0.85
2020-01-23,SKU003,6.95,0.92
2020-01-23,SKU004,32.32,0.81
2020-01-23,SKU005,20.72,0.89
2020-01-23,SKU006,28.31,0.88
2020-01-23,SKU007,18.93,0.88
2020-01-23,SKU008,15.8,0.89
2020-01-23,SKU009,13.77,0.95
2020-01-23,SKU010,10.26,0.79
2020-01-23,SKU011,20.08,0.79
2020-01-23,SKU012,17.98,0.9
2020-01-23,SKU013,18.91,0.76
2020-01-23,SKU014,12.8,0.82
2020-01-24,SKU001,36.75,0.86
2020-01-24,SKU002,24.91,0.87
2020-01-24,SKU003,7.73,0.87
2020-01-24,SKU004,31.93,0.85
2020-01-24,SKU005,18.64,0.8
2020-01-24,SKU006,27.74,0.78
2020-01-24,SKU007,16.74,0.82
2020-01-24,SKU008,15.76,0.95
2020-01-24,SKU009,11.66,0.77
2020-01-24,SKU010,7.68,0.86
2020-01-24,SKU011,18.45,0.82
2020-01-24,SKU012,15.66,0.82
2020-01-24,SKU013,14.92,0.93
2020-01-24,SKU014,11.12,0.77
2020-01-25,SKU001,29.0,0.93
2020-01-25,SKU002,20.88,0.79
2020-01-25,SKU003,7.11,0.94
2020-01-25,SKU004,29.58,0.87
2020-01-25,SKU005,17.57,0.82
2020-01-25,SKU006,31.09,0.79
2020-01-25,SKU007,17.96,0.82
2020-01-25,SKU008,14.51,0.93
2020-01-25,SKU009,10.37,0.84
2020-01-25,SKU010,8.41,0.89
2020-01-25,SKU011,18.91,0.85
2020-01-25,SKU012,16.44,0.76
2020-01-25,SKU013,15.82,0.86
2020-01-25,SKU014,10.29,0.86
2020-01-26,SKU001,40.4,0.8
2020-01-26,SKU002,28.79,0.9
2020-01-26,SKU003,8.74,0.86
2020-01-26,SKU004,30.72,0.84
2020-01-26,SKU005,22.29,0.92
2020-01-26,SKU006,26.73,0.83
2020-01-26,SKU007,19.41,0.87
2020-01-26,SKU008,13.83,0.83
2020-01-26,SKU009,12.87,0.76
2020-01-26,SKU010,11.57,0.79
2020-01-26,SKU011,24.48,0.79
2020-01-26,SKU012,15.42,0.95
2020-01-26,SKU013,19.75,0.75
2020-01-26,SKU014,10.79,0.93
2020-01-27,SKU001,35.62,0.94
2020-01-27,SKU002,27.97,0.81
2020-01-27,SKU003,9.19,0.9
2020-01-27,SKU004,33.52,0.93
2020-01-27,SKU005,20.42,0.88
2020-01-27,SKU006,27.73,0.9
2020-01-27,SKU007,18.04,0.92
2020-01-27,SKU008,16.12,0.94
2020-01-27,SKU009,11.41,0.75
2020-01-27,SKU010,10.29,0.8
2020-01-27,SKU011,22.31,0.77
2020-01-27,SKU012,16.38,0.86
2020-01-27,SKU013,17.58,0.86
2020-01-27,SKU014,13.81,0.89
2020-01-28,SKU001,37.0,0.9
2020-01-28,SKU002,29.42,0.81
2020-01-28,SKU003,8.17,0.82
2020-01-28,SKU004,30.75,0.76
2020-01-28,SKU005,23.01,0.88
2020-01-28,SKU006,26.88,0.76
2020-01-28,SKU007,20.16,0.81
2020-01-28,SKU008,13.89,0.83
2020-01-28,SKU009,12.14,0.78
2020-01-28,SKU010,10.34,0.94
2020-01-28,SKU011,22.3,0.9
2020-01-28,SKU012,13.13,0.76
2020-01-28,SKU013,20.3,0.92
2020-01-28,SKU014,12.34,0.82
2020-01-29,SKU001,41.65,0.81
2020-01-29,SKU002,25.45,0.77
2020-01-29,SKU003,8.14,0.76
2020-01-29,SKU004,28.53,0.85
2020-01-29,SKU005,21.65,0.76
2020-01-29,SKU006,34.19,0.84
2020-01-29,SKU007,18.92,0.76
2020-01-29,SKU008,16.28,0.82
2020-01-29,SKU009,11.18,0.89
2020-01-29,SKU010,11.29,0.82
2020-01-29,SKU011,20.85,0.88
2020-01-29,SKU012,15.45,0.76
2020-01-29,SKU013,18.0,0.79
2020-01-29,SKU014,12.19,0.89
2020-01-30,SKU001,39.33,0.88
2020-01-30,SKU002,28.7,0.93
2020-01-30,SKU003,7.37,0.83
2020-01-30,SKU004,29.17,0.79
2020-01-30,SKU005,21.59,0.94
2020-01-30,SKU006,27.27,0.83
2020-01-30,SKU007,17.83,0.81
2020-01-30,SKU008,15.09,0.89
2020-01-30,SKU009,13.27,0.81
2020-01-30,SKU010,11.83,0.81
2020-01-30,SKU011,21.13,0.88
2020-01-30,SKU012,16.24,0.84
2020-01-30,SKU013,20.21,0.85
2020-01-30,SKU014,12.09,0.79
2020-01-31,SKU001,35.18,0.76
2020-01-31,SKU002,27.85,0.88
2020-01-31,SKU003,7.16,0.82
2020-01-31,SKU004,29.99,0.87
2020-01-31,SKU005,19.54,0.87
2020-01-31,SKU006,24.97,0.83
2020-01-31,SKU007,18.72,0.76
2020-01-31,SKU008,13.86,0.81
2020-01-31,SKU009,10.6,0.8
2020-01-31,SKU010,9.29,0.91
2020-01-31,SKU011,20.14,0.89
2020-01-31,SKU012,13.92,0.82
2020-01-31,SKU013,14.5,0.78
2020-01-31,SKU014,13.32,0.93
2020-02-01,SKU001,36.78,0.91
2020-02-01,SKU002,24.68,0.77
2020-02-01,SKU003,7.51,0.92
2020-02-01,SKU004,28.33,0.92
2020-02-01,SKU005,17.97,0.78
2020-02-01,SKU006,27.4,0.91
2020-02-01,SKU007,20.65,0.83
2020-02-01,SKU008,14.44,0.82
2020-02-01,SKU009,12.33,0.89
2020-02-01,SKU010,9.17,0.82
2020-02-01,SKU011,19.73,0.85
2020-02-01,SKU012,13.89,0.84
2020-02-01,SKU013,17.54,0.83
2020-02-01,SKU014,12.89,0.78
2020-02-02,SKU001,38.83,0.77
2020-02-02,SKU002,29.81,0.88
2020-02-02,SKU003,9.57,0.93
2020-02-02,SKU004,31.69,0.87
2020-02-02,SKU005,24.38,0.85
2020-02-02,SKU006,31.23,0.87
2020-02-02,SKU007,19.96,0.91
2020-02-02,SKU008,15.45,0.92
2020-02-02,SKU009,14.09,0.89
2020-02-02,SKU010,11.22,0.77
2020-02-02,SKU011,20.51,0.8
2020-02-02,SKU012,16.97,0.83
2020-02-02,SKU013,17.74,0.78
2020-02-02,SKU014,11.78,0.81
2020-02-03,SKU001,37.94,0.9
2020-02-03,SKU002,26.29,0.92
2020-02-03,SKU003,8.46,0.9
2020-02-03,SKU004,35.81,0.81
2020-02-03,SKU005,21.99,0.88
2020-02-03,SKU006,29.44,0.91
2020-02-03,SKU007,17.86,0.92
2020-02-03,SKU008,16.76,0.88
2020-02-03,SKU009,13.64,0.81
2020-02-03,SKU010,11.43,0.76
2020-02-03,SKU011,21.28,0.93
2020-02-03,SKU012,14.2,0.92
2020-02-03,SKU013,21.56,0.78
2020-02-03,SKU014,11.86,0.91
2020-02-04,SKU001,37.35,0.89
2020-02-04,SKU002,28.68,0.78
2020-02-04,SKU003,9.03,0.89
2020-02-04,SKU004,30.62,0.88
2020-02-04,SKU005,25.29,0.9
2020-02-04,SKU006,29.83,0.94
2020-02-04,SKU007,19.88,0.89
2020-02-04,SKU008,16.65,0.86
2020-02-04,SKU009,13.56,0.87
2020-02-04,SKU010,11.33,0.84
2020-02-04,SKU011,20.93,0.94
2020-02-04,SKU012,12.85,0.77
2020-02-04,SKU013,16.02,0.95
2020-02-04,SKU014,13.4,0.92
2020-02-05,SKU001,34.27,0.86
2020-02-05,SKU002,27.37,0.8
2020-02-05,SKU003,9.12,0.91
2020-02-05,SKU004,33.17,0.8
2020-02-05,SKU005,21.11,0.81
2020-02-05,SKU006,30.07,0.77
2020-02-05,SKU007,22.56,0.9
2020-02-05,SKU008,16.35,0.76
2020-02-05,SKU009,11.75,0.77
2020-02-05,SKU010,10.07,0.82
2020-02-05,SKU011,23.46,0.93
2020-02-05,SKU012,14.5,0.84
2020-02-05,SKU013,18.64,0.93
2020-02-05,SKU014,13.54,0.78
2020-02-06,SKU001,38.11,0.81
2020-02-06,SKU002,27.24,0.86
2020-02-06,SKU003,9.58,0.87
2020-02-06,SKU004,27.8,0.91
2020-02-06,SKU005,22.68,0.88
2020-02-06,SKU006,34.54,0.9
2020-02-06,SKU007,19.2,0.89
2020-02-06,SKU008,15.91,0.92
2020-02-06,SKU009,13.43,0.79
2020-02-06,SKU010,10.87,0.83
2020-02-06,SKU011,22.97,0.81
2020-02-06,SKU012,16.15,0.84
2020-02-06,SKU013,19.81,0.92
2020-02-06,SKU014,11.68,0.81
2020-02-07,SKU001,34.65,0.8
2020-02-07,SKU002,24.42,0.79
2020-02-07,SKU003,8.88,0.83
2020-02-07,SKU004,31.4,0.76
2020-02-07,SKU005,20.09,0.8
2020-02-07,SKU006,28.55,0.85
2020-02-07,SKU007,17.69,0.85
2020-02-07,SKU008,14.67,0.85
2020-02-07,SKU009,12.43,0.81
2020-02-07,SKU010,9.32,0.87
2020-02-07,SKU011,18.86,0.79
2020-02-07,SKU012,12.85,0.88
2020-02-07,SKU013,17.33,0.76
2020-02-07,SKU014,11.78,0.84
2020-02-08,SKU001,35.48,0.83
2020-02-08,SKU002,22.2,0.88
2020-02-08,SKU003,7.92,0.91
2020-02-08,SKU004,31.09,0.9
2020-02-08,SKU005,17.23,0.94
2020-02-08,SKU006,25.61,0.88
2020-02-08,SKU007,19.55,0.81
2020-02-08,SKU008,14.2,0.79
2020-02-08,SKU009,13.99,0.92
2020-02-08,SKU010,11.06,0.84
2020-02-08,SKU011,18.84,0.87
2020-02-08,SKU012,15.94,0.79
2020-02-08,SKU013,19.22,0.79
2020-02-08,SKU014,11.54,0.91
2020-02-09,SKU001,39.39,0.8
2020-02-09,SKU002,26.41,0.88
2020-02-09,SKU003,8.08,0.84
2020-02-09,SKU004,36.41,0.83
2020-02-09,SKU005,21.73,0.79
2020-02-09,SKU006,31.64,0.82
2020-02-09,SKU007,21.72,0.93
2020-02-09,SKU008,17.87,0.93
2020-02-09,SKU009,12.79,0.9
2020-02-09,SKU010,9.41,0.93
2020-02-09,SKU011,20.8,0.93
2020-02-09,SKU012,13.9,0.82
2020-02-09,SKU013,21.23,0.91
2020-02-09,SKU014,13.14,0.8
2020-02-10,SKU001,35.03,0.93
2020-02-10,SKU002,24.54,0.95
2020-02-10,SKU003,8.74,0.75
2020-02-10,SKU004,37.11,0.89
2020-02-10,SKU005,24.81,0.87
2020-02-10,SKU006,27.58,0.85
2020-02-10,SKU007,18.72,0.89
2020-02-10,SKU008,18.65,0.89
2020-02-10,SKU009,12.74,0.9
2020-02-10,SKU010,10.64,0.8
2020-02-10,SKU011,19.14,0.87
2020-02-10,SKU012,16.3,0.89
2020-02-10,SKU013,21.41,0.91
2020-02-10,SKU014,11.47,0.77
2020-02-11,SKU001,35.53,0.77
2020-02-11,SKU002,30.19,0.86
2020-02-11,SKU003,9.27,0.76
2020-02-11,SKU004,31.68,0.77
2020-02-11,SKU005,26.54,0.9
2020-02-11,SKU006,32.36,0.8
2020-02-11,SKU007,22.42,0.85
2020-02-11,SKU008,16.54,0.76
2020-02-11,SKU009,12.59,0.95
2020-02-11,SKU010,10.8,0.8
2020-02-11,SKU011,19.61,0.88
2020-02-11,SKU012,17.7,0.79
2020-02-11,SKU013,19.37,0.93
2020-02-11,SKU014,13.47,0.92
2020-02-12,SKU001,37.21,0.79
2020-02-12,SKU002,28.06,0.92
2020-02-12,SKU003,7.62,0.79
2020-02-12,SKU004,34.04,0.87
2020-02-12,SKU005,20.36,0.86
2020-02-12,SKU006,30.08,0.83
2020-02-12,SKU007,19.11,0.87
2020-02-12,SKU008,16.96,0.84
2020-02-12,SKU009,11.75,0.76
2020-02-12,SKU010,10.61,0.92
2020-02-12,SKU011,24.22,0.94
2020-02-12,SKU012,15.05,0.86
2020-02-12,SKU013,17.49,0.94
2020-02-12,SKU014,12.55,0.89
2020-02-13,SKU001,36.19,0.92
2020-02-13,SKU002,31.75,0.89
2020-02-13,SKU003,9.36,0.84
2020-02-13,SKU004,29.06,0.75
2020-02-13,SKU005,21.69,0.85
2020-02-13,SKU006,31.51,0.82
2020-02-13,SKU007,19.44,0.95
2020-02-13,SKU008,13.79,0.83
2020-02-13,SKU009,13.73,0.8
2020-02-13,SKU010,10.02,0.77
2020-02-13,SKU011,18.87,0.79
2020-02-13,SKU012,14.3,0.91
2020-02-13,SKU013,19.3,0.94
2020-02-13,SKU014,13.36,0.81
2020-02-14,SKU001,30.02,0.9
2020-02-14,SKU002,24.14,0.85
2020-02-14,SKU003,7.4,0.78
2020-02-14,SKU004,31.83,0.85
2020-02-14,SKU005,18.95,0.81
2020-02-14,SKU006,29.88,0.92
2020-02-14,SKU007,18.46,0.94
2020-02-14,SKU008,13.73,0.92
2020-02-14,SKU009,11.81,0.78
2020-02-14,SKU010,9.64,0.94
2020-02-14,SKU011,21.45,0.8
2020-02-14,SKU012,15.52,0.79
2020-02-14,SKU013,17.92,0.93
2020-02-14,SKU014,11.82,0.93
2020-02-15,SKU001,34.21,0.83
2020-02-15,SKU002,24.29,0.91
2020-02-15,SKU003,8.19,0.87
2020-02-15,SKU004,35.81,0.77
2020-02-15,SKU005,20.39,0.77
2020-02-15,SKU006,27.97,0.85
2020-02-15,SKU007,18.51,0.86
2020-02-15,SKU008,12.79,0.87
2020-02-15,SKU009,11.68,0.85
2020-02-15,SKU010,10.84,0.75
2020-02-15,SKU011,18.91,0.91
2020-02-15,SKU012,15.98,0.8
2020-02-15,SKU013,17.94,0.85
2020-02-15,SKU014,11.98,0.79
2020-02-16,SKU001,35.38,0.84
2020-02-16,SKU002,27.96,0.87
2020-02-16,SKU003,8.8,0.81
2020-02-16,SKU004,31.68,0.8
2020-02-16,SKU005,24.87,0.88
2020-02-16,SKU006,35.48,0.78
2020-02-16,SKU007,18.56,0.86
2020-02-16,SKU008,15.79,0.84
2020-02-16,SKU009,14.53,0.77
2020-02-16,SKU010,10.55,0.94
2020-02-16,SKU011,22.76,0.82
2020-02-16,SKU012,16.16,0.92
2020-02-16,SKU013,19.72,0.82
2020-02-16,SKU014,12.65,0.95
2020-02-17,SKU001,40.9,0.78
2020-02-17,SKU002,32.79,0.78
2020-02-17,SKU003,8.9,0.78
2020-02-17,SKU004,34.13,0.79
2020-02-17,SKU005,22.44,0.82
2020-02-17,SKU006,26.84,0.84
2020-02-17,SKU007,19.27,0.76
2020-02-17,SKU008,15.45,0.93
2020-02-17,SKU009,14.05,0.82
2020-02-17,SKU010,10.49,0.84
2020-02-17,SKU011,24.12,0.92
2020-02-17,SKU012,15.27,0.81
2020-02-17,SKU013,21.32,0.79
2020-02-17,SKU014,12.19,0.88
2020-02-18,SKU001,39.8,0.85
2020-02-18,SKU002,26.16,0.77
2020-02-18,SKU003,8.41,0.79
2020-02-18,SKU004,38.9,0.82
2020-02-18,SKU005,20.72,0.94
2020-02-18,SKU006,31.22,0.88
2020-02-18,SKU007,21.56,0.81
2020-02-18,SKU008,14.51,0.9
2020-02-18,SKU009,13.83,0.8
2020-02-18,SKU010,12.7,0.8
2020-02-18,SKU011,20.5,0.82
2020-02-18,SKU012,16.29,0.89
2020-02-18,SKU013,19.3,0.8
2020-02-18,SKU014,14.44,0.92
2020-02-19,SKU001,38.48,0.76
2020-02-19,SKU002,30.0,0.89
2020-02-19,SKU003,10.08,0.83
2020-02-19,SKU004,38.11,0.9
2020-02-19,SKU005,25.62,0.85
2020-02-19,SKU006,29.46,0.8
2020-02-19,SKU007,22.51,0.94
2020-02-19,SKU008,17.66,0.83
2020-02-19,SKU009,13.99,0.77
2020-02-19,SKU010,11.31,0.82
2020-02-19,SKU011,22.57,0.93
2020-02-19,SKU012,16.61,0.85
