mill_id,recipe_id,period,planned_hours,planned_tons,planned_days,available_hours,utilization_pct,scenario_id
M1,R1,2026-01,104.03,4899.4,29,632.5,16.45,base
M1,R1,2026-02,27.73,1306.1599999999999,8,203.5,13.63,base
M1,R2,2020-01,411.13,22693.23,30,616.0,66.74,base
M1,R2,2020-02,407.23,22478.8,29,588.5,69.2,base
M1,R2,2020-03,431.73,23832.09,30,616.0,70.09,base
M1,R2,2020-04,472.77,26096.45,30,616.0,76.75,base
M1,R2,2020-05,566.84,31288.57,31,627.0,90.41,base
M1,R2,2020-06,411.99,22741.88,30,616.0,66.88,base
M1,R2,2020-07,461.14,25455.14,29,594.0,77.63,base
M1,R2,2020-08,383.12,21148.8,30,616.0,62.19,base
M1,R2,2020-09,375.2,20711.09,30,616.0,60.91,base
M1,R2,2020-10,386.34,21326.98,31,627.0,61.62,base
M1,R2,2020-11,372.4,20555.77,29,594.0,62.69,base
M1,R2,2020-12,399.52,22053.95,30,616.0,64.86,base
M1,R2,2021-01,429.35,23699.28,31,627.0,68.48,base
M1,R2,2021-02,389.85,21518.76,27,550.0,70.88,base
M1,R2,2021-03,458.61,25315.23,31,638.0,71.88,base
M1,R2,2021-04,529.1,29207.34,29,588.5,89.91,base
M1,R2,2021-05,520.99,28758.79,31,632.5,82.37,base
M1,R2,2021-06,394.4,21771.38,28,577.5,68.29,base
M1,R2,2021-07,487.0,26881.77,30,605.0,80.5,base
M1,R2,2021-08,408.24,22534.93,31,638.0,63.99,base
M1,R2,2021-09,335.29,18507.29,26,539.0,62.21,base
M1,R2,2021-10,370.27,20438.76,29,583.0,63.51,base
M1,R2,2021-11,394.17,21757.56,30,616.0,63.99,base
M1,R2,2021-12,424.46,23430.22,31,632.5,67.11,base
M1,R2,2022-01,409.17,22587.09,29,583.0,70.18,base
M1,R2,2022-02,414.2,22863.96,28,572.0,72.41,base
M1,R2,2022-03,423.84,23395.08,28,572.0,74.1,base
M1,R2,2022-04,586.97,32400.850000000002,29,594.0,98.82,base
M1,R2,2022-05,448.46,24755.85,30,610.5,73.46,base
M1,R2,2022-06,417.42,23041.14,29,594.0,70.27,base
M1,R2,2022-07,499.82,27588.69,30,605.0,82.61,base
M1,R2,2022-08,404.39,22321.54,30,616.0,65.65,base
M1,R2,2022-09,379.8,20965.13,29,594.0,63.94,base
M1,R2,2022-10,393.15,21702.72,30,605.0,64.98,base
M1,R2,2022-11,405.51,22382.71,30,616.0,65.83,base
M1,R2,2022-12,377.34,20829.7,27,550.0,68.61,base
M1,R2,2023-01,451.52,24924.61,31,632.5,71.39,base
M1,R2,2023-02,408.26,22535.79,27,550.0,74.23,base
M1,R2,2023-03,513.52,28347.06,30,621.5,82.63,base
M1,R2,2023-04,544.09,30034.49,29,583.0,93.33,base
M1,R2,2023-05,475.09000000000003,26224.99,31,638.0,74.47,base
M1,R2,2023-06,515.6,28460.92,29,594.0,86.8,base
M1,R2,2023-07,422.53,23322.11,30,605.0,69.84,base
M1,R2,2023-08,412.49,22768.64,30,621.5,66.37,base
M1,R2,2023-09,390.59,21561.170000000002,29,594.0,65.76,base
M1,R2,2023-10,401.74,22176.27,30,610.5,65.81,base
M1,R2,2023-11,415.68,22944.75,30,616.0,67.48,base
M1,R2,2023-12,426.73,23554.86,30,605.0,70.53,base
M1,R2,2024-01,448.13,24736.48,30,616.0,72.75,base
M1,R2,2024-02,418.76,23116.22,27,550.0,76.14,base
M1,R2,2024-03,584.91,32286.800000000003,31,627.0,93.29,base
M1,R2,2024-04,496.94,27430.23,29,594.0,83.66,base
M1,R2,2024-05,467.86,25825.47,30,621.5,75.28,base
M1,R2,2024-06,519.3,28664.309999999998,29,583.0,89.07,base
M1,R2,2024-07,421.88,23287.14,29,594.0,71.02,base
M1,R2,2024-08,419.29,23145.92,30,616.0,68.07,base
M1,R2,2024-09,400.12,22087.18,29,588.5,67.99,base
M1,R2,2024-10,412.98,22797.71,30,616.0,67.04,base
M1,R2,2024-11,376.79,20799.53,27,544.5,69.2,base
M1,R2,2024-12,441.96999999999997,24398.0,30,616.0,71.75,base
M1,R2,2025-01,474.91,26215.47,31,638.0,74.44,base
M1,R2,2025-02,428.90999999999997,23676.58,27,555.5,77.21,base
M1,R2,2025-03,599.49,33092.07,30,605.0,99.09,base
M1,R2,2025-04,486.51,26854.84,30,616.0,78.98,base
M1,R2,2025-05,494.8,27314.43,31,632.5,78.23,base
M1,R2,2025-06,532.11,29371.42,29,588.5,90.42,base
M1,R2,2025-07,462.27,25516.23,31,638.0,72.46,base
M1,R2,2025-08,440.06,24292.11,31,627.0,70.19,base
M1,R2,2025-09,425.98,23513.99,30,616.0,69.15,base
M1,R2,2025-10,435.69,24048.64,31,638.0,68.29,base
M1,R2,2025-11,417.28,23032.96,29,583.0,71.57,base
M1,R2,2025-12,449.67,24820.57,30,616.0,73.0,base
M1,R2,2026-01,482.21,26618.28,31,632.5,76.24,base
M1,R2,2026-02,161.33,8905.61,10,203.5,79.28,base
M2,R1,2020-01,64.84,2536.14,22,632.5,10.25,base
M2,R1,2020-02,48.18,1883.55,20,588.5,8.19,base
M2,R1,2020-03,44.61,1744.14,22,616.0,7.24,base
M2,R1,2020-04,33.72,1318.37,17,616.0,5.47,base
M2,R1,2020-05,15.16,592.49,6,610.5,2.48,base
M2,R1,2020-06,63.72,2491.59,22,616.0,10.34,base
M2,R1,2020-07,4.45,174.41,12,610.5,0.73,base
M2,R1,2020-08,87.2,3410.75,23,610.5,14.28,base
M2,R1,2020-09,100.3,3921.45,30,616.0,16.28,base
M2,R1,2020-10,86.68,3388.6,26,583.0,14.87,base
M2,R1,2020-11,88.84,3473.12,25,616.0,14.42,base
M2,R1,2020-12,74.83,2925.76,22,616.0,12.15,base
M2,R1,2021-01,55.46,2167.38,21,627.0,8.85,base
M2,R1,2021-02,38.87,1519.3600000000001,20,555.5,7.0,base
M2,R1,2021-03,35.35,1382.17,23,621.5,5.69,base
M2,R1,2021-04,11.51,450.53000000000003,8,544.5,2.11,base
M2,R1,2021-05,25.79,1009.03,13,610.5,4.22,base
M2,R1,2021-06,53.769999999999996,2102.26,22,616.0,8.73,base
M2,R1,2021-07,1.3,50.85,4,627.0,0.21,base
M2,R1,2021-08,79.11,3094.55,22,599.5,13.2,base
M2,R1,2021-09,87.83,3434.22,25,616.0,14.26,base
M2,R1,2021-10,85.41,3340.04,23,627.0,13.62,base
M2,R1,2021-11,81.03,3167.99,22,616.0,13.15,base
M2,R1,2021-12,64.84,2535.25,22,632.5,10.25,base
M2,R1,2022-01,46.93,1835.23,20,605.0,7.76,base
M2,R1,2022-02,28.53,1115.09,19,533.5,5.35,base
M2,R1,2022-03,25.19,984.34,22,616.0,4.09,base
M2,R1,2022-05,26.86,1050.24,19,566.5,4.74,base
M2,R1,2022-06,44.46,1738.78,22,616.0,7.22,base
M2,R1,2022-08,73.62,2879.17,23,605.0,12.17,base
M2,R1,2022-09,81.0,3166.14,22,616.0,13.15,base
M2,R1,2022-10,72.89,2849.7,21,605.0,12.05,base
M2,R1,2022-11,66.82000000000001,2612.45,21,561.0,11.91,base
M2,R1,2022-12,55.15,2156.72,21,610.5,9.03,base
M2,R1,2023-01,36.88,1441.42,21,610.5,6.04,base
M2,R1,2023-02,19.990000000000002,780.43,20,555.5,3.6,base
M2,R1,2023-03,9.44,368.32000000000005,16,638.0,1.48,base
M2,R1,2023-04,4.09,159.41,5,583.0,0.7,base
M2,R1,2023-05,19.45,761.13,22,616.0,3.16,base
M2,R1,2023-07,49.17,1922.59,21,627.0,7.84,base
M2,R1,2023-08,64.81,2533.67,22,616.0,10.52,base
M2,R1,2023-09,61.04,2386.77,19,566.5,10.77,base
M2,R1,2023-10,69.04,2699.22,21,610.5,11.31,base
M2,R1,2023-11,60.120000000000005,2349.89,22,599.5,10.03,base
M2,R1,2023-12,45.77,1789.39,21,627.0,7.3,base
M2,R1,2024-01,28.62,1118.86,22,616.0,4.65,base
M2,R1,2024-02,10.03,392.1,17,550.0,1.82,base
M2,R1,2024-03,2.19,85.65,6,588.5,0.37,base
M2,R1,2024-04,5.13,200.93,11,594.0,0.86,base
M2,R1,2024-05,13.1,511.45,21,616.0,2.13,base
M2,R1,2024-07,41.12,1607.6399999999999,23,638.0,6.45,base
M2,R1,2024-08,53.4,2088.61,21,594.0,8.99,base
M2,R1,2024-09,54.89,2145.17,20,572.0,9.6,base
M2,R1,2024-10,65.9,2575.55,23,621.5,10.6,base
M2,R1,2024-11,43.85,1714.32,18,544.5,8.05,base
M2,R1,2024-12,33.49,1309.68,21,610.5,5.49,base
M2,R1,2025-01,19.54,763.3,23,605.0,3.23,base
M2,R1,2025-02,4.89,190.88,15,572.0,0.85,base
M2,R1,2025-04,1.25,49.059999999999995,6,616.0,0.2,base
M2,R1,2025-05,4.73,184.77,12,610.5,0.77,base
M2,R1,2025-07,32.02,1251.03,23,638.0,5.02,base
M2,R1,2025-08,45.68,1786.65,21,627.0,7.29,base
M2,R1,2025-09,46.53,1819.69,20,572.0,8.13,base
M2,R1,2025-10,56.47,2208.15,22,616.0,9.17,base
M2,R1,2025-11,37.27,1457.7,19,583.0,6.39,base
M2,R1,2025-12,28.34,1109.19,22,599.5,4.73,base
M2,R1,2026-01,11.49,449.65,20,610.5,1.88,base
M2,R1,2026-02,0.26,9.94,2,203.5,0.13,base
M2,R2,2020-01,531.9,23402.09,31,632.5,84.09,base
M2,R2,2020-02,509.45,22416.09,29,588.5,86.57,base
M2,R2,2020-03,538.39,23689.28,30,616.0,87.4,base
M2,R2,2020-04,556.78,24498.41,30,616.0,90.39,base
M2,R2,2020-05,586.23,25794.62,30,610.5,96.02,base
M2,R2,2020-06,516.63,22731.73,30,616.0,83.87,base
M2,R2,2020-07,576.74,25376.34,30,610.5,94.47,base
M2,R2,2020-08,479.16999999999996,21082.15,30,610.5,78.49,base
M2,R2,2020-09,470.7,20711.09,30,616.0,76.41,base
M2,R2,2020-10,452.97,19931.62,29,583.0,77.7,base
M2,R2,2020-11,483.56,21277.47,30,616.0,78.5,base
M2,R2,2020-12,501.12,22049.98,30,616.0,81.35,base
M2,R2,2021-01,537.15,23635.61,31,627.0,85.67,base
M2,R2,2021-02,486.44,21403.75,27,555.5,87.57,base
M2,R2,2021-03,551.65,24272.62,30,621.5,88.76,base
M2,R2,2021-04,520.99,22923.01,27,544.5,95.68,base
M2,R2,2021-05,565.21,24868.510000000002,30,610.5,92.58,base
M2,R2,2021-06,528.41,23250.02,30,616.0,85.78,base
M2,R2,2021-07,603.26,26543.87,31,627.0,96.21,base
M2,R2,2021-08,480.24,21128.93,29,599.5,80.11,base
M2,R2,2021-09,483.95000000000005,21293.31,30,616.0,78.56,base
M2,R2,2021-10,497.02,21867.81,31,627.0,79.27,base
M2,R2,2021-11,494.48,21757.56,30,616.0,80.27,base
M2,R2,2021-12,532.3199999999999,23421.59,31,632.5,84.16,base
M2,R2,2022-01,527.8100000000001,23223.36,30,605.0,87.24,base
M2,R2,2022-02,476.47,20965.17,26,533.5,89.31,base
M2,R2,2022-03,557.81,24544.27,30,616.0,90.55,base
M2,R2,2022-04,544.5,23958.0,27,544.5,100.0,base
M2,R2,2022-05,511.14,22490.14,28,566.5,90.23,base
M2,R2,2022-06,538.54,23695.32,30,616.0,87.43,base
M2,R2,2022-07,593.83,26128.02,30,605.0,98.15,base
M2,R2,2022-08,493.15,21697.79,29,605.0,81.51,base
M2,R2,2022-09,492.84,21686.04,30,616.0,80.01,base
M2,R2,2022-10,493.06,21694.64,30,605.0,81.5,base
M2,R2,2022-11,459.61,20223.01,27,561.0,81.93,base
M2,R2,2022-12,523.35,23027.05,30,610.5,85.72,base
M2,R2,2023-01,542.12,23853.99,30,610.5,88.8,base
M2,R2,2023-02,505.51,22243.77,27,555.5,91.0,base
M2,R2,2023-03,604.56,26601.51,31,638.0,94.76,base
M2,R2,2023-04,571.41,25142.61,29,583.0,98.01,base
M2,R2,2023-05,563.55,24795.47,30,616.0,91.49,base
M2,R2,2023-06,616.0,27104.0,30,616.0,100.0,base
M2,R2,2023-07,545.66,24008.5,31,627.0,87.03,base
M2,R2,2023-08,515.92,22701.07,30,616.0,83.75,base
M2,R2,2023-09,471.18,20731.77,28,566.5,83.17,base
M2,R2,2023-10,504.59,22201.829999999998,30,610.5,82.65,base
M2,R2,2023-11,505.31,22234.54,29,599.5,84.29,base
M2,R2,2023-12,549.28,24168.62,31,627.0,87.6,base
M2,R2,2024-01,554.38,24392.92,30,616.0,90.0,base
M2,R2,2024-02,511.62,22511.2,27,550.0,93.02,base
M2,R2,2024-03,577.31,25401.63,29,588.5,98.1,base
M2,R2,2024-04,568.56,25016.02,29,594.0,95.72,base
M2,R2,2024-05,569.9300000000001,25077.89,30,616.0,92.52,base
M2,R2,2024-06,605.0,26620.0,30,605.0,100.0,base
M2,R2,2024-07,562.38,24744.91,31,638.0,88.15,base
M2,R2,2024-08,508.18,22359.09,29,594.0,85.55,base
M2,R2,2024-09,485.6,21367.76,28,572.0,84.9,base
M2,R2,2024-10,519.59,22863.17,30,621.5,83.6,base
M2,R2,2024-11,472.58,20794.24,27,544.5,86.79,base
M2,R2,2024-12,545.51,24002.18,30,610.5,89.35,base
M2,R2,2025-01,550.96,24243.08,29,605.0,91.07,base
M2,R2,2025-02,539.27,23728.21,28,572.0,94.28,base
M2,R2,2025-03,603.69,26562.47,30,605.0,99.78,base
M2,R2,2025-04,590.27,25971.13,30,616.0,95.82,base
M2,R2,2025-05,578.85,25469.44,30,610.5,94.82,base
M2,R2,2025-06,588.5,25894.0,29,588.5,100.0,base
M2,R2,2025-07,571.48,25146.17,31,638.0,89.57,base
M2,R2,2025-08,549.66,24184.42,31,627.0,87.67,base
M2,R2,2025-09,495.0,21779.79,28,572.0,86.54,base
M2,R2,2025-10,526.18,23151.59,30,616.0,85.42,base
M2,R2,2025-11,517.23,22757.6,29,583.0,88.72,base
M2,R2,2025-12,538.16,23677.81,29,599.5,89.77,base
M2,R2,2026-01,567.68,24977.69,30,610.5,92.99,base
M2,R2,2026-02,194.93,8577.82,10,203.5,95.79,base
M3,R2,2020-01,540.0,13122.0,29,540.0,100.0,base
M3,R2,2020-02,535.0,13000.5,29,535.0,100.0,base
M3,R2,2020-03,580.0,14094.0,31,580.0,100.0,base
M3,R2,2020-04,540.0,13122.0,29,540.0,100.0,base
M3,R2,2020-05,570.0,13851.0,31,570.0,100.0,base
M3,R2,2020-06,545.0,13243.5,29,545.0,100.0,base
M3,R2,2020-07,575.0,13972.5,31,575.0,100.0,base
M3,R2,2020-08,575.0,13972.5,31,575.0,100.0,base
M3,R2,2020-09,560.0,13608.0,30,560.0,100.0,base
M3,R2,2020-10,550.0,13365.0,30,550.0,100.0,base
M3,R2,2020-11,560.0,13608.0,30,560.0,100.0,base
M3,R2,2020-12,580.0,14094.0,31,580.0,100.0,base
M3,R2,2021-01,550.0,13365.0,30,550.0,100.0,base
M3,R2,2021-02,485.0,11785.5,26,485.0,100.0,base
M3,R2,2021-03,580.0,14094.0,31,580.0,100.0,base
M3,R2,2021-04,535.0,13000.5,29,535.0,100.0,base
M3,R2,2021-05,540.0,13122.0,29,540.0,100.0,base
M3,R2,2021-06,520.0,12636.0,28,520.0,100.0,base
M3,R2,2021-07,555.0,13486.5,30,555.0,100.0,base
M3,R2,2021-08,580.0,14094.0,31,580.0,100.0,base
M3,R2,2021-09,540.0,13122.0,29,540.0,100.0,base
M3,R2,2021-10,570.0,13851.0,31,570.0,100.0,base
M3,R2,2021-11,560.0,13608.0,30,560.0,100.0,base
M3,R2,2021-12,555.0,13486.5,30,555.0,100.0,base
M3,R2,2022-01,570.0,13851.0,31,570.0,100.0,base
M3,R2,2022-02,505.0,12271.5,27,505.0,100.0,base
M3,R2,2022-03,580.0,14094.0,31,580.0,100.0,base
M3,R2,2022-04,520.0,12636.0,28,520.0,100.0,base
M3,R2,2022-05,540.0,13122.0,29,540.0,100.0,base
M3,R2,2022-06,540.0,13122.0,29,540.0,100.0,base
M3,R2,2022-07,555.0,13486.5,30,555.0,100.0,base
M3,R2,2022-08,580.0,14094.0,31,580.0,100.0,base
M3,R2,2022-09,560.0,13608.0,30,560.0,100.0,base
M3,R2,2022-10,570.0,13851.0,31,570.0,100.0,base
M3,R2,2022-11,540.0,13122.0,29,540.0,100.0,base
M3,R2,2022-12,535.0,13000.5,29,535.0,100.0,base
M3,R2,2023-01,555.0,13486.5,30,555.0,100.0,base
M3,R2,2023-02,520.0,12636.0,28,520.0,100.0,base
M3,R2,2023-03,560.0,13608.0,30,560.0,100.0,base
M3,R2,2023-04,550.0,13365.0,30,550.0,100.0,base
M3,R2,2023-05,580.0,14094.0,31,580.0,100.0,base
M3,R2,2023-06,545.0,13243.5,29,545.0,100.0,base
M3,R2,2023-07,555.0,13486.5,30,555.0,100.0,base
M3,R2,2023-08,580.0,14094.0,31,580.0,100.0,base
M3,R2,2023-09,535.0,13000.5,29,535.0,100.0,base
M3,R2,2023-10,555.0,13486.5,30,555.0,100.0,base
M3,R2,2023-11,560.0,13608.0,30,560.0,100.0,base
M3,R2,2023-12,570.0,13851.0,31,570.0,100.0,base
M3,R2,2024-01,565.0,13729.5,30,565.0,100.0,base
M3,R2,2024-02,520.0,12636.0,28,520.0,100.0,base
M3,R2,2024-03,550.0,13365.0,30,550.0,100.0,base
M3,R2,2024-04,525.0,12757.5,28,525.0,100.0,base
M3,R2,2024-05,580.0,14094.0,31,580.0,100.0,base
M3,R2,2024-06,530.0,12879.0,29,530.0,100.0,base
M3,R2,2024-07,560.0,13608.0,30,560.0,100.0,base
M3,R2,2024-08,555.0,13486.5,30,555.0,100.0,base
M3,R2,2024-09,555.0,13486.5,30,555.0,100.0,base
M3,R2,2024-10,560.0,13608.0,30,560.0,100.0,base
M3,R2,2024-11,555.0,13486.5,30,555.0,100.0,base
M3,R2,2024-12,575.0,13972.5,31,575.0,100.0,base
M3,R2,2025-01,580.0,14094.0,31,580.0,100.0,base
M3,R2,2025-02,500.0,12150.0,27,500.0,100.0,base
M3,R2,2025-03,570.0,13851.0,31,570.0,100.0,base
M3,R2,2025-04,560.0,13608.0,30,560.0,100.0,base
M3,R2,2025-05,575.0,13972.5,31,575.0,100.0,base
M3,R2,2025-06,510.0,12393.0,27,510.0,100.0,base
M3,R2,2025-07,580.0,14094.0,31,580.0,100.0,base
M3,R2,2025-08,570.0,13851.0,31,570.0,100.0,base
M3,R2,2025-09,525.0,12757.5,28,525.0,100.0,base
M3,R2,2025-10,560.0,13608.0,30,560.0,100.0,base
M3,R2,2025-11,550.0,13365.0,30,550.0,100.0,base
M3,R2,2025-12,580.0,14094.0,31,580.0,100.0,base
M3,R2,2026-01,535.0,13000.5,29,535.0,100.0,base
M3,R2,2026-02,185.0,4495.5,10,185.0,100.0,base
