date,country,wheat_price_sar_per_ton,availability_tons
2020-01-10,Saudi Arabia,1477.6,26976
2020-01-10,Egypt,1394.17,49262
2020-01-10,Pakistan,1298.24,6306
2020-01-10,Turkey,1477.0,11776
2020-01-10,Australia,1670.41,45294
2020-01-10,Canada,1719.01,26959
2020-01-11,Saudi Arabia,1457.01,36968
2020-01-11,Egypt,1527.16,37562
2020-01-11,Pakistan,1273.13,12994
2020-01-11,Turkey,1426.72,33021
2020-01-11,Australia,1671.46,44353
2020-01-11,Canada,1651.07,22675
2020-01-12,Saudi Arabia,1509.51,28664
2020-01-12,Egypt,1343.32,6636
2020-01-12,Pakistan,1312.66,5854
2020-01-12,Turkey,1558.78,29548
2020-01-12,Australia,1709.74,26556
2020-01-12,Canada,1653.2,43559
2020-01-13,Saudi Arabia,1597.45,37970
2020-01-13,Egypt,1460.37,49215
2020-01-13,Pakistan,1342.74,7327
2020-01-13,Turkey,1424.72,45772
2020-01-13,Australia,1717.3,39698
2020-01-13,Canada,1766.79,49542
2020-01-14,Saudi Arabia,1472.31,20708
2020-01-14,Egypt,1389.28,31370
2020-01-14,Pakistan,1380.2,11546
2020-01-14,Turkey,1496.88,39754
2020-01-14,Australia,1640.49,6734
2020-01-14,Canada,1755.79,23227
2020-01-15,Saudi Arabia,1507.03,28078
2020-01-15,Egypt,1437.45,40153
2020-01-15,Pakistan,1332.05,13120
2020-01-15,Turkey,1499.83,44384
2020-01-15,Australia,1670.99,35306
2020-01-15,Canada,1655.03,21646
2020-01-16,Saudi Arabia,1555.35,46976
2020-01-16,Egypt,1434.66,21371
2020-01-16,Pakistan,1249.3,43191
2020-01-16,Turkey,1470.98,25932
2020-01-16,Australia,1673.99,48016
2020-01-16,Canada,1744.87,12400
2020-01-17,Saudi Arabia,1566.4,6154
2020-01-17,Egypt,1379.74,9499
2020-01-17,Pakistan,1324.44,17183
2020-01-17,Turkey,1478.28,34299
2020-01-17,Australia,1673.48,7557
2020-01-17,Canada,1748.32,43360
2020-01-18,Saudi Arabia,1522.24,7869
2020-01-18,Egypt,1366.57,33643
2020-01-18,Pakistan,1276.26,30876
2020-01-18,Turkey,1496.73,26295
2020-01-18,Australia,1696.05,38986
2020-01-18,Canada,1765.98,25880
2020-01-19,Saudi Arabia,1532.79,46914
2020-01-19,Egypt,1340.6,45818
2020-01-19,Pakistan,1263.32,19373
2020-01-19,Turkey,1494.88,8436
2020-01-19,Australia,1702.48,35746
2020-01-19,Canada,1714.87,37352
2020-01-20,Saudi Arabia,1506.29,34124
2020-01-20,Egypt,1525.68,32643
2020-01-20,Pakistan,1278.36,42410
2020-01-20,Turkey,1505.96,49080
2020-01-20,Australia,1595.55,48525
2020-01-20,Canada,1707.15,37635
2020-01-21,Saudi Arabia,1536.61,5699
2020-01-21,Egypt,1414.77,5190
2020-01-21,Pakistan,1279.7,24778
2020-01-21,Turkey,1443.81,31641
2020-01-21,Australia,1696.09,5569
2020-01-21,Canada,1721.38,43210
2020-01-22,Saudi Arabia,1483.13,12455
2020-01-22,Egypt,1424.64,9014
2020-01-22,Pakistan,1360.78,5784
2020-01-22,Turkey,1470.54,32751
2020-01-22,Australia,1711.81,45111
2020-01-22,Canada,1760.64,44974
2020-01-23,Saudi Arabia,1555.49,43754
2020-01-23,Egypt,1395.13,34592
2020-01-23,Pakistan,1289.97,29376
2020-01-23,Turkey,1477.1,9780
2020-01-23,Australia,1647.05,27386
2020-01-23,Canada,1714.17,18403
2020-01-24,Saudi Arabia,1457.65,38621
2020-01-24,Egypt,1500.09,33312
2020-01-24,Pakistan,1326.07,36024
2020-01-24,Turkey,1475.71,47675
2020-01-24,Australia,1590.41,19599
2020-01-24,Canada,1737.12,24508
2020-01-25,Saudi Arabia,1569.28,37093
2020-01-25,Egypt,1414.81,9142
2020-01-25,Pakistan,1290.24,44567
2020-01-25,Turkey,1487.75,33940
2020-01-25,Australia,1666.57,19098
2020-01-25,Canada,1701.41,33251
2020-01-26,Saudi Arabia,1487.34,37217
2020-01-26,Egypt,1455.24,13308
2020-01-26,Pakistan,1316.21,39699
2020-01-26,Turkey,1439.9,14204
2020-01-26,Australia,1609.69,10237
2020-01-26,Canada,1707.91,25056
2020-01-27,Saudi Arabia,1471.98,8343
2020-01-27,Egypt,1459.13,18500
2020-01-27,Pakistan,1337.5,13130
2020-01-27,Turkey,1538.47,24531
2020-01-27,Australia,1625.07,12253
2020-01-27,Canada,1731.57,24128
2020-01-28,Saudi Arabia,1495.98,49078
2020-01-28,Egypt,1412.64,18296
2020-01-28,Pakistan,1351.14,31211
2020-01-28,Turkey,1497.17,42220
2020-01-28,Australia,1738.47,37580
2020-01-28,Canada,1665.97,36843
2020-01-29,Saudi Arabia,1518.8,28289
2020-01-29,Egypt,1405.31,49690
2020-01-29,Pakistan,1370.46,14540
2020-01-29,Turkey,1474.35,21364
2020-01-29,Australia,1665.84,30471
2020-01-29,Canada,1726.37,27687
2020-01-30,Saudi Arabia,1529.23,11833
2020-01-30,Egypt,1451.17,16938
2020-01-30,Pakistan,1300.08,40506
2020-01-30,Turkey,1559.14,33074
2020-01-30,Australia,1668.62,43304
2020-01-30,Canada,1748.22,8913
2020-01-31,Saudi Arabia,1498.67,25491
2020-01-31,Egypt,1390.71,43494
2020-01-31,Pakistan,1308.69,39850
2020-01-31,Turkey,1470.98,32350
2020-01-31,Australia,1667.11,20305
2020-01-31,Canada,1705.71,14817
2020-02-01,Saudi Arabia,1476.64,25358
2020-02-01,Egypt,1393.18,8267
2020-02-01,Pakistan,1284.45,16338
2020-02-01,Turkey,1529.23,5412
2020-02-01,Australia,1672.57,28548
2020-02-01,Canada,1705.94,32384
2020-02-02,Saudi Arabia,1438.23,40735
2020-02-02,Egypt,1482.48,22506
2020-02-02,Pakistan,1255.39,39911
2020-02-02,Turkey,1428.08,28190
2020-02-02,Australia,1739.01,7914
2020-02-02,Canada,1709.32,26352
2020-02-03,Saudi Arabia,1552.94,46555
2020-02-03,Egypt,1337.46,5728
2020-02-03,Pakistan,1354.9,18923
2020-02-03,Turkey,1465.21,21779
2020-02-03,Australia,1693.3,37307
2020-02-03,Canada,1722.64,10486
2020-02-04,Saudi Arabia,1573.28,26972
2020-02-04,Egypt,1514.06,45419
2020-02-04,Pakistan,1400.88,42614
2020-02-04,Turkey,1494.52,11731
2020-02-04,Australia,1713.89,12056
2020-02-04,Canada,1748.18,16516
2020-02-05,Saudi Arabia,1518.7,44081
2020-02-05,Egypt,1476.38,32569
2020-02-05,Pakistan,1265.77,33295
2020-02-05,Turkey,1482.2,18807
2020-02-05,Australia,1690.64,6324
2020-02-05,Canada,1721.55,30731
2020-02-06,Saudi Arabia,1582.8,39578
2020-02-06,Egypt,1391.56,11588
2020-02-06,Pakistan,1388.87,30289
2020-02-06,Turkey,1444.56,33178
2020-02-06,Australia,1678.98,9748
2020-02-06,Canada,1689.64,26233
2020-02-07,Saudi Arabia,1503.13,18116
2020-02-07,Egypt,1428.5,30470
2020-02-07,Pakistan,1381.27,47956
2020-02-07,Turkey,1511.26,19683
2020-02-07,Australia,1676.07,33016
2020-02-07,Canada,1746.49,28960
2020-02-08,Saudi Arabia,1517.37,7105
2020-02-08,Egypt,1449.41,41395
2020-02-08,Pakistan,1332.93,42678
2020-02-08,Turkey,1496.67,25559
2020-02-08,Australia,1690.07,26732
2020-02-08,Canada,1731.61,30826
2020-02-09,Saudi Arabia,1512.89,11190
2020-02-09,Egypt,1440.46,22640
2020-02-09,Pakistan,1303.7,47356
2020-02-09,Turkey,1443.09,49597
2020-02-09,Australia,1716.66,29504
2020-02-09,Canada,1739.11,12114
2020-02-10,Saudi Arabia,1527.99,5667
2020-02-10,Egypt,1471.48,34703
2020-02-10,Pakistan,1350.94,41487
2020-02-10,Turkey,1440.8,24129
2020-02-10,Australia,1652.16,42732
2020-02-10,Canada,1697.43,9835
2020-02-11,Saudi Arabia,1456.57,40547
2020-02-11,Egypt,1447.58,36471
2020-02-11,Pakistan,1362.76,5009
2020-02-11,Turkey,1542.15,24255
2020-02-11,Australia,1688.76,42892
2020-02-11,Canada,1774.57,6015
2020-02-12,Saudi Arabia,1580.9,13415
2020-02-12,Egypt,1414.96,28833
2020-02-12,Pakistan,1347.36,11938
2020-02-12,Turkey,1480.27,26168
2020-02-12,Australia,1679.14,45034
2020-02-12,Canada,1783.23,13702
2020-02-13,Saudi Arabia,1530.01,34189
2020-02-13,Egypt,1432.13,17763
2020-02-13,Pakistan,1334.56,28524
2020-02-13,Turkey,1486.23,8636
2020-02-13,Australia,1671.83,43765
2020-02-13,Canada,1670.39,39816
2020-02-14,Saudi Arabia,1539.78,26949
2020-02-14,Egypt,1455.55,9544
2020-02-14,Pakistan,1377.39,41187
2020-02-14,Turkey,1546.63,12239
2020-02-14,Australia,1684.91,48125
2020-02-14,Canada,1717.93,33538
2020-02-15,Saudi Arabia,1573.07,13427
2020-02-15,Egypt,1412.81,46348
2020-02-15,Pakistan,1313.05,20254
2020-02-15,Turkey,1587.15,49238
2020-02-15,Australia,1709.33,31698
2020-02-15,Canada,1784.1,20781
2020-02-16,Saudi Arabia,1544.31,47289
2020-02-16,Egypt,1438.17,13017
2020-02-16,Pakistan,1288.85,15209
2020-02-16,Turkey,1404.61,22715
2020-02-16,Australia,1605.01,47318
2020-02-16,Canada,1814.63,9637
2020-02-17,Saudi Arabia,1576.03,42660
2020-02-17,Egypt,1450.0,44811
2020-02-17,Pakistan,1385.26,24963
2020-02-17,Turkey,1481.01,41932
2020-02-17,Australia,1686.52,9300
2020-02-17,Canada,1752.9,44037
2020-02-18,Saudi Arabia,1485.17,11254
2020-02-18,Egypt,1464.14,22144
2020-02-18,Pakistan,1431.03,11090
2020-02-18,Turkey,1443.27,16637
2020-02-18,Australia,1651.03,47679
2020-02-18,Canada,1759.79,46240
2020-02-19,Saudi Arabia,1535.41,9188
2020-02-19,Egypt,1476.12,15161
2020-02-19,Pakistan,1283.29,26508
2020-02-19,Turkey,1508.08,26969
2020-02-19,Australia,1655.3,18716
2020-02-19,Canada,1715.55,44749
2020-02-20,Saudi Arabia,1534.19,23777
2020-02-20,Egypt,1397.06,32693
2020-02-20,Pakistan,1340.77,21282
2020-02-20,Turkey,1397.16,28624
2020-02-20,Australia,1686.81,48221
2020-02-20,Canada,1702.47,15478
2020-02-21,Saudi Arabia,1489.97,9432
2020-02-21,Egypt,1440.68,34721
2020-02-21,Pakistan,1346.14,5302
2020-02-21,Turkey,1490.44,22022
2020-02-21,Australia,1687.61,33699
2020-02-21,Canada,1741.28,13150
2020-02-22,Saudi Arabia,1610.78,44577
2020-02-22,Egypt,1449.65,9621
2020-02-22,Pakistan,1374.22,43638
2020-02-22,Turkey,1508.39,6531
2020-02-22,Australia,1684.43,44650
2020-02-22,Canada,1701.33,39674
2020-02-23,Saudi Arabia,1507.65,15267
2020-02-23,Egypt,1403.89,30289
2020-02-23,Pakistan,1387.65,11229
2020-02-23,Turkey,1499.0,9632
2020-02-23,Australia,1698.8,47563
2020-02-23,Canada,1776.49,12561
2020-02-24,Saudi Arabia,1540.26,31734
2020-02-24,Egypt,1499.77,11371
2020-02-24,Pakistan,1435.55,12943
2020-02-24,Turkey,1531.16,17199
2020-02-24,Australia,1649.09,40240
2020-02-24,Canada,1732.96,24123
2020-02-25,Saudi Arabia,1578.12,15167
2020-02-25,Egypt,1517.45,15554
2020-02-25,Pakistan,1342.18,32285
2020-02-25,Turkey,1496.17,31900
2020-02-25,Australia,1672.75,32139
2020-02-25,Canada,1716.03,16613
2020-02-26,Saudi Arabia,1517.86,18918
2020-02-26,Egypt,1407.0,25119
2020-02-26,Pakistan,1241.45,15787
2020-02-26,Turkey,1518.94,14111
2020-02-26,Australia,1682.0,19043
2020-02-26,Canada,1705.26,33746
2020-02-27,Saudi Arabia,1551.52,23935
2020-02-27,Egypt,1452.97,18234
2020-02-27,Pakistan,1364.68,15954
2020-02-27,Turkey,1525.3,18703
2020-02-27,Australia,1741.71,11469
2020-02-27,Canada,1738.6,35105
2020-02-28,Saudi Arabia,1511.96,41976
2020-02-28,Egypt,1370.3,44051
2020-02-28,Pakistan,1352.88,47533
2020-02-28,Turkey,1456.32,6828
2020-02-28,Australia,1723.06,44756
2020-02-28,Canada,1742.92,25128
2020-02-29,Saudi Arabia,1513.02,21644
2020-02-29,Egypt,1357.39,27422
2020-02-29,Pakistan,1286.93,10287
2020-02-29,Turkey,1502.12,39387
2020-02-29,Australia,1726.37,24216
2020-02-29,Canada,1697.75,32534
2020-03-01,Saudi Arabia,1444.51,33253
2020-03-01,Egypt,1411.5,47078
2020-03-01,Pakistan,1350.16,24019
2020-03-01,Turkey,1496.95,13162
2020-03-01,Australia,1696.84,48925
2020-03-01,Canada,1737.15,10951
2020-03-02,Saudi Arabia,1566.97,35523
2020-03-02,Egypt,1463.69,28325
2020-03-02,Pakistan,1326.1,24282
2020-03-02,Turkey,1512.14,28930
2020-03-02,Australia,1723.49,21984
2020-03-02,Canada,1753.53,19060
2020-03-03,Saudi Arabia,1612.58,14510
2020-03-03,Egypt,1477.2,34287
2020-03-03,Pakistan,1317.15,11565
2020-03-03,Turkey,1404.99,10984
2020-03-03,Australia,1694.94,24096
2020-03-03,Canada,1811.26,7192
2020-03-04,Saudi Arabia,1535.03,23381
2020-03-04,Egypt,1477.52,41455
2020-03-04,Pakistan,1354.28,46157
2020-03-04,Turkey,1433.38,32202
2020-03-04,Australia,1635.46,26951
2020-03-04,Canada,1790.35,20374
2020-03-05,Saudi Arabia,1544.47,30053
2020-03-05,Egypt,1487.16,14446
2020-03-05,Pakistan,1378.11,37154
2020-03-05,Turkey,1535.38,22334
2020-03-05,Australia,1680.9,37265
2020-03-05,Canada,1727.97,42380
2020-03-06,Saudi Arabia,1531.45,28710
2020-03-06,Egypt,1478.52,34486
2020-03-06,Pakistan,1396.83,19382
2020-03-06,Turkey,1477.57,23755
2020-03-06,Australia,1733.9,21478
2020-03-06,Canada,1784.29,40442
2020-03-07,Saudi Arabia,1562.24,39884
2020-03-07,Egypt,1520.78,10779
2020-03-07,Pakistan,1274.56,5814
2020-03-07,Turkey,1555.55,15541
2020-03-07,Australia,1726.18,12783
2020-03-07,Canada,1754.21,49241
2020-03-08,Saudi Arabia,1537.93,38595
2020-03-08,Egypt,1447.93,32306
2020-03-08,Pakistan,1350.42,43727
2020-03-08,Turkey,1525.08,5126
2020-03-08,Australia,1706.06,49409
2020-03-08,Canada,1700.46,25530
2020-03-09,Saudi Arabia,1553.73,8797
2020-03-09,Egypt,1450.38,18718
2020-03-09,Pakistan,1333.21,41185
2020-03-09,Turkey,1477.57,6645
2020-03-09,Australia,1713.13,40840
2020-03-09,Canada,1730.81,39622
2020-03-10,Saudi Arabia,1504.51,7708
2020-03-10,Egypt,1417.51,16694
2020-03-10,Pakistan,1340.37,44224
2020-03-10,Turkey,1479.62,41980
2020-03-10,Australia,1660.08,39393
2020-03-10,Canada,1756.54,48082
2020-03-11,Saudi Arabia,1544.37,13666
2020-03-11,Egypt,1479.29,41368
2020-03-11,Pakistan,1329.25,18490
2020-03-11,Turkey,1500.3,6990
2020-03-11,Australia,1738.55,9757
2020-03-11,Canada,1719.06,24097
2020-03-12,Saudi Arabia,1536.52,36195
2020-03-12,Egypt,1403.02,26566
2020-03-12,Pakistan,1347.31,14984
2020-03-12,Turkey,1503.61,6759
2020-03-12,Australia,1697.84,29442
2020-03-12,Canada,1746.31,38719
2020-03-13,Saudi Arabia,1542.96,32952
2020-03-13,Egypt,1453.75,25908
2020-03-13,Pakistan,1391.0,28570
2020-03-13,Turkey,1481.77,23449
2020-03-13,Australia,1739.15,33865
2020-03-13,Canada,1707.53,11645
2020-03-14,Saudi Arabia,1464.68,43565
2020-03-14,Egypt,1398.19,30522
2020-03-14,Pakistan,1334.1,17342
2020-03-14,Turkey,1482.95,45806
2020-03-14,Australia,1664.67,15093
2020-03-14,Canada,1784.68,21438
2020-03-15,Saudi Arabia,1567.47,20708
2020-03-15,Egypt,1417.15,49039
2020-03-15,Pakistan,1376.92,13519
2020-03-15,Turkey,1452.89,36480
2020-03-15,Australia,1677.08,29160
2020-03-15,Canada,1767.63,25059
2020-03-16,Saudi Arabia,1534.26,39911
2020-03-16,Egypt,1439.12,26591
2020-03-16,Pakistan,1376.73,23922
2020-03-16,Turkey,1516.06,17175
2020-03-16,Australia,1764.14,26389
2020-03-16,Canada,1708.0,5822
2020-03-17,Saudi Arabia,1481.71,13705
2020-03-17,Egypt,1519.09,47880
2020-03-17,Pakistan,1327.59,42609
2020-03-17,Turkey,1540.46,20358
2020-03-17,Australia,1751.13,19596
2020-03-17,Canada,1678.38,38572
2020-03-18,Saudi Arabia,1598.57,12083
2020-03-18,Egypt,1361.91,48861
2020-03-18,Pakistan,1334.5,24063
2020-03-18,Turkey,1509.0,7106
2020-03-18,Australia,1703.27,33529
2020-03-18,Canada,1754.72,40954
2020-03-19,Saudi Arabia,1616.95,41801
2020-03-19,Egypt,1452.4,46196
2020-03-19,Pakistan,1294.56,22685
2020-03-19,Turkey,1480.11,46401
2020-03-19,Australia,1710.78,13996
2020-03-19,Canada,1773.8,21458
2020-03-20,Saudi Arabia,1553.89,31665
2020-03-20,Egypt,1501.55,43243
2020-03-20,Pakistan,1318.68,27180
2020-03-20,Turkey,1498.93,36896
2020-03-20,Australia,1771.5,45809
2020-03-20,Canada,1748.23,21725
2020-03-21,Saudi Arabia,1559.46,35987
2020-03-21,Egypt,1488.53,13646
2020-03-21,Pakistan,1396.67,40796
2020-03-21,Turkey,1509.51,29027
2020-03-21,Australia,1682.48,25609
2020-03-21,Canada,1807.42,40835
2020-03-22,Saudi Arabia,1555.26,29063
2020-03-22,Egypt,1440.47,11819
2020-03-22,Pakistan,1310.33,33769
2020-03-22,Turkey,1541.51,28150
2020-03-22,Australia,1629.18,13942
2020-03-22,Canada,1744.41,6762
2020-03-23,Saudi Arabia,1558.94,29058
2020-03-23,Egypt,1458.8,43890
2020-03-23,Pakistan,1395.47,6524
2020-03-23,Turkey,1471.37,39888
2020-03-23,Australia,1706.69,39008
2020-03-23,Canada,1736.1,5060
2020-03-24,Saudi Arabia,1524.53,18350
2020-03-24,Egypt,1522.11,29354
2020-03-24,Pakistan,1369.6,46131
2020-03-24,Turkey,1520.91,14650
2020-03-24,Australia,1724.48,31212
2020-03-24,Canada,1686.8,9090
2020-03-25,Saudi Arabia,1558.41,25491
2020-03-25,Egypt,1527.55,6341
2020-03-25,Pakistan,1401.09,7421
2020-03-25,Turkey,1527.27,44887
2020-03-25,Australia,1681.56,16918
2020-03-25,Canada,1775.03,30064
2020-03-26,Saudi Arabia,1566.98,17182
2020-03-26,Egypt,1458.1,27297
2020-03-26,Pakistan,1382.54,49813
2020-03-26,Turkey,1505.15,42198
2020-03-26,Australia,1656.55,20023
2020-03-26,Canada,1791.92,13007
2020-03-27,Saudi Arabia,1595.03,30510
2020-03-27,Egypt,1446.65,24426
2020-03-27,Pakistan,1387.4,26776
2020-03-27,Turkey,1479.22,29077
2020-03-27,Australia,1643.66,35907
2020-03-27,Canada,1769.91,18409
2020-03-28,Saudi Arabia,1553.11,36705
2020-03-28,Egypt,1490.45,25662
2020-03-28,Pakistan,1407.69,33535
2020-03-28,Turkey,1423.74,11640
2020-03-28,Australia,1781.62,12564
2020-03-28,Canada,1769.33,32345
2020-03-29,Saudi Arabia,1444.07,14323
2020-03-29,Egypt,1479.14,20229
2020-03-29,Pakistan,1306.2,5545
2020-03-29,Turkey,1405.1,42114
2020-03-29,Australia,1703.25,18919
2020-03-29,Canada,1792.58,8810
2020-03-30,Saudi Arabia,1549.02,38039
2020-03-30,Egypt,1427.78,24895
2020-03-30,Pakistan,1322.88,44837
2020-03-30,Turkey,1439.14,29574
2020-03-30,Australia,1763.17,37733
2020-03-30,Canada,1729.07,25144
2020-03-31,Saudi Arabia,1537.99,37413
2020-03-31,Egypt,1417.81,39801
2020-03-31,Pakistan,1309.83,45600
2020-03-31,Turkey,1469.29,30280
2020-03-31,Australia,1690.2,14155
2020-03-31,Canada,1714.67,36883
2020-04-01,Saudi Arabia,1572.52,5806
2020-04-01,Egypt,1388.69,45970
2020-04-01,Pakistan,1346.11,20934
2020-04-01,Turkey,1502.17,43197
2020-04-01,Australia,1711.56,16593
2020-04-01,Canada,1848.21,45042
2020-04-02,Saudi Arabia,1529.28,32376
2020-04-02,Egypt,1426.02,48513
2020-04-02,Pakistan,1324.48,13245
2020-04-02,Turkey,1547.54,12214
2020-04-02,Australia,1703.84,23297
2020-04-02,Canada,1689.98,35448
2020-04-03,Saudi Arabia,1535.01,30425
2020-04-03,Egypt,1403.0,31685
2020-04-03,Pakistan,1439.37,38660
2020-04-03,Turkey,1473.31,15222
2020-04-03,Australia,1694.62,28874
2020-04-03,Canada,1794.97,48642
2020-04-04,Saudi Arabia,1571.64,20585
2020-04-04,Egypt,1493.24,30559
2020-04-04,Pakistan,1340.48,46873
2020-04-04,Turkey,1503.98,34125
2020-04-04,Australia,1736.2,6591
2020-04-04,Canada,1751.33,16303
2020-04-05,Saudi Arabia,1577.11,39080
2020-04-05,Egypt,1523.7,25695
2020-04-05,Pakistan,1373.46,36290
2020-04-05,Turkey,1544.18,23088
2020-04-05,Australia,1653.08,31292
2020-04-05,Canada,1720.13,25670
2020-04-06,Saudi Arabia,1512.62,14017
2020-04-06,Egypt,1473.53,7808
2020-04-06,Pakistan,1334.94,41509
2020-04-06,Turkey,1466.41,47534
2020-04-06,Australia,1714.5,31588
2020-04-06,Canada,1734.02,31123
2020-04-07,Saudi Arabia,1557.31,39832
2020-04-07,Egypt,1451.52,36966
2020-04-07,Pakistan,1340.81,15706
2020-04-07,Turkey,1507.25,49486
2020-04-07,Australia,1721.18,6435
2020-04-07,Canada,1751.58,38339
2020-04-08,Saudi Arabia,1571.84,21661
2020-04-08,Egypt,1421.4,18507
2020-04-08,Pakistan,1370.3,12491
2020-04-08,Turkey,1474.57,19859
2020-04-08,Australia,1704.87,25953
2020-04-08,Canada,1721.55,16383
2020-04-09,Saudi Arabia,1527.08,40196
2020-04-09,Egypt,1464.52,32083
2020-04-09,Pakistan,1344.19,32570
2020-04-09,Turkey,1418.02,32082
2020-04-09,Australia,1677.23,31029
2020-04-09,Canada,1824.68,18025
2020-04-10,Saudi Arabia,1500.1,46846
2020-04-10,Egypt,1442.19,40612
2020-04-10,Pakistan,1308.45,18261
2020-04-10,Turkey,1527.63,8093
2020-04-10,Australia,1716.53,33602
2020-04-10,Canada,1759.03,39450
2020-04-11,Saudi Arabia,1585.06,24982
2020-04-11,Egypt,1440.88,16425
2020-04-11,Pakistan,1299.08,43158
2020-04-11,Turkey,1556.9,28019
2020-04-11,Australia,1719.37,44341
2020-04-11,Canada,1747.99,10776
2020-04-12,Saudi Arabia,1614.04,44110
2020-04-12,Egypt,1349.73,22343
2020-04-12,Pakistan,1369.53,20251
2020-04-12,Turkey,1488.71,5526
2020-04-12,Australia,1657.75,16536
2020-04-12,Canada,1746.99,33541
2020-04-13,Saudi Arabia,1521.74,43565
2020-04-13,Egypt,1520.84,14208
2020-04-13,Pakistan,1366.59,40201
2020-04-13,Turkey,1458.99,21967
2020-04-13,Australia,1680.95,41935
2020-04-13,Canada,1673.22,31589
2020-04-14,Saudi Arabia,1530.51,46125
2020-04-14,Egypt,1351.65,31143
2020-04-14,Pakistan,1397.21,25581
2020-04-14,Turkey,1528.29,35087
2020-04-14,Australia,1736.2,14768
2020-04-14,Canada,1782.45,48408
2020-04-15,Saudi Arabia,1554.91,13783
2020-04-15,Egypt,1411.93,34781
2020-04-15,Pakistan,1324.02,14127
2020-04-15,Turkey,1452.54,27431
2020-04-15,Australia,1739.32,23333
2020-04-15,Canada,1752.06,28116
2020-04-16,Saudi Arabia,1541.01,48201
2020-04-16,Egypt,1418.9,20525
2020-04-16,Pakistan,1420.08,21369
2020-04-16,Turkey,1523.81,8041
2020-04-16,Australia,1702.24,11090
2020-04-16,Canada,1737.21,43850
2020-04-17,Saudi Arabia,1556.36,31015
2020-04-17,Egypt,1483.15,38320
2020-04-17,Pakistan,1375.86,31289
2020-04-17,Turkey,1513.68,8389
2020-04-17,Australia,1718.66,40198
2020-04-17,Canada,1800.26,31630
2020-04-18,Saudi Arabia,1573.74,16653
2020-04-18,Egypt,1526.75,32961
2020-04-18,Pakistan,1343.65,26288
2020-04-18,Turkey,1557.63,34545
2020-04-18,Australia,1765.11,12179
2020-04-18,Canada,1729.27,15326
2020-04-19,Saudi Arabia,1535.49,22650
2020-04-19,Egypt,1533.96,31745
2020-04-19,Pakistan,1333.28,9780
2020-04-19,Turkey,1416.35,23311
2020-04-19,Australia,1689.98,31911
2020-04-19,Canada,1789.13,29363
2020-04-20,Saudi Arabia,1616.24,5661
2020-04-20,Egypt,1464.59,42412
2020-04-20,Pakistan,1302.02,33706
2020-04-20,Turkey,1519.71,44004
2020-04-20,Australia,1643.35,35027
2020-04-20,Canada,1732.33,12005
2020-04-21,Saudi Arabia,1543.17,39839
2020-04-21,Egypt,1466.96,13595
2020-04-21,Pakistan,1402.22,41221
2020-04-21,Turkey,1527.14,44443
2020-04-21,Australia,1821.04,20282
2020-04-21,Canada,1760.74,9703
2020-04-22,Saudi Arabia,1530.16,36585
2020-04-22,Egypt,1449.6,27015
2020-04-22,Pakistan,1406.93,16171
2020-04-22,Turkey,1562.16,17201
2020-04-22,Australia,1645.45,38297
2020-04-22,Canada,1684.59,24342
2020-04-23,Saudi Arabia,1576.19,31723
2020-04-23,Egypt,1417.52,28279
