date,flour_type,required_bulk_tons
2020-01-28,Superior,110.02
2020-01-28,Superior Brown,10.34
2020-01-29,Bakery,80.37
2020-01-29,Brown,27.46
2020-01-29,Patent,53.11
2020-01-29,Superior,111.53999999999999
2020-01-29,Superior Brown,11.29
2020-01-30,Bakery,83.06
2020-01-30,Brown,28.36
2020-01-30,Patent,45.099999999999994
2020-01-30,Superior,112.77
2020-01-30,Superior Brown,11.83
2020-01-31,Bakery,77.35
2020-01-31,Brown,24.46
2020-01-31,Patent,43.69
2020-01-31,Superior,104.25
2020-01-31,Superior Brown,9.29
2020-02-01,Bakery,76.72999999999999
2020-02-01,Brown,26.77
2020-02-01,Patent,48.05
2020-02-01,Superior,102.59
2020-02-01,Superior Brown,9.17
2020-02-02,Bakery,85.59
2020-02-02,Brown,29.54
2020-02-02,Patent,51.19
2020-02-02,Superior,115.69
2020-02-02,Superior Brown,11.22
2020-02-03,Bakery,91.22
2020-02-03,Brown,30.400000000000002
2020-02-03,Patent,47.3
2020-02-03,Superior,108.17
2020-02-03,Superior Brown,11.43
2020-02-04,Bakery,85.33
2020-02-04,Brown,30.21
2020-02-04,Patent,49.709999999999994
2020-02-04,Superior,108.84
2020-02-04,Superior Brown,11.33
2020-02-05,Bakery,86.46000000000001
2020-02-05,Brown,28.1
2020-02-05,Patent,52.629999999999995
2020-02-05,Superior,108.72
2020-02-05,Superior Brown,10.07
2020-02-06,Bakery,81.97
2020-02-06,Brown,29.34
2020-02-06,Patent,53.739999999999995
2020-02-06,Superior,114.05
2020-02-06,Superior Brown,10.87
2020-02-07,Bakery,80.6
2020-02-07,Brown,27.1
2020-02-07,Patent,46.24
2020-02-07,Superior,99.66
2020-02-07,Superior Brown,9.32
2020-02-08,Bakery,79.08
2020-02-08,Brown,28.189999999999998
2020-02-08,Patent,45.16
2020-02-08,Superior,100.38
2020-02-08,Superior Brown,11.06
2020-02-09,Bakery,92.50999999999999
2020-02-09,Brown,30.66
2020-02-09,Patent,53.36
2020-02-09,Superior,108.58
2020-02-09,Superior Brown,9.41
2020-02-10,Bakery,94.8
2020-02-10,Brown,31.39
2020-02-10,Patent,46.3
2020-02-10,Superior,103.75
2020-02-10,Superior Brown,10.64
2020-02-11,Bakery,91.06
2020-02-11,Brown,29.13
2020-02-11,Patent,54.78
2020-02-11,Superior,112.3
2020-02-11,Superior Brown,10.8
2020-02-12,Bakery,84.44
2020-02-12,Brown,28.71
2020-02-12,Patent,49.19
2020-02-12,Superior,112.16
2020-02-12,Superior Brown,10.61
2020-02-13,Bakery,83.41
2020-02-13,Brown,27.52
2020-02-13,Patent,50.95
2020-02-13,Superior,110.47
2020-02-13,Superior Brown,10.02
2020-02-14,Bakery,80.52
2020-02-14,Brown,25.54
2020-02-14,Patent,48.34
2020-02-14,Superior,98.53
2020-02-14,Superior Brown,9.64
2020-02-15,Bakery,86.12
2020-02-15,Brown,24.47
2020-02-15,Patent,46.480000000000004
2020-02-15,Superior,101.58
2020-02-15,Superior Brown,10.84
2020-02-16,Bakery,88.92
2020-02-16,Brown,30.32
2020-02-16,Patent,54.03999999999999
2020-02-16,Superior,111.06
2020-02-16,Superior Brown,10.55
2020-02-17,Bakery,90.08
2020-02-17,Brown,29.5
2020-02-17,Patent,46.11
2020-02-17,Superior,121.98
2020-02-17,Superior Brown,10.49
2020-02-18,Bakery,93.36
2020-02-18,Brown,28.34
2020-02-18,Patent,52.78
2020-02-18,Superior,111.16
2020-02-18,Superior Brown,12.7
2020-02-19,Bakery,96.66
2020-02-19,Brown,31.65
2020-02-19,Patent,51.97
2020-02-19,Superior,117.74
2020-02-19,Superior Brown,11.31
2020-02-20,Bakery,92.8
2020-02-20,Brown,30.56
2020-02-20,Patent,50.58
2020-02-20,Superior,112.16
2020-02-20,Superior Brown,10.8
2020-02-21,Bakery,76.09
2020-02-21,Brown,27.369999999999997
2020-02-21,Patent,43.56
2020-02-21,Superior,108.37
2020-02-21,Superior Brown,8.46
2020-02-22,Bakery,74.34
2020-02-22,Brown,26.740000000000002
2020-02-22,Patent,43.25
2020-02-22,Superior,100.39999999999999
2020-02-22,Superior Brown,10.86
2020-02-23,Bakery,92.01
2020-02-23,Brown,29.32
2020-02-23,Patent,50.34
2020-02-23,Superior,116.89
2020-02-23,Superior Brown,12.09
2020-02-24,Bakery,91.36
2020-02-24,Brown,28.52
2020-02-24,Patent,50.769999999999996
2020-02-24,Superior,114.03999999999999
2020-02-24,Superior Brown,10.38
2020-02-25,Bakery,90.3
2020-02-25,Brown,31.520000000000003
2020-02-25,Patent,47.35
2020-02-25,Superior,119.42
2020-02-25,Superior Brown,10.42
2020-02-26,Bakery,87.64
2020-02-26,Brown,32.010000000000005
2020-02-26,Patent,52.120000000000005
2020-02-26,Superior,116.34
2020-02-26,Superior Brown,10.6
2020-02-27,Bakery,92.1
2020-02-27,Brown,26.85
2020-02-27,Patent,54.0
2020-02-27,Superior,117.18
2020-02-27,Superior Brown,11.87
2020-02-28,Bakery,82.73
2020-02-28,Brown,25.91
2020-02-28,Patent,52.96
2020-02-28,Superior,106.39
2020-02-28,Superior Brown,11.19
2020-02-29,Bakery,84.68
2020-02-29,Brown,27.71
2020-02-29,Patent,51.69
2020-02-29,Superior,108.2
2020-02-29,Superior Brown,9.57
2020-03-01,Bakery,93.38
2020-03-01,Brown,31.3
2020-03-01,Patent,56.25
2020-03-01,Superior,119.03999999999999
2020-03-01,Superior Brown,11.97
2020-03-02,Bakery,91.25
2020-03-02,Brown,32.05
2020-03-02,Patent,51.260000000000005
2020-03-02,Superior,116.52
2020-03-02,Superior Brown,12.66
2020-03-03,Bakery,94.89
2020-03-03,Brown,27.240000000000002
2020-03-03,Patent,56.06
2020-03-03,Superior,119.46
2020-03-03,Superior Brown,10.86
2020-03-04,Bakery,89.89
2020-03-04,Brown,29.94
2020-03-04,Patent,53.08
2020-03-04,Superior,109.39
2020-03-04,Superior Brown,10.49
2020-03-05,Bakery,89.85
2020-03-05,Brown,33.0
2020-03-05,Patent,51.769999999999996
2020-03-05,Superior,113.14
2020-03-05,Superior Brown,12.09
2020-03-06,Bakery,77.21000000000001
2020-03-06,Brown,28.4
2020-03-06,Patent,45.42
2020-03-06,Superior,110.26
2020-03-06,Superior Brown,10.56
2020-03-07,Bakery,87.17
2020-03-07,Brown,28.34
2020-03-07,Patent,47.57
2020-03-07,Superior,113.85
2020-03-07,Superior Brown,10.73
2020-03-08,Bakery,84.44
2020-03-08,Brown,34.32
2020-03-08,Patent,50.76
2020-03-08,Superior,113.34
2020-03-08,Superior Brown,12.97
2020-03-09,Bakery,87.57
2020-03-09,Brown,29.02
2020-03-09,Patent,53.2
2020-03-09,Superior,121.7
2020-03-09,Superior Brown,12.45
2020-03-10,Bakery,93.78
2020-03-10,Brown,35.14
2020-03-10,Patent,58.41
2020-03-10,Superior,121.75999999999999
2020-03-10,Superior Brown,10.27
2020-03-11,Bakery,97.6
2020-03-11,Brown,31.560000000000002
2020-03-11,Patent,55.33
2020-03-11,Superior,133.44
2020-03-11,Superior Brown,12.46
2020-03-12,Bakery,95.0
2020-03-12,Brown,31.05
2020-03-12,Patent,50.62
2020-03-12,Superior,129.52
2020-03-12,Superior Brown,10.92
2020-03-13,Bakery,82.4
2020-03-13,Brown,27.81
2020-03-13,Patent,49.14
2020-03-13,Superior,99.68
2020-03-13,Superior Brown,12.06
2020-03-14,Bakery,82.44
2020-03-14,Brown,29.22
2020-03-14,Patent,44.34
2020-03-14,Superior,104.27
2020-03-14,Superior Brown,9.31
2020-03-15,Bakery,92.14999999999999
2020-03-15,Brown,29.67
2020-03-15,Patent,51.120000000000005
2020-03-15,Superior,112.59
2020-03-15,Superior Brown,12.14
2020-03-16,Bakery,90.08
2020-03-16,Brown,30.44
2020-03-16,Patent,50.05
2020-03-16,Superior,124.85
2020-03-16,Superior Brown,12.04
2020-03-17,Bakery,91.62
2020-03-17,Brown,26.6
2020-03-17,Patent,52.43
2020-03-17,Superior,116.03
2020-03-17,Superior Brown,11.5
2020-03-18,Bakery,86.34
2020-03-18,Brown,32.36
2020-03-18,Patent,52.489999999999995
2020-03-18,Superior,120.22
2020-03-18,Superior Brown,10.58
2020-03-19,Bakery,89.15
2020-03-19,Brown,30.13
2020-03-19,Patent,53.84
2020-03-19,Superior,113.31
2020-03-19,Superior Brown,11.34
2020-03-20,Bakery,79.16
2020-03-20,Brown,25.54
2020-03-20,Patent,44.94
2020-03-20,Superior,107.11
2020-03-20,Superior Brown,10.53
2020-03-21,Bakery,77.08
2020-03-21,Brown,27.7
2020-03-21,Patent,46.59
2020-03-21,Superior,108.1
2020-03-21,Superior Brown,11.0
2020-03-22,Bakery,89.49000000000001
2020-03-22,Brown,32.67
2020-03-22,Patent,54.5
2020-03-22,Superior,119.32000000000001
2020-03-22,Superior Brown,13.36
2020-03-23,Bakery,94.84
2020-03-23,Brown,31.86
2020-03-23,Patent,52.15
2020-03-23,Superior,114.27
2020-03-23,Superior Brown,13.1
2020-03-24,Bakery,95.98
2020-03-24,Brown,30.63
2020-03-24,Patent,48.01
2020-03-24,Superior,117.65
2020-03-24,Superior Brown,12.38
2020-03-25,Bakery,87.94
2020-03-25,Brown,31.720000000000002
2020-03-25,Patent,53.33
2020-03-25,Superior,114.22
2020-03-25,Superior Brown,11.56
2020-03-26,Bakery,92.26
2020-03-26,Brown,30.4
2020-03-26,Patent,53.03
2020-03-26,Superior,129.37
2020-03-26,Superior Brown,12.23
2020-03-27,Bakery,80.8
2020-03-27,Brown,24.5
2020-03-27,Patent,46.81
2020-03-27,Superior,108.36999999999999
2020-03-27,Superior Brown,11.11
2020-03-28,Bakery,83.2
2020-03-28,Brown,31.450000000000003
2020-03-28,Patent,46.69
2020-03-28,Superior,112.09
2020-03-28,Superior Brown,10.87
2020-03-29,Bakery,90.95
2020-03-29,Brown,35.22
2020-03-29,Patent,54.449999999999996
2020-03-29,Superior,124.87
2020-03-29,Superior Brown,10.61
2020-03-30,Bakery,96.95
2020-03-30,Brown,29.990000000000002
2020-03-30,Patent,56.11
2020-03-30,Superior,117.42
2020-03-30,Superior Brown,10.79
2020-03-31,Bakery,88.0
2020-03-31,Brown,31.759999999999998
2020-03-31,Patent,54.28
2020-03-31,Superior,116.78
2020-03-31,Superior Brown,11.25
2020-04-01,Bakery,90.82
2020-04-01,Brown,32.97
2020-04-01,Patent,58.2
2020-04-01,Superior,126.04
2020-04-01,Superior Brown,12.4
2020-04-02,Bakery,90.33
2020-04-02,Brown,29.68
2020-04-02,Patent,54.76
2020-04-02,Superior,122.78999999999999
2020-04-02,Superior Brown,12.86
2020-04-03,Bakery,86.81
2020-04-03,Brown,26.29
2020-04-03,Patent,48.63
2020-04-03,Superior,110.4
2020-04-03,Superior Brown,10.26
2020-04-04,Bakery,86.88
2020-04-04,Brown,27.96
2020-04-04,Patent,50.83
2020-04-04,Superior,106.81
2020-04-04,Superior Brown,10.55
2020-04-05,Bakery,96.31
2020-04-05,Brown,31.35
2020-04-05,Patent,54.54
2020-04-05,Superior,123.44
2020-04-05,Superior Brown,12.47
2020-04-06,Bakery,91.54
2020-04-06,Brown,30.229999999999997
2020-04-06,Patent,57.91
2020-04-06,Superior,115.5
2020-04-06,Superior Brown,11.85
2020-04-07,Bakery,90.64
2020-04-07,Brown,31.519999999999996
2020-04-07,Patent,54.83
2020-04-07,Superior,121.00999999999999
2020-04-07,Superior Brown,10.51
2020-04-08,Bakery,93.48
2020-04-08,Brown,28.310000000000002
2020-04-08,Patent,44.89
2020-04-08,Superior,111.05000000000001
2020-04-08,Superior Brown,10.27
2020-04-09,Bakery,85.98
2020-04-09,Brown,30.310000000000002
2020-04-09,Patent,51.370000000000005
2020-04-09,Superior,111.99000000000001
2020-04-09,Superior Brown,11.16
2020-04-10,Bakery,81.0
2020-04-10,Brown,29.03
2020-04-10,Patent,46.96
2020-04-10,Superior,110.19
2020-04-10,Superior Brown,9.12
2020-04-11,Bakery,87.1
2020-04-11,Brown,26.75
2020-04-11,Patent,47.06
2020-04-11,Superior,104.82
2020-04-11,Superior Brown,9.75
2020-04-12,Bakery,91.67
2020-04-12,Brown,33.489999999999995
2020-04-12,Patent,55.21000000000001
2020-04-12,Superior,118.83
2020-04-12,Superior Brown,12.5
2020-04-13,Bakery,95.75
2020-04-13,Brown,31.78
2020-04-13,Patent,49.959999999999994
2020-04-13,Superior,116.73
2020-04-13,Superior Brown,11.31
2020-04-14,Bakery,97.13
2020-04-14,Brown,27.16
2020-04-14,Patent,48.1
2020-04-14,Superior,111.7
2020-04-14,Superior Brown,11.44
2020-04-15,Bakery,89.61
2020-04-15,Brown,32.5
2020-04-15,Patent,56.989999999999995
2020-04-15,Superior,119.19
2020-04-15,Superior Brown,12.09
2020-04-16,Bakery,89.97
2020-04-16,Brown,28.1
2020-04-16,Patent,51.94
2020-04-16,Superior,115.10000000000001
2020-04-16,Superior Brown,11.73
2020-04-17,Bakery,77.42
2020-04-17,Brown,27.060000000000002
2020-04-17,Patent,44.93
2020-04-17,Superior,106.93
2020-04-17,Superior Brown,9.52
2020-04-18,Bakery,85.33
2020-04-18,Brown,27.73
2020-04-18,Patent,46.4
2020-04-18,Superior,110.48
2020-04-18,Superior Brown,9.97
2020-04-19,Bakery,94.41999999999999
2020-04-19,Brown,29.22
2020-04-19,Patent,52.99
2020-04-19,Superior,116.37
2020-04-19,Superior Brown,11.45
2020-04-20,Bakery,95.31
2020-04-20,Brown,31.200000000000003
2020-04-20,Patent,54.91
2020-04-20,Superior,114.09
2020-04-20,Superior Brown,11.81
2020-04-21,Bakery,92.97999999999999
2020-04-21,Brown,31.509999999999998
2020-04-21,Patent,53.6
2020-04-21,Superior,122.89
2020-04-21,Superior Brown,11.17
2020-04-22,Bakery,86.67999999999999
2020-04-22,Brown,30.89
2020-04-22,Patent,48.230000000000004
2020-04-22,Superior,128.52
2020-04-22,Superior Brown,12.28
2020-04-23,Bakery,94.37
2020-04-23,Brown,31.93
2020-04-23,Patent,55.510000000000005
2020-04-23,Superior,112.29
2020-04-23,Superior Brown,10.88
2020-04-24,Bakery,213.81
2020-04-24,Brown,70.44
2020-04-24,Patent,119.56
2020-04-24,Superior,258.37
2020-04-24,Superior Brown,24.18
2020-04-25,Bakery,213.42000000000002
2020-04-25,Brown,65.87
2020-04-25,Patent,133.01
2020-04-25,Superior,255.75
2020-04-25,Superior Brown,23.61
2020-04-26,Bakery,226.11
2020-04-26,Brown,87.45
2020-04-26,Patent,139.37
2020-04-26,Superior,287.68
2020-04-26,Superior Brown,31.4
2020-04-27,Bakery,236.12
2020-04-27,Brown,78.87
2020-04-27,Patent,137.05
2020-04-27,Superior,293.65
2020-04-27,Superior Brown,29.99
2020-04-28,Bakery,221.82999999999998
2020-04-28,Brown,74.13
2020-04-28,Patent,133.11
2020-04-28,Superior,289.0
2020-04-28,Superior Brown,32.25
2020-04-29,Bakery,228.04999999999998
2020-04-29,Brown,85.87
2020-04-29,Patent,138.16
2020-04-29,Superior,276.66
2020-04-29,Superior Brown,26.79
2020-04-30,Bakery,229.01
2020-04-30,Brown,74.85
2020-04-30,Patent,123.61999999999999
2020-04-30,Superior,284.62
2020-04-30,Superior Brown,27.16
2020-05-01,Bakery,200.13
2020-05-01,Brown,64.99000000000001
2020-05-01,Patent,128.36
2020-05-01,Superior,270.37
2020-05-01,Superior Brown,22.14
2020-05-02,Bakery,203.38
2020-05-02,Brown,67.63
2020-05-02,Patent,133.33
2020-05-02,Superior,279.21999999999997
2020-05-02,Superior Brown,26.48
2020-05-03,Bakery,238.3
2020-05-03,Brown,82.91
2020-05-03,Patent,130.97
2020-05-03,Superior,281.64
2020-05-03,Superior Brown,25.52
2020-05-04,Bakery,227.32999999999998
2020-05-04,Brown,80.28999999999999
2020-05-04,Patent,121.95
2020-05-04,Superior,296.01
2020-05-04,Superior Brown,25.37
2020-05-05,Bakery,238.06
2020-05-05,Brown,71.88
2020-05-05,Patent,119.85
2020-05-05,Superior,297.9
2020-05-05,Superior Brown,31.11
2020-05-06,Bakery,225.61
2020-05-06,Brown,83.38
2020-05-06,Patent,137.12
2020-05-06,Superior,312.27
2020-05-06,Superior Brown,29.57
2020-05-07,Bakery,226.51
2020-05-07,Brown,76.72
2020-05-07,Patent,117.4
2020-05-07,Superior,272.21
2020-05-07,Superior Brown,29.72
2020-05-08,Bakery,211.89999999999998
2020-05-08,Brown,71.80000000000001
2020-05-08,Patent,114.12
2020-05-08,Superior,270.38
2020-05-08,Superior Brown,28.92
2020-05-09,Bakery,203.04
2020-05-09,Brown,71.52
2020-05-09,Patent,129.06
2020-05-09,Superior,262.84000000000003
2020-05-09,Superior Brown,25.66
2020-05-10,Bakery,223.97000000000003
2020-05-10,Brown,78.49000000000001
2020-05-10,Patent,108.92
2020-05-10,Superior,282.44
2020-05-10,Superior Brown,25.78
2020-05-11,Bakery,232.91
2020-05-11,Brown,77.52000000000001
2020-05-11,Patent,137.03
2020-05-11,Superior,293.83
2020-05-11,Superior Brown,27.57
2020-05-12,Bakery,222.54
2020-05-12,Brown,83.58
2020-05-12,Patent,132.57999999999998
2020-05-12,Superior,309.52
2020-05-12,Superior Brown,27.32
2020-05-13,Bakery,226.84
2020-05-13,Brown,65.87
2020-05-13,Patent,130.6
2020-05-13,Superior,293.4
2020-05-13,Superior Brown,26.79
2020-05-14,Bakery,216.28
2020-05-14,Brown,71.81
2020-05-14,Patent,132.70999999999998
2020-05-14,Superior,296.35
2020-05-14,Superior Brown,24.09
2020-05-15,Bakery,198.45999999999998
2020-05-15,Brown,70.31
2020-05-15,Patent,104.34
2020-05-15,Superior,274.2
2020-05-15,Superior Brown,22.31
2020-05-16,Bakery,203.97
2020-05-16,Brown,66.85
2020-05-16,Patent,119.14
2020-05-16,Superior,258.16
2020-05-16,Superior Brown,24.84
2020-05-17,Bakery,227.29
2020-05-17,Brown,71.72
2020-05-17,Patent,123.35000000000001
2020-05-17,Superior,277.89
2020-05-17,Superior Brown,28.35
2020-05-18,Bakery,243.84
2020-05-18,Brown,76.72
2020-05-18,Patent,119.49000000000001
2020-05-18,Superior,291.54
2020-05-18,Superior Brown,30.24
2020-05-19,Bakery,231.09
2020-05-19,Brown,72.05000000000001
2020-05-19,Patent,124.46
2020-05-19,Superior,288.79
2020-05-19,Superior Brown,23.92
2020-05-20,Bakery,221.3
2020-05-20,Brown,74.09
2020-05-20,Patent,132.54000000000002
2020-05-20,Superior,287.11
2020-05-20,Superior Brown,27.9
2020-05-21,Bakery,221.69
2020-05-21,Brown,75.47999999999999
2020-05-21,Patent,126.22
2020-05-21,Superior,282.62
2020-05-21,Superior Brown,25.32
2020-05-22,Bakery,190.91
2020-05-22,Brown,63.17
2020-05-22,Patent,116.02000000000001
2020-05-22,Superior,264.81
2020-05-22,Superior Brown,27.3
2020-05-23,Bakery,196.48
2020-05-23,Brown,69.28
2020-05-23,Patent,120.38999999999999
2020-05-23,Superior,252.15
2020-05-23,Superior Brown,23.04
2020-05-24,Bakery,86.60000000000001
2020-05-24,Brown,29.18
2020-05-24,Patent,49.14
2020-05-24,Superior,114.91
2020-05-24,Superior Brown,10.29
2020-05-25,Bakery,88.69
2020-05-25,Brown,29.939999999999998
2020-05-25,Patent,49.989999999999995
2020-05-25,Superior,108.03
2020-05-25,Superior Brown,10.96
2020-05-26,Bakery,84.34
2020-05-26,Brown,29.770000000000003
2020-05-26,Patent,50.16
2020-05-26,Superior,121.53
2020-05-26,Superior Brown,11.31
2020-05-27,Bakery,88.13
2020-05-27,Brown,31.36
2020-05-27,Patent,47.83
2020-05-27,Superior,113.28
2020-05-27,Superior Brown,11.3
2020-05-28,Bakery,97.14
2020-05-28,Brown,28.880000000000003
2020-05-28,Patent,47.83
2020-05-28,Superior,101.54
2020-05-28,Superior Brown,10.47
2020-05-29,Bakery,78.87
2020-05-29,Brown,26.95
2020-05-29,Patent,46.3
2020-05-29,Superior,97.87
2020-05-29,Superior Brown,9.9
2020-05-30,Bakery,80.33
2020-05-30,Brown,27.35
2020-05-30,Patent,43.379999999999995
2020-05-30,Superior,97.3
2020-05-30,Superior Brown,9.24
2020-05-31,Bakery,83.92999999999999
2020-05-31,Brown,28.91
2020-05-31,Patent,45.91
2020-05-31,Superior,115.03999999999999
2020-05-31,Superior Brown,11.04
2020-06-01,Bakery,92.7
2020-06-01,Brown,29.33
2020-06-01,Patent,48.72
2020-06-01,Superior,107.4
2020-06-01,Superior Brown,10.48
2020-06-02,Bakery,84.94
2020-06-02,Brown,28.259999999999998
2020-06-02,Patent,45.68
2020-06-02,Superior,112.69
2020-06-02,Superior Brown,11.49
2020-06-03,Bakery,86.85000000000001
2020-06-03,Brown,27.05
2020-06-03,Patent,49.45
2020-06-03,Superior,105.39
2020-06-03,Superior Brown,9.78
2020-06-04,Bakery,85.3
2020-06-04,Brown,29.939999999999998
2020-06-04,Patent,50.53
2020-06-04,Superior,116.45
2020-06-04,Superior Brown,11.78
2020-06-05,Bakery,77.8
2020-06-05,Brown,26.65
2020-06-05,Patent,44.69
2020-06-05,Superior,90.42
2020-06-05,Superior Brown,8.96
2020-06-06,Bakery,78.31
2020-06-06,Brown,23.810000000000002
2020-06-06,Patent,47.0
2020-06-06,Superior,95.69
2020-06-06,Superior Brown,9.6
2020-06-07,Bakery,82.62
2020-06-07,Brown,29.169999999999998
2020-06-07,Patent,51.59
2020-06-07,Superior,107.75
2020-06-07,Superior Brown,10.97
2020-06-08,Bakery,83.16
2020-06-08,Brown,26.39
2020-06-08,Patent,45.879999999999995
2020-06-08,Superior,107.72
2020-06-08,Superior Brown,12.71
2020-06-09,Bakery,92.17
2020-06-09,Brown,29.4
2020-06-09,Patent,47.75
2020-06-09,Superior,112.12
2020-06-09,Superior Brown,12.53
2020-06-10,Bakery,87.41
2020-06-10,Brown,28.51
2020-06-10,Patent,49.370000000000005
2020-06-10,Superior,106.34
2020-06-10,Superior Brown,9.84
2020-06-11,Bakery,84.55
2020-06-11,Brown,30.61
2020-06-11,Patent,47.39
2020-06-11,Superior,111.27000000000001
2020-06-11,Superior Brown,11.39
2020-06-12,Bakery,79.26
2020-06-12,Brown,26.79
2020-06-12,Patent,41.769999999999996
2020-06-12,Superior,89.23
2020-06-12,Superior Brown,9.75
2020-06-13,Bakery,81.52000000000001
2020-06-13,Brown,24.259999999999998
2020-06-13,Patent,39.739999999999995
2020-06-13,Superior,99.18
2020-06-13,Superior Brown,7.29
2020-06-14,Bakery,88.52
2020-06-14,Brown,29.28
2020-06-14,Patent,48.22
2020-06-14,Superior,117.72999999999999
2020-06-14,Superior Brown,11.68
2020-06-15,Bakery,89.3
2020-06-15,Brown,27.810000000000002
2020-06-15,Patent,47.46
2020-06-15,Superior,111.22
2020-06-15,Superior Brown,9.77
2020-06-16,Bakery,77.69
2020-06-16,Brown,29.12
2020-06-16,Patent,52.010000000000005
2020-06-16,Superior,113.22
2020-06-16,Superior Brown,10.58
2020-06-17,Bakery,80.31
2020-06-17,Brown,30.04
2020-06-17,Patent,51.0
2020-06-17,Superior,114.42
2020-06-17,Superior Brown,9.6
2020-06-18,Bakery,81.5
2020-06-18,Brown,25.77
2020-06-18,Patent,42.66
2020-06-18,Superior,107.24000000000001
2020-06-18,Superior Brown,10.15
2020-06-19,Bakery,75.28
