kpi_name,period,value,delta,driver,status,scenario_id
overload_hours,2020-03,0.0,0.0,Capacity,positive,base
recipe_switch_count,2020-03,194.0,0.0,Scheduling,neutral,base
avg_run_length_days,2020-03,0.2,0.0,Continuity,neutral,base
downtime_risk_score,2020-03,32.6,0.0,Risk model,positive,base
avg_wheat_cost_sar,2020-03,930.3551,0.0,Market,neutral,base
yield_variability_index,2020-03,0.079,0.0,Quality,neutral,base
mill_utilization_pct,2020-03,65.1225,0.0,Utilization,positive,base
wheat_cost_index,2020-03,890.5972,0.0,Raw material,neutral,base
waste_impact_pct,2020-03,2.2687,0.0,Waste,positive,base
waste_rate_vs_target,2020-03,-0.23,0.0,Gap to target,positive,base
energy_per_ton,2020-03,69.2163,0.0,Efficiency,neutral,base
water_per_ton,2020-03,0.7849,0.0,Conservation,neutral,base
vision_2030_compliance,2020-03,85.5,0.0,Composite,positive,base
high_risk_supply_pct,2020-03,40.3,0.0,Geopolitics,negative,base
total_demand_tons,2020-04,67050.2,4.6484,SKU forecast,positive,base
recipe_time_utilization_pct,2020-04,65.4639,0.3414,Time constraint,positive,base
capacity_violations_count,2020-04,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2020-04,940.2299,9.8749,Wheat price,neutral,base
waste_rate_pct,2020-04,1.995,-0.2737,Recipe mix,positive,base
vision_2030_index,2020-04,85.5,0.0,Sustainability,positive,base
forecast_confidence_pct,2020-04,87.5143,0.0,Model accuracy,positive,base
bulk_flour_required_tons,2020-04,67050.2,0.0,Flour demand,neutral,base
total_recipe_hours,2020-04,1703.36,0.0,Recipe demand,neutral,base
seasonality_index,2020-04,1.165,0.0,Calendar,neutral,base
planned_recipe_hours,2020-04,1160.02,0.0,Schedule,neutral,base
available_mill_hours,2020-04,1772.0,0.0,Capacity,neutral,base
slack_shortfall_hours,2020-04,611.98,0.0,Capacity balance,positive,base
avg_changeovers,2020-04,112.0,0.0,Recipe switches,neutral,base
vision_2030_compliance,2020-04,85.5,0.0,Composite,positive,base
total_sku_forecast_units,2020-04,4055695.0,0.0,Forecast,neutral,base
avg_wheat_cost_sar,2020-04,940.2299,0.0,Market,neutral,base
mill_utilization_pct,2020-04,65.4639,0.0,Utilization,positive,base
overload_hours,2020-04,0.0,0.0,Capacity,positive,base
recipe_switch_count,2020-04,193.0,0.0,Scheduling,neutral,base
avg_run_length_days,2020-04,0.2,0.0,Continuity,neutral,base
downtime_risk_score,2020-04,32.7,0.0,Risk model,positive,base
total_wheat_requirement_tons,2020-04,67050.14,0.0,Procurement,neutral,base
wheat_cost_index,2020-04,890.1191,0.0,Raw material,neutral,base
import_dependency_pct,2020-04,100.0,0.0,Supply chain,negative,base
high_risk_supply_pct,2020-04,40.2,0.0,Geopolitics,negative,base
waste_rate_vs_target,2020-04,-0.51,0.0,Gap to target,positive,base
energy_per_ton,2020-04,69.248,0.0,Efficiency,neutral,base
water_per_ton,2020-04,0.7848,0.0,Conservation,neutral,base
waste_impact_pct,2020-04,1.995,0.0,Waste,positive,base
yield_variability_index,2020-04,0.07,0.0,Quality,neutral,base
avg_changeovers,2020-05,114.0,0.0,Recipe switches,neutral,base
total_demand_tons,2020-05,79107.78,17.9829,SKU forecast,positive,base
recipe_time_utilization_pct,2020-05,65.0091,-0.4548,Time constraint,positive,base
capacity_violations_count,2020-05,0.0,0.0,Overload,positive,base
waste_rate_pct,2020-05,2.3,0.305,Recipe mix,positive,base
vision_2030_index,2020-05,85.5,0.0,Sustainability,positive,base
forecast_confidence_pct,2020-05,87.47,0.0,Model accuracy,positive,base
bulk_flour_required_tons,2020-05,79107.78,0.0,Flour demand,neutral,base
total_recipe_hours,2020-05,2004.31,0.0,Recipe demand,neutral,base
seasonality_index,2020-05,1.3306,0.0,Calendar,neutral,base
planned_recipe_hours,2020-05,1175.04,0.0,Schedule,neutral,base
available_mill_hours,2020-05,1807.5,0.0,Capacity,neutral,base
slack_shortfall_hours,2020-05,632.46,0.0,Capacity balance,positive,base
avg_cost_per_ton,2020-05,948.2569,8.027,Wheat price,neutral,base
total_sku_forecast_units,2020-05,4768417.0,0.0,Forecast,neutral,base
wheat_cost_index,2020-05,889.3648,0.0,Raw material,neutral,base
avg_wheat_cost_sar,2020-05,948.2569,0.0,Market,neutral,base
vision_2030_compliance,2020-05,85.5,0.0,Composite,positive,base
mill_utilization_pct,2020-05,65.0091,0.0,Utilization,positive,base
overload_hours,2020-05,0.0,0.0,Capacity,positive,base
recipe_switch_count,2020-05,195.0,0.0,Scheduling,neutral,base
downtime_risk_score,2020-05,32.5,0.0,Risk model,positive,base
total_wheat_requirement_tons,2020-05,79107.76,0.0,Procurement,neutral,base
avg_run_length_days,2020-05,0.2,0.0,Continuity,neutral,base
import_dependency_pct,2020-05,100.0,0.0,Supply chain,negative,base
high_risk_supply_pct,2020-05,39.8,0.0,Geopolitics,negative,base
waste_rate_vs_target,2020-05,-0.2,0.0,Gap to target,positive,base
energy_per_ton,2020-05,70.372,0.0,Efficiency,neutral,base
water_per_ton,2020-05,0.8023,0.0,Conservation,neutral,base
waste_impact_pct,2020-05,2.3,0.0,Waste,positive,base
yield_variability_index,2020-05,0.057,0.0,Quality,neutral,base
vision_2030_index,2020-06,85.5,0.0,Sustainability,positive,base
recipe_time_utilization_pct,2020-06,65.5611,0.5519,Time constraint,positive,base
capacity_violations_count,2020-06,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2020-06,907.5605,-40.6964,Wheat price,neutral,base
waste_rate_pct,2020-06,2.219,-0.081,Recipe mix,positive,base
total_demand_tons,2020-06,58904.17,-25.5393,SKU forecast,negative,base
avg_changeovers,2020-06,113.0,0.0,Recipe switches,neutral,base
forecast_confidence_pct,2020-06,87.6714,0.0,Model accuracy,positive,base
seasonality_index,2020-06,1.0203,0.0,Calendar,neutral,base
planned_recipe_hours,2020-06,1165.02,0.0,Schedule,neutral,base
available_mill_hours,2020-06,1777.0,0.0,Capacity,neutral,base
slack_shortfall_hours,2020-06,611.98,0.0,Capacity balance,positive,base
wheat_cost_index,2020-06,890.619,0.0,Raw material,neutral,base
total_recipe_hours,2020-06,1497.81,0.0,Recipe demand,neutral,base
bulk_flour_required_tons,2020-06,58904.17,0.0,Flour demand,neutral,base
total_sku_forecast_units,2020-06,3564348.0,0.0,Forecast,neutral,base
import_dependency_pct,2020-06,100.0,0.0,Supply chain,negative,base
total_wheat_requirement_tons,2020-06,58904.16,0.0,Procurement,neutral,base
overload_hours,2020-06,0.0,0.0,Capacity,positive,base
recipe_switch_count,2020-06,195.0,0.0,Scheduling,neutral,base
avg_run_length_days,2020-06,0.2,0.0,Continuity,neutral,base
downtime_risk_score,2020-06,32.8,0.0,Risk model,positive,base
avg_wheat_cost_sar,2020-06,907.5605,0.0,Market,neutral,base
mill_utilization_pct,2020-06,65.5611,0.0,Utilization,positive,base
waste_impact_pct,2020-06,2.219,0.0,Waste,positive,base
yield_variability_index,2020-06,0.111,0.0,Quality,neutral,base
waste_rate_vs_target,2020-06,-0.28,0.0,Gap to target,positive,base
energy_per_ton,2020-06,68.349,0.0,Efficiency,neutral,base
water_per_ton,2020-06,0.7873,0.0,Conservation,neutral,base
vision_2030_compliance,2020-06,85.5,0.0,Composite,positive,base
high_risk_supply_pct,2020-06,40.2,0.0,Geopolitics,negative,base
bulk_flour_required_tons,2020-07,73271.92,0.0,Flour demand,neutral,base
recipe_time_utilization_pct,2020-07,64.4833,-1.0778,Time constraint,positive,base
capacity_violations_count,2020-07,0.0,0.0,Overload,positive,base
waste_rate_pct,2020-07,2.0187,-0.2003,Recipe mix,positive,base
vision_2030_index,2020-07,85.5,0.0,Sustainability,positive,base
total_sku_forecast_units,2020-07,4421770.0,0.0,Forecast,neutral,base
total_demand_tons,2020-07,73271.92,24.3917,SKU forecast,positive,base
seasonality_index,2020-07,1.2242,0.0,Calendar,neutral,base
forecast_confidence_pct,2020-07,87.5853,0.0,Model accuracy,positive,base
avg_changeovers,2020-07,111.0,0.0,Recipe switches,neutral,base
planned_recipe_hours,2020-07,1147.48,0.0,Schedule,neutral,base
available_mill_hours,2020-07,1779.5,0.0,Capacity,neutral,base
slack_shortfall_hours,2020-07,632.02,0.0,Capacity balance,positive,base
total_recipe_hours,2020-07,1865.49,0.0,Recipe demand,neutral,base
wheat_cost_index,2020-07,890.2027,0.0,Raw material,neutral,base
avg_cost_per_ton,2020-07,917.3494,9.7889,Wheat price,neutral,base
import_dependency_pct,2020-07,100.0,0.0,Supply chain,negative,base
waste_impact_pct,2020-07,2.0187,0.0,Waste,positive,base
recipe_switch_count,2020-07,192.0,0.0,Scheduling,neutral,base
avg_run_length_days,2020-07,0.2,0.0,Continuity,neutral,base
downtime_risk_score,2020-07,32.2,0.0,Risk model,positive,base
overload_hours,2020-07,0.0,0.0,Capacity,positive,base
avg_wheat_cost_sar,2020-07,917.3494,0.0,Market,neutral,base
waste_rate_vs_target,2020-07,-0.48,0.0,Gap to target,positive,base
total_wheat_requirement_tons,2020-07,73271.92,0.0,Procurement,neutral,base
yield_variability_index,2020-07,0.119,0.0,Quality,neutral,base
energy_per_ton,2020-07,69.6975,0.0,Efficiency,neutral,base
water_per_ton,2020-07,0.7904,0.0,Conservation,neutral,base
vision_2030_compliance,2020-07,85.5,0.0,Composite,positive,base
mill_utilization_pct,2020-07,64.4833,0.0,Utilization,positive,base
high_risk_supply_pct,2020-07,40.4,0.0,Geopolitics,negative,base
recipe_time_utilization_pct,2020-08,64.897,0.4137,Time constraint,positive,base
capacity_violations_count,2020-08,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2020-08,876.6618,-40.6876,Wheat price,neutral,base
waste_rate_pct,2020-08,2.18,0.1613,Recipe mix,positive,base
vision_2030_index,2020-08,85.5,0.0,Sustainability,positive,base
avg_changeovers,2020-08,114.0,0.0,Recipe switches,neutral,base
total_sku_forecast_units,2020-08,3419494.0,0.0,Forecast,neutral,base
total_recipe_hours,2020-08,1441.56,0.0,Recipe demand,neutral,base
forecast_confidence_pct,2020-08,87.4147,0.0,Model accuracy,positive,base
seasonality_index,2020-08,0.9432,0.0,Calendar,neutral,base
planned_recipe_hours,2020-08,1169.12,0.0,Schedule,neutral,base
available_mill_hours,2020-08,1801.5,0.0,Capacity,neutral,base
total_demand_tons,2020-08,56668.23,-22.6604,SKU forecast,negative,base
bulk_flour_required_tons,2020-08,56668.23,0.0,Flour demand,neutral,base
slack_shortfall_hours,2020-08,632.38,0.0,Capacity balance,positive,base
downtime_risk_score,2020-08,32.4,0.0,Risk model,positive,base
wheat_cost_index,2020-08,890.5638,0.0,Raw material,neutral,base
vision_2030_compliance,2020-08,85.5,0.0,Composite,positive,base
mill_utilization_pct,2020-08,64.897,0.0,Utilization,positive,base
overload_hours,2020-08,0.0,0.0,Capacity,positive,base
recipe_switch_count,2020-08,196.0,0.0,Scheduling,neutral,base
total_wheat_requirement_tons,2020-08,56668.3,0.0,Procurement,neutral,base
yield_variability_index,2020-08,0.116,0.0,Quality,neutral,base
avg_run_length_days,2020-08,0.2,0.0,Continuity,neutral,base
high_risk_supply_pct,2020-08,40.3,0.0,Geopolitics,negative,base
waste_rate_vs_target,2020-08,-0.32,0.0,Gap to target,positive,base
energy_per_ton,2020-08,69.258,0.0,Efficiency,neutral,base
water_per_ton,2020-08,0.7933,0.0,Conservation,neutral,base
waste_impact_pct,2020-08,2.18,0.0,Waste,positive,base
avg_wheat_cost_sar,2020-08,876.6618,0.0,Market,neutral,base
import_dependency_pct,2020-08,100.0,0.0,Supply chain,negative,base
waste_rate_pct,2020-09,2.1575,-0.0225,Recipe mix,positive,base
total_demand_tons,2020-09,53770.89,-5.1128,SKU forecast,negative,base
recipe_time_utilization_pct,2020-09,65.846,0.949,Time constraint,positive,base
capacity_violations_count,2020-09,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2020-09,872.9332,-3.7286,Wheat price,neutral,base
vision_2030_index,2020-09,85.5,0.0,Sustainability,positive,base
slack_shortfall_hours,2020-09,612.04,0.0,Capacity balance,positive,base
bulk_flour_required_tons,2020-09,53770.89,0.0,Flour demand,neutral,base
total_recipe_hours,2020-09,1367.68,0.0,Recipe demand,neutral,base
forecast_confidence_pct,2020-09,87.4643,0.0,Model accuracy,positive,base
seasonality_index,2020-09,0.923,0.0,Calendar,neutral,base
planned_recipe_hours,2020-09,1179.96,0.0,Schedule,neutral,base
available_mill_hours,2020-09,1792.0,0.0,Capacity,neutral,base
avg_changeovers,2020-09,112.0,0.0,Recipe switches,neutral,base
total_sku_forecast_units,2020-09,3231180.0,0.0,Forecast,neutral,base
vision_2030_compliance,2020-09,85.5,0.0,Composite,positive,base
avg_wheat_cost_sar,2020-09,872.9332,0.0,Market,neutral,base
mill_utilization_pct,2020-09,65.846,0.0,Utilization,positive,base
overload_hours,2020-09,0.0,0.0,Capacity,positive,base
recipe_switch_count,2020-09,194.0,0.0,Scheduling,neutral,base
avg_run_length_days,2020-09,0.2,0.0,Continuity,neutral,base
downtime_risk_score,2020-09,32.9,0.0,Risk model,positive,base
total_wheat_requirement_tons,2020-09,53770.85,0.0,Procurement,neutral,base
wheat_cost_index,2020-09,890.6322,0.0,Raw material,neutral,base
import_dependency_pct,2020-09,100.0,0.0,Supply chain,negative,base
high_risk_supply_pct,2020-09,40.3,0.0,Geopolitics,negative,base
waste_rate_vs_target,2020-09,-0.34,0.0,Gap to target,positive,base
energy_per_ton,2020-09,69.2425,0.0,Efficiency,neutral,base
water_per_ton,2020-09,0.7994,0.0,Conservation,neutral,base
waste_impact_pct,2020-09,2.1575,0.0,Waste,positive,base
yield_variability_index,2020-09,0.062,0.0,Quality,neutral,base
avg_changeovers,2020-10,112.0,0.0,Recipe switches,neutral,base
total_demand_tons,2020-10,55267.41,2.7831,SKU forecast,positive,base
recipe_time_utilization_pct,2020-10,64.071,-1.775,Time constraint,positive,base
capacity_violations_count,2020-10,0.0,0.0,Overload,positive,base
waste_rate_pct,2020-10,1.882,-0.2755,Recipe mix,positive,base
vision_2030_index,2020-10,85.5,0.0,Sustainability,positive,base
forecast_confidence_pct,2020-10,87.182,0.0,Model accuracy,positive,base
bulk_flour_required_tons,2020-10,55267.41,0.0,Flour demand,neutral,base
total_recipe_hours,2020-10,1405.51,0.0,Recipe demand,neutral,base
seasonality_index,2020-10,0.9235,0.0,Calendar,neutral,base
planned_recipe_hours,2020-10,1127.65,0.0,Schedule,neutral,base
available_mill_hours,2020-10,1760.0,0.0,Capacity,neutral,base
slack_shortfall_hours,2020-10,632.35,0.0,Capacity balance,positive,base
avg_cost_per_ton,2020-10,874.0062,1.073,Wheat price,neutral,base
wheat_cost_index,2020-10,890.6934,0.0,Raw material,neutral,base
total_sku_forecast_units,2020-10,3355097.0,0.0,Forecast,neutral,base
avg_wheat_cost_sar,2020-10,874.0062,0.0,Market,neutral,base
mill_utilization_pct,2020-10,64.071,0.0,Utilization,positive,base
overload_hours,2020-10,0.0,0.0,Capacity,positive,base
recipe_switch_count,2020-10,193.0,0.0,Scheduling,neutral,base
avg_run_length_days,2020-10,0.2,0.0,Continuity,neutral,base
downtime_risk_score,2020-10,32.0,0.0,Risk model,positive,base
total_wheat_requirement_tons,2020-10,55267.4,0.0,Procurement,neutral,base
vision_2030_compliance,2020-10,85.5,0.0,Composite,positive,base
import_dependency_pct,2020-10,100.0,0.0,Supply chain,negative,base
high_risk_supply_pct,2020-10,40.2,0.0,Geopolitics,negative,base
waste_rate_vs_target,2020-10,-0.62,0.0,Gap to target,positive,base
energy_per_ton,2020-10,70.277,0.0,Efficiency,neutral,base
water_per_ton,2020-10,0.7932,0.0,Conservation,neutral,base
waste_impact_pct,2020-10,1.882,0.0,Waste,positive,base
yield_variability_index,2020-10,0.079,0.0,Quality,neutral,base
recipe_time_utilization_pct,2020-11,65.4249,1.3538,Time constraint,positive,base
capacity_violations_count,2020-11,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2020-11,879.4329,5.4268,Wheat price,neutral,base
waste_rate_pct,2020-11,1.9422,0.0602,Recipe mix,positive,base
vision_2030_index,2020-11,85.5,0.0,Sustainability,positive,base
total_sku_forecast_units,2020-11,3348712.0,0.0,Forecast,neutral,base
forecast_confidence_pct,2020-11,87.2905,0.0,Model accuracy,positive,base
avg_changeovers,2020-11,111.0,0.0,Recipe switches,neutral,base
total_recipe_hours,2020-11,1407.64,0.0,Recipe demand,neutral,base
seasonality_index,2020-11,0.9453,0.0,Calendar,neutral,base
planned_recipe_hours,2020-11,1158.02,0.0,Schedule,neutral,base
available_mill_hours,2020-11,1770.0,0.0,Capacity,neutral,base
slack_shortfall_hours,2020-11,611.98,0.0,Capacity balance,positive,base
total_demand_tons,2020-11,55326.83,0.1075,SKU forecast,positive,base
bulk_flour_required_tons,2020-11,55326.83,0.0,Flour demand,neutral,base
total_wheat_requirement_tons,2020-11,55326.83,0.0,Procurement,neutral,base
import_dependency_pct,2020-11,100.0,0.0,Supply chain,negative,base
wheat_cost_index,2020-11,890.5547,0.0,Raw material,neutral,base
downtime_risk_score,2020-11,32.7,0.0,Risk model,positive,base
mill_utilization_pct,2020-11,65.4249,0.0,Utilization,positive,base
overload_hours,2020-11,0.0,0.0,Capacity,positive,base
avg_run_length_days,2020-11,0.2,0.0,Continuity,neutral,base
avg_wheat_cost_sar,2020-11,879.4329,0.0,Market,neutral,base
recipe_switch_count,2020-11,191.0,0.0,Scheduling,neutral,base
high_risk_supply_pct,2020-11,40.3,0.0,Geopolitics,negative,base
yield_variability_index,2020-11,0.07,0.0,Quality,neutral,base
waste_rate_vs_target,2020-11,-0.56,0.0,Gap to target,positive,base
energy_per_ton,2020-11,70.3633,0.0,Efficiency,neutral,base
water_per_ton,2020-11,0.8202,0.0,Conservation,neutral,base
vision_2030_compliance,2020-11,85.5,0.0,Composite,positive,base
waste_impact_pct,2020-11,1.9422,0.0,Waste,positive,base
vision_2030_index,2020-12,85.5,0.0,Sustainability,positive,base
recipe_time_utilization_pct,2020-12,65.0999,-0.325,Time constraint,positive,base
capacity_violations_count,2020-12,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2020-12,890.4185,10.9856,Wheat price,neutral,base
waste_rate_pct,2020-12,2.085,0.1428,Recipe mix,positive,base
total_demand_tons,2020-12,59282.95,7.1505,SKU forecast,positive,base
avg_changeovers,2020-12,114.0,0.0,Recipe switches,neutral,base
forecast_confidence_pct,2020-12,87.5714,0.0,Model accuracy,positive,base
seasonality_index,2020-12,0.981,0.0,Calendar,neutral,base
planned_recipe_hours,2020-12,1179.61,0.0,Schedule,neutral,base
available_mill_hours,2020-12,1812.0,0.0,Capacity,neutral,base
slack_shortfall_hours,2020-12,632.39,0.0,Capacity balance,positive,base
bulk_flour_required_tons,2020-12,59282.95,0.0,Flour demand,neutral,base
total_recipe_hours,2020-12,1508.05,0.0,Recipe demand,neutral,base
wheat_cost_index,2020-12,890.5701,0.0,Raw material,neutral,base
total_sku_forecast_units,2020-12,3591982.0,0.0,Forecast,neutral,base
import_dependency_pct,2020-12,100.0,0.0,Supply chain,negative,base
overload_hours,2020-12,0.0,0.0,Capacity,positive,base
recipe_switch_count,2020-12,196.0,0.0,Scheduling,neutral,base
avg_run_length_days,2020-12,0.2,0.0,Continuity,neutral,base
downtime_risk_score,2020-12,32.5,0.0,Risk model,positive,base
total_wheat_requirement_tons,2020-12,59282.85,0.0,Procurement,neutral,base
avg_wheat_cost_sar,2020-12,890.4185,0.0,Market,neutral,base
waste_rate_vs_target,2020-12,-0.42,0.0,Gap to target,positive,base
waste_impact_pct,2020-12,2.085,0.0,Waste,positive,base
yield_variability_index,2020-12,0.074,0.0,Quality,neutral,base
energy_per_ton,2020-12,69.431,0.0,Efficiency,neutral,base
water_per_ton,2020-12,0.7932,0.0,Conservation,neutral,base
vision_2030_compliance,2020-12,85.5,0.0,Composite,positive,base
mill_utilization_pct,2020-12,65.0999,0.0,Utilization,positive,base
high_risk_supply_pct,2020-12,40.3,0.0,Geopolitics,negative,base
total_sku_forecast_units,2021-01,3708849.0,0.0,Forecast,neutral,base
total_demand_tons,2021-01,61507.74,3.7528,SKU forecast,positive,base
recipe_time_utilization_pct,2021-01,64.9451,-0.1548,Time constraint,positive,base
avg_cost_per_ton,2021-01,1108.7085,218.29,Wheat price,neutral,base
waste_rate_pct,2021-01,2.0222,-0.0628,Recipe mix,positive,base
vision_2030_index,2021-01,85.5,0.0,Sustainability,positive,base
avg_changeovers,2021-01,114.0,0.0,Recipe switches,neutral,base
forecast_confidence_pct,2021-01,87.7558,0.0,Model accuracy,positive,base
total_recipe_hours,2021-01,1564.13,0.0,Recipe demand,neutral,base
slack_shortfall_hours,2021-01,632.39,0.0,Capacity balance,positive,base
seasonality_index,2021-01,1.0216,0.0,Calendar,neutral,base
planned_recipe_hours,2021-01,1171.61,0.0,Schedule,neutral,base
available_mill_hours,2021-01,1804.0,0.0,Capacity,neutral,base
bulk_flour_required_tons,2021-01,61507.74,0.0,Flour demand,neutral,base
vision_2030_compliance,2021-01,85.5,0.0,Composite,positive,base
capacity_violations_count,2021-01,0.0,0.0,Overload,positive,base
avg_wheat_cost_sar,2021-01,1108.7085,0.0,Market,neutral,base
wheat_cost_index,2021-01,1088.4873,0.0,Raw material,neutral,base
overload_hours,2021-01,0.0,0.0,Capacity,positive,base
recipe_switch_count,2021-01,196.0,0.0,Scheduling,neutral,base
avg_run_length_days,2021-01,0.2,0.0,Continuity,neutral,base
downtime_risk_score,2021-01,32.5,0.0,Risk model,positive,base
total_wheat_requirement_tons,2021-01,61507.88,0.0,Procurement,neutral,base
yield_variability_index,2021-01,0.073,0.0,Quality,neutral,base
mill_utilization_pct,2021-01,64.9451,0.0,Utilization,positive,base
high_risk_supply_pct,2021-01,40.2,0.0,Geopolitics,negative,base
waste_rate_vs_target,2021-01,-0.48,0.0,Gap to target,positive,base
energy_per_ton,2021-01,69.2456,0.0,Efficiency,neutral,base
water_per_ton,2021-01,0.7849,0.0,Conservation,neutral,base
waste_impact_pct,2021-01,2.0222,0.0,Waste,positive,base
import_dependency_pct,2021-01,100.0,0.0,Supply chain,negative,base
recipe_time_utilization_pct,2021-02,64.3332,-0.6119,Time constraint,positive,base
capacity_violations_count,2021-02,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2021-02,1117.5646,8.8561,Wheat price,neutral,base
