date,mill_id,recipe_id,start_hour,end_hour,duration_hours,changeover_hours,tons_produced,recipe_cost_index
2020-01-06,M3,R4,16.0,18.0,2.0,0.5,20.78,1.02
2020-01-07,M1,R2,0.0,8.88,8.88,0.0,116.14,1.1
2020-01-07,M1,R1,9.38,15.63,6.25,0.5,63.98,1.05
2020-01-07,M1,R4,16.13,19.78,3.65,0.5,41.0,1.02
2020-01-07,M2,R2,0.0,10.62,10.62,0.0,116.14,1.1
2020-01-07,M2,R1,11.12,17.66,6.54,0.5,63.98,1.05
2020-01-07,M2,R4,18.16,20.0,1.84,0.5,20.66,1.02
2020-01-07,M3,R2,0.0,8.85,8.85,0.0,116.14,1.1
2020-01-07,M3,R1,9.35,16.09,6.74,0.5,63.98,1.05
2020-01-07,M3,R4,16.59,18.0,1.41,0.5,14.65,1.02
2020-01-08,M1,R2,0.0,8.98,8.98,0.0,117.49,1.1
2020-01-08,M1,R1,9.48,15.76,6.28,0.5,64.27,1.05
2020-01-08,M1,R4,16.26,19.84,3.58,0.5,40.2,1.02
2020-01-08,M2,R2,0.0,10.74,10.74,0.0,117.49,1.1
2020-01-08,M2,R1,11.24,17.81,6.57,0.5,64.27,1.05
2020-01-08,M2,R4,18.31,20.0,1.69,0.5,18.96,1.02
2020-01-08,M3,R2,0.0,8.95,8.95,0.0,117.49,1.1
2020-01-08,M3,R1,9.45,16.22,6.77,0.5,64.27,1.05
2020-01-08,M3,R4,16.72,18.0,1.28,0.5,13.27,1.02
2020-01-09,M1,R2,0.0,8.82,8.82,0.0,115.31,1.1
2020-01-09,M1,R1,9.32,15.56,6.24,0.5,63.9,1.05
2020-01-09,M1,R4,16.06,19.59,3.54,0.5,39.67,1.02
2020-01-09,M2,R2,0.0,10.54,10.54,0.0,115.31,1.1
2020-01-09,M2,R1,11.04,17.57,6.53,0.5,63.9,1.05
2020-01-09,M2,R4,18.07,20.0,1.93,0.5,21.61,1.02
2020-01-09,M3,R2,0.0,8.78,8.78,0.0,115.31,1.1
2020-01-09,M3,R1,9.28,16.02,6.73,0.5,63.9,1.05
2020-01-09,M3,R4,16.52,18.0,1.48,0.5,15.39,1.02
2020-01-10,M1,R2,0.0,7.69,7.69,0.0,100.62,1.1
2020-01-10,M1,R1,8.19,13.42,5.23,0.5,53.54,1.05
2020-01-10,M1,R4,13.92,14.0,0.08,0.5,0.89,1.02
2020-01-10,M2,R2,0.0,9.2,9.2,0.0,100.62,1.1
2020-01-10,M2,R1,9.7,14.0,4.3,0.5,42.08,1.05
2020-01-10,M3,R2,0.0,7.66,7.66,0.0,100.62,1.1
2020-01-10,M3,R1,8.16,12.6,4.44,0.5,42.1,1.05
2020-01-11,M1,R2,0.0,8.14,8.14,0.0,106.44,1.1
2020-01-11,M1,R1,8.64,14.0,5.36,0.5,54.91,1.05
2020-01-11,M2,R2,0.0,9.73,9.73,0.0,106.44,1.1
2020-01-11,M2,R1,10.23,14.0,3.77,0.5,36.87,1.05
2020-01-11,M3,R2,0.0,8.11,8.11,0.0,106.44,1.1
2020-01-11,M3,R1,8.61,12.6,3.99,0.5,37.9,1.05
2020-01-12,M1,R2,0.0,8.96,8.96,0.0,117.22,1.1
2020-01-12,M1,R1,9.46,15.34,5.88,0.5,60.19,1.05
2020-01-12,M1,R4,15.84,19.52,3.68,0.5,41.27,1.02
2020-01-12,M2,R2,0.0,10.71,10.71,0.0,117.22,1.1
2020-01-12,M2,R1,11.21,17.37,6.15,0.5,60.19,1.05
2020-01-12,M2,R4,17.87,20.0,2.13,0.5,23.91,1.02
2020-01-12,M3,R2,0.0,8.93,8.93,0.0,117.22,1.1
2020-01-12,M3,R1,9.43,15.77,6.34,0.5,60.19,1.05
2020-01-12,M3,R4,16.27,18.0,1.73,0.5,17.94,1.02
2020-01-13,M1,R2,0.0,9.23,9.23,0.0,120.79,1.1
2020-01-13,M1,R1,9.73,16.25,6.52,0.5,66.76,1.05
2020-01-13,M1,R4,16.75,20.0,3.25,0.5,36.43,1.02
2020-01-13,M2,R2,0.0,11.04,11.04,0.0,120.79,1.1
2020-01-13,M2,R1,11.54,18.37,6.83,0.5,66.76,1.05
2020-01-13,M2,R4,18.87,20.0,1.13,0.5,12.72,1.02
2020-01-13,M3,R2,0.0,9.2,9.2,0.0,120.79,1.1
2020-01-13,M3,R1,9.7,16.73,7.03,0.5,66.76,1.05
2020-01-13,M3,R4,17.23,18.0,0.77,0.5,7.95,1.02
2020-01-14,M1,R2,0.0,8.59,8.59,0.0,112.35,1.1
2020-01-14,M1,R1,9.09,15.14,6.05,0.5,61.96,1.05
2020-01-14,M1,R3,15.64,20.0,4.36,0.5,38.75,1.0
2020-01-14,M2,R2,0.0,10.27,10.27,0.0,112.35,1.1
2020-01-14,M2,R1,10.77,17.11,6.34,0.5,61.96,1.05
2020-01-14,M2,R3,17.61,20.0,2.39,0.5,21.84,1.0
2020-01-14,M3,R2,0.0,8.56,8.56,0.0,112.35,1.1
2020-01-14,M3,R1,9.06,15.59,6.53,0.5,61.96,1.05
2020-01-14,M3,R3,16.09,18.0,1.91,0.5,17.36,1.0
2020-01-15,M1,R2,0.0,8.75,8.75,0.0,114.45,1.1
2020-01-15,M1,R1,9.25,15.54,6.29,0.5,64.43,1.05
2020-01-15,M1,R4,16.04,19.57,3.53,0.5,39.59,1.02
2020-01-15,M2,R2,0.0,10.46,10.46,0.0,114.45,1.1
2020-01-15,M2,R1,10.96,17.55,6.59,0.5,64.43,1.05
2020-01-15,M2,R4,18.05,20.0,1.95,0.5,21.89,1.02
2020-01-15,M3,R2,0.0,8.72,8.72,0.0,114.45,1.1
2020-01-15,M3,R1,9.22,16.01,6.79,0.5,64.43,1.05
2020-01-15,M3,R4,16.51,18.0,1.49,0.5,15.5,1.02
2020-01-16,M1,R2,0.0,8.95,8.95,0.0,117.08,1.1
2020-01-16,M1,R1,9.45,15.58,6.13,0.5,62.74,1.05
2020-01-16,M1,R4,16.08,19.75,3.67,0.5,41.15,1.02
2020-01-16,M2,R2,0.0,10.7,10.7,0.0,117.08,1.1
2020-01-16,M2,R1,11.2,17.62,6.42,0.5,62.74,1.05
2020-01-16,M2,R4,18.12,20.0,1.88,0.5,21.12,1.02
2020-01-16,M3,R2,0.0,8.92,8.92,0.0,117.08,1.1
2020-01-16,M3,R1,9.42,16.03,6.61,0.5,62.74,1.05
2020-01-16,M3,R4,16.53,18.0,1.47,0.5,15.26,1.02
2020-01-17,M1,R2,0.0,8.13,8.13,0.0,106.33,1.1
2020-01-17,M1,R1,8.63,14.0,5.37,0.5,55.0,1.05
2020-01-17,M2,R2,0.0,9.72,9.72,0.0,106.33,1.1
2020-01-17,M2,R1,10.22,14.0,3.78,0.5,36.97,1.05
2020-01-17,M3,R2,0.0,8.1,8.1,0.0,106.33,1.1
2020-01-17,M3,R1,8.6,12.6,4.0,0.5,37.98,1.05
2020-01-18,M1,R2,0.0,8.49,8.49,0.0,111.01,1.1
2020-01-18,M1,R1,8.99,14.0,5.01,0.5,51.34,1.05
2020-01-18,M2,R2,0.0,10.15,10.15,0.0,111.01,1.1
2020-01-18,M2,R1,10.65,14.0,3.35,0.5,32.79,1.05
2020-01-18,M3,R2,0.0,8.45,8.45,0.0,111.01,1.1
2020-01-18,M3,R1,8.95,12.6,3.65,0.5,34.6,1.05
2020-01-19,M1,R2,0.0,9.38,9.38,0.0,122.65,1.1
2020-01-19,M1,R1,9.88,16.43,6.56,0.5,67.13,1.05
2020-01-19,M1,R4,16.93,20.0,3.07,0.5,34.42,1.02
2020-01-19,M3,R2,0.0,9.34,9.34,0.0,122.65,1.1
2020-01-19,M3,R1,9.84,16.91,7.07,0.5,67.13,1.05
2020-01-19,M3,R4,17.41,18.0,0.59,0.5,6.07,1.02
2020-01-20,M1,R2,0.0,9.04,9.04,0.0,118.3,1.1
2020-01-20,M1,R1,9.54,15.68,6.14,0.5,62.86,1.05
2020-01-20,M1,R4,16.18,20.0,3.82,0.5,42.83,1.02
2020-01-20,M2,R2,0.0,10.81,10.81,0.0,118.3,1.1
2020-01-20,M2,R1,11.31,17.74,6.43,0.5,62.86,1.05
2020-01-20,M2,R4,18.24,20.0,1.76,0.5,19.74,1.02
2020-01-20,M3,R2,0.0,9.01,9.01,0.0,118.3,1.1
2020-01-20,M3,R1,9.51,16.13,6.62,0.5,62.86,1.05
2020-01-20,M3,R4,16.63,18.0,1.37,0.5,14.17,1.02
2020-01-21,M1,R2,0.0,9.29,9.29,0.0,121.5,1.1
2020-01-21,M1,R1,9.79,16.08,6.29,0.5,64.45,1.05
2020-01-21,M1,R4,16.58,20.0,3.42,0.5,38.34,1.02
2020-01-21,M2,R2,0.0,11.11,11.11,0.0,121.5,1.1
2020-01-21,M2,R1,11.61,18.2,6.59,0.5,64.45,1.05
2020-01-21,M2,R4,18.7,20.0,1.3,0.5,14.63,1.02
2020-01-21,M3,R2,0.0,9.25,9.25,0.0,121.5,1.1
2020-01-21,M3,R1,9.75,16.55,6.79,0.5,64.45,1.05
2020-01-21,M3,R4,17.05,18.0,0.95,0.5,9.9,1.02
2020-01-22,M1,R2,0.0,9.16,9.16,0.0,119.79,1.1
2020-01-22,M1,R1,9.66,16.06,6.4,0.5,65.57,1.05
2020-01-22,M1,R3,16.56,20.0,3.44,0.5,30.57,1.0
2020-01-22,M2,R2,0.0,10.95,10.95,0.0,119.79,1.1
2020-01-22,M2,R1,11.45,18.15,6.7,0.5,65.57,1.05
2020-01-22,M2,R3,18.65,20.0,1.35,0.5,12.27,1.0
2020-01-22,M3,R2,0.0,9.12,9.12,0.0,119.79,1.1
2020-01-22,M3,R1,9.62,16.53,6.91,0.5,65.57,1.05
2020-01-22,M3,R3,17.03,18.0,0.97,0.5,8.77,1.0
2020-01-23,M1,R2,0.0,9.03,9.03,0.0,118.06,1.1
2020-01-23,M1,R1,9.53,15.77,6.24,0.5,63.93,1.05
2020-01-23,M1,R4,16.27,20.0,3.73,0.5,41.86,1.02
2020-01-23,M2,R2,0.0,10.79,10.79,0.0,118.06,1.1
2020-01-23,M2,R1,11.29,17.83,6.54,0.5,63.93,1.05
2020-01-23,M2,R4,18.33,20.0,1.67,0.5,18.75,1.02
2020-01-23,M3,R2,0.0,8.99,8.99,0.0,118.06,1.1
2020-01-23,M3,R1,9.49,16.23,6.74,0.5,63.93,1.05
2020-01-23,M3,R4,16.73,18.0,1.27,0.5,13.19,1.02
2020-01-24,M1,R2,0.0,8.47,8.47,0.0,110.84,1.1
2020-01-24,M1,R1,8.97,14.0,5.03,0.5,51.47,1.05
2020-01-24,M2,R2,0.0,10.13,10.13,0.0,110.84,1.1
2020-01-24,M2,R1,10.63,14.0,3.37,0.5,32.94,1.05
2020-01-24,M3,R2,0.0,8.44,8.44,0.0,110.84,1.1
2020-01-24,M3,R1,8.94,12.6,3.66,0.5,34.72,1.05
2020-01-25,M1,R2,0.0,8.25,8.25,0.0,107.9,1.1
2020-01-25,M1,R1,8.75,14.0,5.25,0.5,53.77,1.05
2020-01-25,M2,R2,0.0,9.86,9.86,0.0,107.9,1.1
2020-01-25,M2,R1,10.36,14.0,3.64,0.5,35.57,1.05
2020-01-25,M3,R2,0.0,8.22,8.22,0.0,107.9,1.1
2020-01-25,M3,R1,8.72,12.6,3.88,0.5,36.84,1.05
2020-01-26,M1,R2,0.0,9.27,9.27,0.0,121.21,1.1
2020-01-26,M1,R1,9.77,16.67,6.9,0.5,70.7,1.05
2020-01-26,M1,R4,17.17,20.0,2.83,0.5,31.75,1.02
2020-01-26,M2,R2,0.0,11.08,11.08,0.0,121.21,1.1
2020-01-26,M2,R1,11.58,18.81,7.23,0.5,70.7,1.05
2020-01-26,M2,R4,19.31,20.0,0.69,0.5,7.77,1.02
2020-01-26,M3,R2,0.0,9.23,9.23,0.0,121.2,1.1
2020-01-26,M3,R1,9.73,17.18,7.45,0.5,70.7,1.05
2020-01-26,M3,R4,17.68,18.0,0.32,0.5,3.31,1.02
2020-01-27,M1,R2,0.0,9.12,9.12,0.0,119.29,1.1
2020-01-27,M1,R1,9.62,16.15,6.53,0.5,66.88,1.05
2020-01-27,M1,R4,16.65,20.0,3.35,0.5,37.57,1.02
2020-01-27,M2,R2,0.0,10.9,10.9,0.0,119.29,1.1
2020-01-27,M2,R1,11.4,18.24,6.84,0.5,66.88,1.05
2020-01-27,M2,R4,18.74,20.0,1.26,0.5,14.11,1.02
2020-01-27,M3,R2,0.0,9.09,9.09,0.0,119.29,1.1
2020-01-27,M3,R1,9.59,16.63,7.05,0.5,66.88,1.05
2020-01-27,M3,R4,17.13,18.0,0.87,0.5,8.99,1.02
2020-01-28,M1,R2,0.0,9.18,9.18,0.0,120.14,1.1
2020-01-28,M1,R1,9.68,16.13,6.45,0.5,66.01,1.05
2020-01-28,M1,R4,16.63,20.0,3.37,0.5,37.8,1.02
2020-01-28,M2,R2,0.0,10.98,10.98,0.0,120.14,1.1
2020-01-28,M2,R1,11.48,18.23,6.75,0.5,66.01,1.05
2020-01-28,M2,R4,18.73,20.0,1.27,0.5,14.24,1.02
2020-01-28,M3,R2,0.0,9.15,9.15,0.0,120.14,1.1
2020-01-28,M3,R1,9.65,16.61,6.96,0.5,66.01,1.05
2020-01-28,M3,R4,17.11,18.0,0.89,0.5,9.27,1.02
2020-01-29,M1,R2,0.0,9.33,9.33,0.0,121.98,1.1
2020-01-29,M1,R1,9.83,16.36,6.54,0.5,66.92,1.05
2020-01-29,M1,R4,16.86,20.0,3.14,0.5,35.22,1.02
2020-01-29,M2,R2,0.0,11.15,11.15,0.0,121.98,1.1
2020-01-29,M2,R1,11.65,18.49,6.84,0.5,66.92,1.05
2020-01-29,M2,R4,18.99,20.0,1.01,0.5,11.3,1.02
2020-01-29,M3,R2,0.0,9.29,9.29,0.0,121.98,1.1
2020-01-29,M3,R1,9.79,16.84,7.05,0.5,66.92,1.05
2020-01-29,M3,R4,17.34,18.0,0.66,0.5,6.82,1.02
2020-01-30,M1,R2,0.0,9.04,9.04,0.0,118.21,1.1
2020-01-30,M1,R1,9.54,16.14,6.61,0.5,67.66,1.05
2020-01-30,M1,R4,16.64,20.0,3.36,0.5,37.64,1.02
2020-01-30,M2,R2,0.0,10.81,10.81,0.0,118.21,1.1
2020-01-30,M2,R1,11.31,18.22,6.92,0.5,67.66,1.05
2020-01-30,M2,R4,18.72,20.0,1.28,0.5,14.32,1.02
2020-01-30,M3,R2,0.0,9.0,9.0,0.0,118.21,1.1
2020-01-30,M3,R1,9.5,16.63,7.13,0.5,67.66,1.05
2020-01-30,M3,R4,17.13,18.0,0.87,0.5,8.99,1.02
2020-01-31,M1,R2,0.0,8.48,8.48,0.0,110.96,1.1
2020-01-31,M1,R1,8.98,14.0,5.02,0.5,51.37,1.05
2020-01-31,M2,R2,0.0,10.14,10.14,0.0,110.96,1.1
2020-01-31,M2,R1,10.64,14.0,3.36,0.5,32.84,1.05
2020-01-31,M3,R2,0.0,8.45,8.45,0.0,110.96,1.1
2020-01-31,M3,R1,8.95,12.6,3.65,0.5,34.63,1.05
2020-02-01,M1,R2,0.0,8.64,8.64,0.0,113.04,1.1
2020-02-01,M1,R1,9.14,14.0,4.86,0.5,49.75,1.05
2020-02-01,M2,R2,0.0,10.33,10.33,0.0,113.04,1.1
2020-02-01,M2,R1,10.83,14.0,3.17,0.5,30.98,1.05
2020-02-01,M3,R2,0.0,8.61,8.61,0.0,113.04,1.1
2020-02-01,M3,R1,9.11,12.6,3.49,0.5,33.13,1.05
2020-02-02,M1,R2,0.0,9.55,9.55,0.0,124.9,1.1
2020-02-02,M1,R1,10.05,16.83,6.78,0.5,69.41,1.05
2020-02-02,M1,R4,17.33,20.0,2.67,0.5,29.98,1.02
2020-02-02,M2,R2,0.0,11.42,11.42,0.0,124.9,1.1
2020-02-02,M2,R1,11.92,19.01,7.1,0.5,69.41,1.05
2020-02-02,M2,R4,19.51,20.0,0.49,0.5,5.44,1.02
2020-02-02,M3,R2,0.0,9.51,9.51,0.0,124.9,1.1
2020-02-02,M3,R1,10.01,17.33,7.31,0.5,69.41,1.05
2020-02-02,M3,R4,17.83,18.0,0.17,0.5,1.79,1.02
2020-02-03,M1,R2,0.0,9.33,9.33,0.0,121.99,1.1
2020-02-03,M1,R1,9.83,16.16,6.34,0.5,64.9,1.05
2020-02-03,M1,R4,16.66,20.0,3.34,0.5,37.43,1.02
2020-02-03,M2,R2,0.0,11.15,11.15,0.0,121.99,1.1
2020-02-03,M2,R1,11.65,18.29,6.64,0.5,64.9,1.05
2020-02-03,M2,R4,18.79,20.0,1.21,0.5,13.61,1.02
2020-02-03,M3,R2,0.0,9.29,9.29,0.0,121.99,1.1
2020-02-03,M3,R1,9.79,16.63,6.84,0.5,64.9,1.05
2020-02-03,M3,R4,17.13,18.0,0.87,0.5,9.02,1.02
2020-02-04,M1,R2,0.0,9.25,9.25,0.0,121.0,1.1
2020-02-04,M1,R1,9.75,16.13,6.38,0.5,65.3,1.05
2020-02-04,M1,R4,16.63,20.0,3.37,0.5,37.83,1.02
2020-02-04,M2,R2,0.0,11.06,11.06,0.0,121.0,1.1
2020-02-04,M2,R1,11.56,18.24,6.68,0.5,65.3,1.05
2020-02-04,M2,R4,18.74,20.0,1.26,0.5,14.17,1.02
2020-02-04,M3,R2,0.0,9.22,9.22,0.0,121.0,1.1
2020-02-04,M3,R1,9.72,16.6,6.88,0.5,65.3,1.05
2020-02-04,M3,R4,17.1,18.0,0.9,0.5,9.37,1.02
2020-02-05,M1,R2,0.0,9.45,9.45,0.0,123.56,1.1
2020-02-05,M1,R1,9.95,16.32,6.37,0.5,65.23,1.05
2020-02-05,M1,R4,16.82,20.0,3.18,0.5,35.72,1.02
2020-02-05,M2,R2,0.0,11.29,11.29,0.0,123.56,1.1
2020-02-05,M2,R1,11.79,18.46,6.67,0.5,65.23,1.05
2020-02-05,M2,R4,18.96,20.0,1.04,0.5,11.62,1.02
2020-02-05,M3,R2,0.0,9.41,9.41,0.0,123.56,1.1
2020-02-05,M3,R1,9.91,16.78,6.87,0.5,65.23,1.05
2020-02-05,M3,R4,17.28,18.0,0.72,0.5,7.42,1.02
2020-02-06,M1,R2,0.0,9.5,9.5,0.0,124.22,1.1
2020-02-06,M1,R1,10.0,16.68,6.68,0.5,68.43,1.05
2020-02-06,M1,R4,17.18,20.0,2.82,0.5,31.64,1.02
2020-02-06,M2,R2,0.0,11.35,11.35,0.0,124.22,1.1
2020-02-06,M2,R1,11.85,18.85,7.0,0.5,68.43,1.05
2020-02-06,M2,R4,19.35,20.0,0.65,0.5,7.27,1.02
2020-02-06,M3,R2,0.0,9.46,9.46,0.0,124.22,1.1
2020-02-06,M3,R1,9.96,17.17,7.21,0.5,68.43,1.05
2020-02-06,M3,R4,17.67,18.0,0.33,0.5,3.4,1.02
2020-02-07,M1,R2,0.0,8.6,8.6,0.0,112.53,1.1
2020-02-07,M1,R1,9.1,14.0,4.9,0.5,50.14,1.05
2020-02-07,M2,R2,0.0,10.29,10.29,0.0,112.53,1.1
2020-02-07,M2,R1,10.79,14.0,3.21,0.5,31.43,1.05
2020-02-07,M3,R2,0.0,8.57,8.57,0.0,112.53,1.1
2020-02-07,M3,R1,9.07,12.6,3.53,0.5,33.49,1.05
2020-02-08,M1,R2,0.0,8.51,8.51,0.0,111.3,1.1
2020-02-08,M1,R1,9.01,14.0,4.99,0.5,51.1,1.05
2020-02-08,M2,R2,0.0,10.17,10.17,0.0,111.3,1.1
2020-02-08,M2,R1,10.67,14.0,3.33,0.5,32.53,1.05
2020-02-08,M3,R2,0.0,8.48,8.48,0.0,111.3,1.1
2020-02-08,M3,R1,8.98,12.6,3.62,0.5,34.38,1.05
2020-02-09,M1,R2,0.0,9.71,9.71,0.0,127.04,1.1
2020-02-09,M1,R1,10.21,16.57,6.36,0.5,65.15,1.05
2020-02-09,M1,R4,17.07,20.0,2.93,0.5,32.82,1.02
2020-02-09,M2,R2,0.0,11.61,11.61,0.0,127.04,1.1
2020-02-09,M2,R1,12.11,18.77,6.66,0.5,65.15,1.05
2020-02-09,M2,R4,19.27,20.0,0.73,0.5,8.15,1.02
2020-02-09,M3,R2,0.0,9.68,9.68,0.0,127.04,1.1
2020-02-09,M3,R1,10.18,17.04,6.86,0.5,65.15,1.05
2020-02-09,M3,R4,17.54,18.0,0.46,0.5,4.77,1.02
2020-02-10,M1,R2,0.0,9.27,9.27,0.0,121.31,1.1
2020-02-10,M1,R1,9.77,15.85,6.08,0.5,62.25,1.05
2020-02-10,M1,R4,16.35,20.0,3.65,0.5,40.91,1.02
2020-02-10,M2,R2,0.0,11.09,11.09,0.0,121.31,1.1
2020-02-10,M2,R1,11.59,17.95,6.37,0.5,62.25,1.05
2020-02-10,M2,R4,18.45,20.0,1.55,0.5,17.35,1.02
2020-02-10,M3,R2,0.0,9.24,9.24,0.0,121.31,1.1
2020-02-10,M3,R1,9.74,16.3,6.56,0.5,62.25,1.05
2020-02-10,M3,R4,16.8,18.0,1.2,0.5,12.46,1.02
2020-02-11,M1,R2,0.0,9.85,9.85,0.0,128.8,1.1
2020-02-11,M1,R1,10.35,16.93,6.58,0.5,67.38,1.05
2020-02-11,M1,R4,17.43,20.0,2.57,0.5,28.87,1.02
2020-02-11,M2,R2,0.0,11.77,11.77,0.0,128.8,1.1
2020-02-11,M2,R1,12.27,19.16,6.89,0.5,67.38,1.05
2020-02-11,M2,R4,19.66,20.0,0.34,0.5,3.79,1.02
2020-02-11,M3,R2,0.0,9.81,9.81,0.0,128.8,1.1
2020-02-11,M3,R1,10.31,17.41,7.1,0.5,67.38,1.05
2020-02-11,M3,R4,17.91,18.0,0.09,0.5,0.94,1.02
2020-02-12,M1,R2,0.0,9.29,9.29,0.0,121.52,1.1
2020-02-12,M1,R1,9.79,16.36,6.57,0.5,67.3,1.05
2020-02-12,M1,R4,16.86,20.0,3.14,0.5,35.21,1.02
2020-02-12,M2,R2,0.0,11.11,11.11,0.0,121.52,1.1
2020-02-12,M2,R1,11.61,18.49,6.88,0.5,67.3,1.05
2020-02-12,M2,R4,18.99,20.0,1.01,0.5,11.35,1.02
2020-02-12,M3,R2,0.0,9.25,9.25,0.0,121.52,1.1
2020-02-12,M3,R1,9.75,16.85,7.09,0.5,67.3,1.05
2020-02-12,M3,R4,17.35,18.0,0.65,0.5,6.78,1.02
2020-02-13,M1,R2,0.0,9.29,9.29,0.0,121.56,1.1
2020-02-13,M1,R1,9.79,16.27,6.47,0.5,66.28,1.05
2020-02-13,M1,R4,16.77,20.0,3.23,0.5,36.28,1.02
2020-02-13,M2,R2,0.0,11.11,11.11,0.0,121.56,1.1
2020-02-13,M2,R1,11.61,18.39,6.78,0.5,66.28,1.05
2020-02-13,M2,R4,18.89,20.0,1.11,0.5,12.47,1.02
2020-02-13,M3,R2,0.0,9.26,9.26,0.0,121.56,1.1
2020-02-13,M3,R1,9.76,16.74,6.98,0.5,66.28,1.05
2020-02-13,M3,R4,17.24,18.0,0.76,0.5,7.86,1.02
2020-02-14,M1,R2,0.0,8.68,8.68,0.0,113.51,1.1
2020-02-14,M1,R1,9.18,14.0,4.82,0.5,49.38,1.05
2020-02-14,M3,R2,0.0,8.65,8.65,0.0,113.51,1.1
2020-02-14,M3,R1,9.15,12.6,3.45,0.5,32.79,1.05
2020-02-15,M1,R2,0.0,8.89,8.89,0.0,116.23,1.1
2020-02-15,M1,R1,9.39,14.0,4.61,0.5,47.25,1.05
2020-02-15,M2,R2,0.0,10.62,10.62,0.0,116.23,1.1
2020-02-15,M2,R1,11.12,14.0,2.88,0.5,28.13,1.05
2020-02-15,M3,R2,0.0,8.85,8.85,0.0,116.23,1.1
2020-02-15,M3,R1,9.35,12.6,3.25,0.5,30.82,1.05
2020-02-16,M1,R2,0.0,9.69,9.69,0.0,126.71,1.1
2020-02-16,M1,R1,10.19,16.69,6.51,0.5,66.64,1.05
2020-02-16,M1,R4,17.19,20.0,2.81,0.5,31.47,1.02
2020-02-16,M2,R2,0.0,11.58,11.58,0.0,126.71,1.1
2020-02-16,M2,R1,12.08,18.9,6.81,0.5,66.64,1.05
2020-02-16,M2,R4,19.4,20.0,0.6,0.5,6.78,1.02
2020-02-16,M3,R2,0.0,9.65,9.65,0.0,126.71,1.1
2020-02-16,M3,R1,10.15,17.17,7.02,0.5,66.64,1.05
2020-02-16,M3,R4,17.67,18.0,0.33,0.5,3.4,1.02
2020-02-17,M1,R2,0.0,9.64,9.64,0.0,126.11,1.1
2020-02-17,M1,R1,10.14,17.29,7.15,0.5,73.19,1.05
2020-02-17,M1,R4,17.79,20.0,2.21,0.5,24.81,1.02
