mill_id,date,recipe_id,planned_hours,actual_hours,status,changeover_hours,tons_produced
M1,2020-01-25,R1,5.3,5.23,completed,1.5,249.85
M1,2020-01-25,R2,9.7,9.47,completed,0.0,535.18
M3,2020-01-26,R5,1.55,1.59,completed,2.0,29.29
M3,2020-01-26,R1,2.55,2.49,completed,0.0,51.77
M2,2020-01-26,R1,3.43,3.47,completed,1.5,134.26
M2,2020-01-26,R3,9.01,8.86,completed,0.0,338.68
M1,2020-01-26,R1,5.14,5.03,completed,1.5,242.22
M1,2020-01-26,R2,15.36,14.95,completed,0.0,847.72
M2,2020-01-26,R4,6.56,6.79,completed,1.5,277.43
M3,2020-01-27,R1,2.49,2.43,completed,0.0,50.45
M2,2020-01-27,R1,3.24,3.17,completed,1.5,126.74
M2,2020-01-27,R4,6.68,6.58,completed,1.5,282.54
M3,2020-01-27,R5,1.61,1.57,completed,2.0,30.52
M1,2020-01-27,R1,5.09,5.05,completed,1.5,239.66
M1,2020-01-27,R2,15.41,15.93,completed,0.0,850.72
M2,2020-01-27,R3,9.08,8.84,completed,0.0,341.37
M1,2020-01-28,R1,5.38,5.2,completed,1.5,253.42
M1,2020-01-28,R2,15.12,15.57,completed,0.0,834.59
M3,2020-01-28,R5,1.54,1.51,completed,2.0,29.18
M2,2020-01-28,R3,9.5,9.43,completed,0.0,357.13
M2,2020-01-28,R1,3.19,3.13,completed,1.5,124.59
M3,2020-01-28,R1,2.56,2.6,completed,0.0,51.89
M2,2020-01-28,R4,6.32,6.07,completed,1.5,267.14
M3,2020-01-29,R5,1.57,1.61,completed,2.0,29.74
M3,2020-01-29,R1,2.53,2.62,completed,0.0,51.29
M2,2020-01-29,R1,3.48,3.61,completed,1.5,135.96
M1,2020-01-29,R1,5.34,5.15,completed,1.5,251.75
M2,2020-01-29,R3,9.37,9.1,completed,0.0,352.26
M2,2020-01-29,R4,6.15,6.3,completed,1.5,260.32
M1,2020-01-29,R2,15.16,15.76,completed,0.0,836.56
M3,2020-01-30,R5,1.6,1.53,completed,2.0,30.2
M3,2020-01-30,R4,2.5,2.49,completed,0.0,54.04
M2,2020-01-30,R4,3.91,3.91,completed,1.5,165.41
M2,2020-01-30,R3,8.66,8.36,completed,0.0,325.77
M1,2020-01-30,R1,5.01,5.15,completed,1.5,235.98
M2,2020-01-30,R1,6.43,6.6,completed,1.5,251.24
M1,2020-01-30,R2,15.49,16.08,completed,0.0,855.04
M2,2020-01-31,R1,1.84,1.79,completed,1.5,72.09
M2,2020-01-31,R4,4.08,4.02,completed,1.5,172.4
M3,2020-01-31,R5,1.01,1.0,completed,0.0,19.08
M1,2020-01-31,R1,5.26,5.33,completed,1.5,247.77
M2,2020-01-31,R3,5.67,5.8,completed,0.0,213.23
M1,2020-01-31,R2,9.74,9.83,completed,0.0,537.62
M1,2020-02-01,R1,5.27,5.38,completed,1.5,248.17
M1,2020-02-01,R2,9.73,9.62,completed,0.0,537.15
M2,2020-02-01,R3,5.52,5.4,completed,0.0,207.65
M2,2020-02-01,R4,4.12,4.0,completed,1.5,174.34
M2,2020-02-01,R1,2.04,2.03,completed,1.5,79.57
M3,2020-02-01,R5,0.92,0.93,completed,0.0,17.4
M3,2020-02-02,R1,2.56,2.6,completed,0.0,51.96
M2,2020-02-02,R4,6.58,6.82,completed,1.5,278.38
M2,2020-02-02,R3,8.65,8.61,completed,0.0,325.26
M1,2020-02-02,R2,15.48,15.21,completed,0.0,854.76
M1,2020-02-02,R1,5.02,4.86,completed,1.5,236.22
M3,2020-02-02,R5,1.54,1.57,completed,2.0,29.12
M2,2020-02-02,R1,3.77,3.91,completed,1.5,147.35
M2,2020-02-03,R1,3.37,3.28,completed,1.5,131.67
M3,2020-02-03,R1,2.58,2.57,completed,0.0,52.3
M3,2020-02-03,R5,1.52,1.48,completed,2.0,28.8
M2,2020-02-03,R4,6.43,6.56,completed,1.5,272.01
M1,2020-02-03,R1,5.26,5.21,completed,1.5,247.93
M1,2020-02-03,R2,15.24,14.87,completed,0.0,841.03
M2,2020-02-03,R3,9.2,9.28,completed,0.0,345.99
M1,2020-02-04,R2,15.25,15.41,completed,0.0,841.61
M1,2020-02-04,R1,5.25,5.37,completed,1.5,247.44
M2,2020-02-04,R4,6.33,6.45,completed,1.5,267.92
M2,2020-02-04,R3,9.13,9.37,completed,0.0,343.34
M3,2020-02-04,R1,2.57,2.64,completed,0.0,52.15
M2,2020-02-04,R1,3.53,3.44,completed,1.5,138.22
M3,2020-02-04,R5,1.53,1.51,completed,2.0,28.93
M1,2020-02-05,R2,15.31,15.72,completed,0.0,845.29
M1,2020-02-05,R1,5.19,5.08,completed,1.5,244.29
M2,2020-02-05,R3,9.09,9.07,completed,0.0,341.8
M2,2020-02-05,R4,6.62,6.66,completed,1.5,280.02
M2,2020-02-05,R1,3.29,3.17,completed,1.5,128.62
M3,2020-02-05,R1,2.58,2.67,completed,0.0,52.45
M3,2020-02-05,R5,1.52,1.52,completed,2.0,28.66
M1,2020-02-06,R2,15.2,14.83,completed,0.0,839.16
M2,2020-02-06,R3,9.41,9.55,completed,0.0,353.65
M1,2020-02-06,R1,5.3,5.15,completed,1.5,249.53
M2,2020-02-06,R4,6.35,6.13,completed,1.5,268.46
M2,2020-02-06,R1,3.25,3.23,completed,1.5,126.99
M3,2020-02-06,R5,1.6,1.56,completed,2.0,30.15
M3,2020-02-06,R1,2.5,2.51,completed,0.0,50.85
M2,2020-02-07,R3,5.55,5.48,completed,0.0,208.63
M2,2020-02-07,R1,1.79,1.75,completed,1.5,70.1
M2,2020-02-07,R4,4.23,4.11,completed,1.5,179.02
M3,2020-02-07,R5,1.03,1.02,completed,0.0,19.4
M1,2020-02-07,R1,5.17,5.16,completed,1.5,243.38
M1,2020-02-07,R2,9.83,9.54,completed,0.0,542.77
M1,2020-02-08,R2,9.58,9.3,completed,0.0,529.02
M1,2020-02-08,R1,5.42,5.61,completed,1.5,255.11
M2,2020-02-08,R3,5.98,6.11,completed,0.0,224.79
M2,2020-02-08,R4,4.0,3.95,completed,1.5,169.35
M2,2020-02-08,R1,1.64,1.61,completed,1.5,64.19
M3,2020-02-08,R5,0.98,1.01,completed,0.0,18.45
M2,2020-02-09,R3,8.93,9.1,completed,0.0,335.76
M1,2020-02-09,R2,15.34,15.25,completed,0.0,847.0
M1,2020-02-09,R1,5.16,5.31,completed,1.5,242.84
M2,2020-02-09,R1,3.73,3.82,completed,1.5,145.86
M2,2020-02-09,R4,6.34,6.13,completed,1.5,268.17
M3,2020-02-09,R1,2.54,2.55,completed,0.0,51.59
M3,2020-02-09,R5,1.56,1.58,completed,2.0,29.46
M1,2020-02-10,R2,15.33,14.98,completed,0.0,846.06
M1,2020-02-10,R1,5.17,4.97,completed,1.5,243.64
M2,2020-02-10,R3,8.99,8.87,completed,0.0,337.92
M2,2020-02-10,R4,6.49,6.33,completed,1.5,274.39
M2,2020-02-10,R1,3.53,3.51,completed,1.5,137.86
M3,2020-02-10,R1,2.58,2.49,completed,0.0,52.31
M3,2020-02-10,R5,1.52,1.57,completed,2.0,28.79
M1,2020-02-11,R1,5.27,5.38,completed,1.5,248.05
M2,2020-02-11,R3,9.31,9.64,completed,0.0,350.21
M1,2020-02-11,R2,15.23,14.77,completed,0.0,840.9
M2,2020-02-11,R4,6.6,6.41,completed,1.5,279.02
M3,2020-02-11,R1,2.57,2.62,completed,0.0,52.26
M3,2020-02-11,R5,1.53,1.55,completed,2.0,28.83
M2,2020-02-11,R1,3.09,3.05,completed,1.5,120.81
M1,2020-02-12,R1,5.13,4.95,completed,1.5,241.44
M2,2020-02-12,R3,8.72,8.45,completed,0.0,327.84
M1,2020-02-12,R2,15.37,14.8,completed,0.0,848.63
M2,2020-02-12,R1,6.51,6.55,completed,1.5,254.55
M3,2020-02-12,R5,1.49,1.47,completed,2.0,28.16
M3,2020-02-12,R4,2.61,2.63,completed,0.0,56.38
M2,2020-02-12,R4,3.77,3.64,completed,1.5,159.5
M1,2020-02-13,R2,15.16,15.37,completed,0.0,836.91
M1,2020-02-13,R1,5.34,5.46,completed,1.5,251.45
M2,2020-02-13,R3,9.2,9.42,completed,0.0,346.01
M2,2020-02-13,R4,6.62,6.37,completed,1.5,280.01
M2,2020-02-13,R1,3.18,3.29,completed,1.5,124.26
M3,2020-02-13,R1,2.72,2.74,completed,0.0,55.19
M3,2020-02-13,R5,1.38,1.43,completed,2.0,26.11
M2,2020-02-14,R3,6.01,6.12,completed,0.0,225.88
M1,2020-02-14,R1,5.45,5.44,completed,1.5,256.77
M1,2020-02-14,R2,9.55,9.64,completed,0.0,527.08
M2,2020-02-14,R1,1.56,1.51,completed,1.5,61.09
M2,2020-02-14,R4,4.11,4.02,completed,1.5,174.0
M3,2020-02-14,R5,0.92,0.89,completed,0.0,17.32
M1,2020-02-15,R2,9.6,9.87,completed,0.0,529.84
M1,2020-02-15,R1,5.4,5.58,completed,1.5,254.41
M2,2020-02-15,R3,5.85,6.0,completed,0.0,220.07
M2,2020-02-15,R4,4.14,4.27,completed,1.5,174.98
M2,2020-02-15,R1,1.71,1.77,completed,1.5,66.78
M3,2020-02-15,R5,0.9,0.9,completed,0.0,17.05
M2,2020-02-16,R4,6.82,6.73,completed,1.5,288.37
M1,2020-02-16,R1,4.87,4.92,completed,1.5,229.6
M2,2020-02-16,R3,8.44,8.34,completed,0.0,317.27
M3,2020-02-16,R5,1.55,1.5,completed,2.0,29.35
M2,2020-02-16,R1,3.74,3.81,completed,1.5,146.41
M3,2020-02-16,R1,2.55,2.46,completed,0.0,51.7
M1,2020-02-16,R2,15.63,15.19,completed,0.0,862.52
M1,2020-02-17,R1,5.21,5.11,completed,1.5,245.58
M2,2020-02-17,R4,6.42,6.32,completed,1.5,271.5
M2,2020-02-17,R3,9.14,9.05,completed,0.0,343.58
M3,2020-02-17,R5,1.56,1.59,completed,2.0,29.46
M2,2020-02-17,R1,3.44,3.48,completed,1.5,134.66
M3,2020-02-17,R1,2.54,2.47,completed,0.0,51.58
M1,2020-02-17,R2,15.29,15.52,completed,0.0,843.79
M3,2020-02-18,R5,1.51,1.51,completed,2.0,28.46
M1,2020-02-18,R2,15.2,15.72,completed,0.0,839.06
M1,2020-02-18,R1,5.3,5.44,completed,1.5,249.61
M2,2020-02-18,R3,9.29,9.59,completed,0.0,349.36
M2,2020-02-18,R4,6.48,6.71,completed,1.5,274.18
M2,2020-02-18,R1,3.23,3.19,completed,1.5,126.16
M3,2020-02-18,R1,2.59,2.66,completed,0.0,52.66
M2,2020-02-19,R3,8.72,8.54,completed,0.0,327.69
M1,2020-02-19,R1,5.05,5.15,completed,1.5,237.88
M2,2020-02-19,R4,6.53,6.33,completed,1.5,276.29
M1,2020-02-19,R2,15.45,15.16,completed,0.0,852.81
M2,2020-02-19,R1,3.75,3.81,completed,1.5,146.76
M3,2020-02-19,R5,1.54,1.52,completed,2.0,29.09
M3,2020-02-19,R1,2.56,2.52,completed,0.0,51.98
M3,2020-02-20,R1,2.66,2.65,completed,0.0,54.06
M2,2020-02-20,R1,3.25,3.36,completed,1.5,127.26
M2,2020-02-20,R4,6.44,6.39,completed,1.5,272.59
M3,2020-02-20,R5,1.44,1.43,completed,2.0,27.16
M1,2020-02-20,R1,5.37,5.21,completed,1.5,252.83
M2,2020-02-20,R3,9.3,9.5,completed,0.0,349.71
M1,2020-02-20,R2,15.13,15.59,completed,0.0,835.29
M1,2020-02-21,R2,9.63,9.57,completed,0.0,531.49
M1,2020-02-21,R1,5.37,5.52,completed,1.5,253.0
M2,2020-02-21,R3,5.88,5.65,completed,0.0,221.08
M2,2020-02-21,R4,4.31,4.38,completed,1.5,182.38
M2,2020-02-21,R1,1.51,1.47,completed,1.5,58.86
M3,2020-02-21,R5,0.9,0.93,completed,0.0,17.08
M2,2020-02-22,R3,5.63,5.73,completed,0.0,211.8
M1,2020-02-22,R1,5.24,5.17,completed,1.5,246.89
M1,2020-02-22,R2,9.76,9.66,completed,0.0,538.65
M3,2020-02-22,R5,1.0,0.98,completed,0.0,18.86
M2,2020-02-22,R1,1.83,1.85,completed,1.5,71.52
M2,2020-02-22,R4,4.14,4.21,completed,1.5,175.11
M3,2020-02-23,R1,2.56,2.63,completed,0.0,51.97
M2,2020-02-23,R1,3.25,3.2,completed,1.5,127.25
M2,2020-02-23,R4,6.33,6.3,completed,1.5,267.7
M3,2020-02-23,R5,1.54,1.52,completed,2.0,29.11
M1,2020-02-23,R1,5.35,5.16,completed,1.5,252.04
M1,2020-02-23,R2,15.15,15.28,completed,0.0,836.21
M2,2020-02-23,R3,9.42,9.76,completed,0.0,354.07
M3,2020-02-24,R1,2.58,2.51,completed,0.0,52.31
M3,2020-02-24,R5,1.52,1.56,completed,2.0,28.79
M2,2020-02-24,R4,6.51,6.33,completed,1.5,275.39
M2,2020-02-24,R1,3.59,3.62,completed,1.5,140.5
M1,2020-02-24,R1,5.13,5.21,completed,1.5,241.84
M1,2020-02-24,R2,15.37,15.98,completed,0.0,848.17
M2,2020-02-24,R3,8.9,9.0,completed,0.0,334.5
M2,2020-02-25,R1,3.27,3.31,completed,1.5,127.87
M3,2020-02-25,R1,2.6,2.65,completed,0.0,52.77
M2,2020-02-25,R4,6.44,6.6,completed,1.5,272.35
M3,2020-02-25,R5,1.5,1.47,completed,2.0,28.36
M1,2020-02-25,R1,5.31,5.25,completed,1.5,250.26
M2,2020-02-25,R3,9.29,9.27,completed,0.0,349.34
M1,2020-02-25,R2,15.19,14.75,completed,0.0,838.3
M3,2020-02-26,R5,1.57,1.62,completed,2.0,29.72
M3,2020-02-26,R4,2.53,2.44,completed,0.0,54.59
M2,2020-02-26,R1,6.58,6.75,completed,1.5,257.31
M2,2020-02-26,R4,3.83,3.79,completed,1.5,161.97
M1,2020-02-26,R1,5.02,4.97,completed,1.5,236.29
M1,2020-02-26,R2,15.48,15.16,completed,0.0,854.68
M2,2020-02-26,R3,8.59,8.26,completed,0.0,322.99
M3,2020-02-27,R5,1.44,1.42,completed,2.0,27.21
M3,2020-02-27,R1,2.66,2.71,completed,0.0,54.01
M2,2020-02-27,R1,3.25,3.19,completed,1.5,127.06
M1,2020-02-27,R2,15.27,15.84,completed,0.0,842.68
M2,2020-02-27,R3,9.08,8.97,completed,0.0,341.35
M1,2020-02-27,R1,5.23,5.3,completed,1.5,246.53
M2,2020-02-27,R4,6.67,6.63,completed,1.5,282.22
M2,2020-02-28,R4,4.16,4.09,completed,1.5,175.82
M3,2020-02-28,R5,0.95,0.96,completed,0.0,17.98
M2,2020-02-28,R3,5.63,5.68,completed,0.0,211.68
M1,2020-02-28,R1,5.28,5.08,completed,1.5,248.46
M1,2020-02-28,R2,9.72,9.36,completed,0.0,536.81
M2,2020-02-28,R1,1.86,1.81,completed,1.5,72.82
M2,2020-02-29,R4,4.04,4.13,completed,1.5,170.83
M2,2020-02-29,R1,1.79,1.84,completed,1.5,70.13
M3,2020-02-29,R5,0.97,1.0,completed,0.0,18.28
M2,2020-02-29,R3,5.8,5.66,completed,0.0,218.1
M1,2020-02-29,R2,9.65,9.48,completed,0.0,532.63
M1,2020-02-29,R1,5.35,5.17,completed,1.5,252.02
M3,2020-03-01,R5,1.58,1.56,completed,2.0,29.92
M3,2020-03-01,R1,2.52,2.43,completed,0.0,51.1
M2,2020-03-01,R1,3.75,3.81,completed,1.5,146.59
M1,2020-03-01,R2,15.52,15.56,completed,0.0,856.46
M2,2020-03-01,R3,8.67,8.42,completed,0.0,325.81
M1,2020-03-01,R1,4.98,5.16,completed,1.5,234.77
M2,2020-03-01,R4,6.59,6.68,completed,1.5,278.58
M2,2020-03-02,R3,9.36,9.03,completed,0.0,352.07
M1,2020-03-02,R2,15.19,15.74,completed,0.0,838.55
M2,2020-03-02,R4,6.44,6.46,completed,1.5,272.56
M1,2020-03-02,R1,5.31,5.42,completed,1.5,250.05
M3,2020-03-02,R1,2.56,2.66,completed,0.0,52.04
M2,2020-03-02,R1,3.19,3.23,completed,1.5,124.84
M3,2020-03-02,R5,1.54,1.56,completed,2.0,29.04
M2,2020-03-03,R4,6.61,6.84,completed,1.5,279.6
M3,2020-03-03,R1,2.56,2.6,completed,0.0,51.93
M3,2020-03-03,R5,1.54,1.56,completed,2.0,29.14
M2,2020-03-03,R1,3.38,3.38,completed,1.5,132.22
M1,2020-03-03,R1,5.14,5.31,completed,1.5,242.01
M2,2020-03-03,R3,9.01,9.12,completed,0.0,338.72
M1,2020-03-03,R2,15.36,15.53,completed,0.0,847.97
M3,2020-03-04,R5,1.55,1.56,completed,2.0,29.37
M3,2020-03-04,R1,2.55,2.59,completed,0.0,51.68
M2,2020-03-04,R1,3.68,3.58,completed,1.5,143.96
M1,2020-03-04,R2,15.36,15.42,completed,0.0,847.81
M2,2020-03-04,R3,8.92,9.21,completed,0.0,335.29
M1,2020-03-04,R1,5.14,5.07,completed,1.5,242.15
M2,2020-03-04,R4,6.4,6.28,completed,1.5,270.76
M2,2020-03-05,R3,9.32,9.16,completed,0.0,350.44
M1,2020-03-05,R1,5.26,5.41,completed,1.5,247.57
M1,2020-03-05,R2,15.24,14.95,completed,0.0,841.46
M2,2020-03-05,R1,3.1,2.98,completed,1.5,121.1
M3,2020-03-05,R5,1.54,1.53,completed,2.0,29.18
M3,2020-03-05,R1,2.56,2.64,completed,0.0,51.89
M2,2020-03-05,R4,6.58,6.35,completed,1.5,278.45
