sku_id,date,forecast_tons,forecast_units,confidence_pct,seasonality_index,scenario_id
SKU005,2020-01-08,88.03,8803,0.9,1.01,base
SKU006,2020-01-08,121.4,2698,0.87,1.01,base
SKU007,2020-01-08,82.85,8285,0.84,1.01,base
SKU008,2020-01-08,149.76,3328,0.91,1.01,base
SKU009,2020-01-08,78.59,7859,0.83,1.01,base
SKU010,2020-01-08,138.62,3080,0.94,1.01,base
SKU011,2020-01-08,246.88,5486,0.82,1.01,base
SKU012,2020-01-08,121.33,12133,0.92,1.01,base
SKU013,2020-01-08,210.05,4668,0.86,1.01,base
SKU014,2020-01-08,85.8,8580,0.83,1.01,base
SKU001,2020-01-09,272.62,6058,0.86,1.01,base
SKU002,2020-01-09,126.25,12625,0.83,1.01,base
SKU003,2020-01-09,29.17,29170,0.82,1.01,base
SKU004,2020-01-09,227.43,5054,0.84,1.01,base
SKU005,2020-01-09,97.57,9757,0.93,1.01,base
SKU006,2020-01-09,130.01,2889,0.82,1.01,base
SKU007,2020-01-09,77.46,7746,0.95,1.01,base
SKU008,2020-01-09,152.52,3389,0.8,1.01,base
SKU009,2020-01-09,79.03,7903,0.9,1.01,base
SKU010,2020-01-09,148.35,3297,0.93,1.01,base
SKU011,2020-01-09,263.84,5863,0.94,1.01,base
SKU012,2020-01-09,126.86,12686,0.82,1.01,base
SKU013,2020-01-09,202.67,4504,0.9,1.01,base
SKU014,2020-01-09,89.49,8949,0.82,1.01,base
SKU001,2020-01-10,269.77,5995,0.85,1.01,base
SKU002,2020-01-10,105.13,10513,0.91,1.01,base
SKU003,2020-01-10,28.75,28750,0.85,1.01,base
SKU004,2020-01-10,187.01,4156,0.85,1.01,base
SKU005,2020-01-10,86.59,8659,0.82,1.01,base
SKU006,2020-01-10,111.08,2468,0.81,1.01,base
SKU007,2020-01-10,73.21,7321,0.82,1.01,base
SKU008,2020-01-10,133.78,2973,0.93,1.01,base
SKU009,2020-01-10,73.32,7332,0.8,1.01,base
SKU010,2020-01-10,134.28,2984,0.9,1.01,base
SKU011,2020-01-10,235.65,5237,0.92,1.01,base
SKU012,2020-01-10,114.93,11493,0.89,1.01,base
SKU013,2020-01-10,199.36,4430,0.91,1.01,base
SKU014,2020-01-10,94.65,9465,0.9,1.01,base
SKU001,2020-01-11,257.41,5720,0.87,1.02,base
SKU002,2020-01-11,110.98,11098,0.86,1.02,base
SKU003,2020-01-11,26.02,26020,0.94,1.02,base
SKU004,2020-01-11,207.93,4621,0.95,1.02,base
SKU005,2020-01-11,89.57,8957,0.9,1.02,base
SKU006,2020-01-11,107.28,2384,0.83,1.02,base
SKU007,2020-01-11,77.07,7707,0.87,1.02,base
SKU008,2020-01-11,148.7,3304,0.87,1.02,base
SKU009,2020-01-11,75.61,7561,0.91,1.02,base
SKU010,2020-01-11,136.37,3030,0.9,1.02,base
SKU011,2020-01-11,226.24,5028,0.88,1.02,base
SKU012,2020-01-11,105.32,10532,0.9,1.02,base
SKU013,2020-01-11,196.7,4371,0.8,1.02,base
SKU014,2020-01-11,89.68,8968,0.92,1.02,base
SKU001,2020-01-12,295.27,6562,0.83,1.02,base
SKU002,2020-01-12,116.24,11624,0.9,1.02,base
SKU003,2020-01-12,29.37,29370,0.82,1.02,base
SKU004,2020-01-12,201.53,4478,0.82,1.02,base
SKU005,2020-01-12,95.07,9507,0.81,1.02,base
SKU006,2020-01-12,129.8,2884,0.94,1.02,base
SKU007,2020-01-12,83.1,8310,0.89,1.02,base
SKU008,2020-01-12,159.75,3550,0.85,1.02,base
SKU009,2020-01-12,77.84,7784,0.92,1.02,base
SKU010,2020-01-12,143.44,3188,0.89,1.02,base
SKU011,2020-01-12,227.4,5053,0.89,1.02,base
SKU012,2020-01-12,117.35,11735,0.87,1.02,base
SKU013,2020-01-12,212.37,4719,0.8,1.02,base
SKU014,2020-01-12,90.45,9045,0.84,1.02,base
SKU001,2020-01-13,302.45,6721,0.82,1.02,base
SKU002,2020-01-13,125.52,12552,0.9,1.02,base
SKU003,2020-01-13,34.74,34740,0.84,1.02,base
SKU004,2020-01-13,214.91,4776,0.87,1.02,base
SKU005,2020-01-13,85.23,8523,0.85,1.02,base
SKU006,2020-01-13,122.02,2712,0.82,1.02,base
SKU007,2020-01-13,77.56,7756,0.94,1.02,base
SKU008,2020-01-13,160.25,3561,0.94,1.02,base
SKU009,2020-01-13,81.66,8166,0.81,1.02,base
SKU010,2020-01-13,141.62,3147,0.92,1.02,base
SKU011,2020-01-13,242.94,5399,0.87,1.02,base
SKU012,2020-01-13,126.76,12676,0.92,1.02,base
SKU013,2020-01-13,199.11,4425,0.82,1.02,base
SKU014,2020-01-13,95.23,9523,0.82,1.02,base
SKU001,2020-01-14,300.53,6678,0.93,1.02,base
SKU002,2020-01-14,120.31,12031,0.93,1.02,base
SKU003,2020-01-14,29.18,29180,0.87,1.02,base
SKU004,2020-01-14,208.71,4638,0.93,1.02,base
SKU005,2020-01-14,95.06,9506,0.9,1.02,base
SKU006,2020-01-14,122.97,2733,0.83,1.02,base
SKU007,2020-01-14,84.17,8417,0.85,1.02,base
SKU008,2020-01-14,166.49,3700,0.82,1.02,base
SKU009,2020-01-14,82.54,8254,0.92,1.02,base
SKU010,2020-01-14,137.02,3045,0.95,1.02,base
SKU011,2020-01-14,257.74,5728,0.88,1.02,base
SKU012,2020-01-14,122.71,12271,0.9,1.02,base
SKU013,2020-01-14,212.9,4731,0.91,1.02,base
SKU014,2020-01-14,96.69,9669,0.83,1.02,base
SKU001,2020-01-15,272.28,6051,0.85,1.02,base
SKU002,2020-01-15,131.04,13104,0.86,1.02,base
SKU003,2020-01-15,32.03,32030,0.89,1.02,base
SKU004,2020-01-15,208.02,4623,0.93,1.02,base
SKU005,2020-01-15,93.33,9333,0.84,1.02,base
SKU006,2020-01-15,124.15,2759,0.87,1.02,base
SKU007,2020-01-15,81.81,8181,0.91,1.02,base
SKU008,2020-01-15,159.89,3553,0.81,1.02,base
SKU009,2020-01-15,87.59,8759,0.88,1.02,base
SKU010,2020-01-15,143.05,3179,0.82,1.02,base
SKU011,2020-01-15,261.45,5810,0.88,1.02,base
SKU012,2020-01-15,128.62,12862,0.92,1.02,base
SKU013,2020-01-15,206.65,4592,0.84,1.02,base
SKU014,2020-01-15,92.74,9274,0.93,1.02,base
SKU001,2020-01-16,269.88,5997,0.85,1.02,base
SKU002,2020-01-16,113.53,11353,0.83,1.02,base
SKU003,2020-01-16,30.94,30940,0.87,1.02,base
SKU004,2020-01-16,205.6,4569,0.93,1.02,base
SKU005,2020-01-16,91.87,9187,0.81,1.02,base
SKU006,2020-01-16,119.46,2655,0.85,1.02,base
SKU007,2020-01-16,74.51,7451,0.9,1.02,base
SKU008,2020-01-16,156.16,3470,0.85,1.02,base
SKU009,2020-01-16,80.13,8013,0.81,1.02,base
SKU010,2020-01-16,143.77,3195,0.85,1.02,base
SKU011,2020-01-16,234.51,5211,0.92,1.02,base
SKU012,2020-01-16,120.68,12068,0.95,1.02,base
SKU013,2020-01-16,220.52,4900,0.81,1.02,base
SKU014,2020-01-16,92.64,9264,0.89,1.02,base
SKU001,2020-01-17,271.08,6024,0.82,1.02,base
SKU002,2020-01-17,105.89,10589,0.9,1.02,base
SKU003,2020-01-17,31.64,31640,0.8,1.02,base
SKU004,2020-01-17,216.11,4802,0.8,1.02,base
SKU005,2020-01-17,90.58,9058,0.92,1.02,base
SKU006,2020-01-17,117.76,2617,0.81,1.02,base
SKU007,2020-01-17,75.44,7544,0.85,1.02,base
SKU008,2020-01-17,144.46,3210,0.94,1.02,base
SKU009,2020-01-17,79.33,7933,0.95,1.02,base
SKU010,2020-01-17,127.77,2839,0.82,1.02,base
SKU011,2020-01-17,221.12,4914,0.88,1.02,base
SKU012,2020-01-17,103.64,10364,0.88,1.02,base
SKU013,2020-01-17,181.18,4026,0.87,1.02,base
SKU014,2020-01-17,91.85,9185,0.94,1.02,base
SKU001,2020-01-18,259.78,5773,0.91,1.02,base
SKU002,2020-01-18,111.43,11143,0.91,1.02,base
SKU003,2020-01-18,28.76,28760,0.84,1.02,base
SKU004,2020-01-18,182.17,4048,0.87,1.02,base
SKU005,2020-01-18,88.93,8893,0.87,1.02,base
SKU006,2020-01-18,120.39,2675,0.84,1.02,base
SKU007,2020-01-18,76.91,7691,0.81,1.02,base
SKU008,2020-01-18,153.22,3405,0.82,1.02,base
SKU009,2020-01-18,70.48,7048,0.83,1.02,base
SKU010,2020-01-18,144.27,3206,0.83,1.02,base
SKU011,2020-01-18,218.18,4848,0.84,1.02,base
SKU012,2020-01-18,105.98,10598,0.84,1.02,base
SKU013,2020-01-18,186.47,4144,0.87,1.02,base
SKU014,2020-01-18,92.87,9287,0.88,1.02,base
SKU001,2020-01-19,287.27,6384,0.85,1.03,base
SKU002,2020-01-19,117.49,11749,0.94,1.03,base
SKU003,2020-01-19,28.81,28810,0.88,1.03,base
SKU004,2020-01-19,214.53,4767,0.92,1.03,base
SKU005,2020-01-19,83.21,8321,0.94,1.03,base
SKU006,2020-01-19,115.22,2560,0.82,1.03,base
SKU007,2020-01-19,88.5,8850,0.86,1.03,base
SKU008,2020-01-19,164.24,3650,0.86,1.03,base
SKU009,2020-01-19,81.63,8163,0.85,1.03,base
SKU010,2020-01-19,140.43,3121,0.8,1.03,base
SKU011,2020-01-19,247.19,5493,0.92,1.03,base
SKU012,2020-01-19,137.7,13770,0.82,1.03,base
SKU013,2020-01-19,209.55,4657,0.95,1.03,base
SKU014,2020-01-19,96.63,9663,0.92,1.03,base
SKU001,2020-01-20,285.02,6334,0.89,1.03,base
SKU002,2020-01-20,123.78,12378,0.82,1.03,base
SKU003,2020-01-20,31.85,31850,0.88,1.03,base
SKU004,2020-01-20,217.31,4829,0.84,1.03,base
SKU005,2020-01-20,83.77,8377,0.84,1.03,base
SKU006,2020-01-20,131.3,2918,0.92,1.03,base
SKU007,2020-01-20,79.74,7974,0.86,1.03,base
SKU008,2020-01-20,170.53,3790,0.87,1.03,base
SKU009,2020-01-20,85.09,8509,0.93,1.03,base
SKU010,2020-01-20,144.48,3211,0.81,1.03,base
SKU011,2020-01-20,252.22,5605,0.89,1.03,base
SKU012,2020-01-20,122.73,12273,0.89,1.03,base
SKU013,2020-01-20,200.67,4459,0.86,1.03,base
SKU014,2020-01-20,93.51,9351,0.92,1.03,base
SKU001,2020-01-21,301.07,6690,0.94,1.03,base
SKU002,2020-01-21,120.69,12069,0.87,1.03,base
SKU003,2020-01-21,29.93,29930,0.87,1.03,base
SKU004,2020-01-21,212.39,4720,0.88,1.03,base
SKU005,2020-01-21,97.08,9708,0.91,1.03,base
SKU006,2020-01-21,132.54,2945,0.9,1.03,base
SKU007,2020-01-21,83.87,8387,0.83,1.03,base
SKU008,2020-01-21,158.94,3532,0.81,1.03,base
SKU009,2020-01-21,79.78,7978,0.94,1.03,base
SKU010,2020-01-21,150.48,3344,0.84,1.03,base
SKU011,2020-01-21,253.95,5643,0.9,1.03,base
SKU012,2020-01-21,119.18,11918,0.92,1.03,base
SKU013,2020-01-21,187.53,4167,0.85,1.03,base
SKU014,2020-01-21,87.02,8702,0.9,1.03,base
SKU001,2020-01-22,279.04,6201,0.82,1.03,base
SKU002,2020-01-22,130.92,13092,0.95,1.03,base
SKU003,2020-01-22,33.33,33330,0.81,1.03,base
SKU004,2020-01-22,211.76,4706,0.87,1.03,base
SKU005,2020-01-22,90.9,9090,0.88,1.03,base
SKU006,2020-01-22,125.35,2786,0.92,1.03,base
SKU007,2020-01-22,82.53,8253,0.82,1.03,base
SKU008,2020-01-22,161.86,3597,0.87,1.03,base
SKU009,2020-01-22,80.33,8033,0.84,1.03,base
SKU010,2020-01-22,151.2,3360,0.85,1.03,base
SKU011,2020-01-22,244.49,5433,0.92,1.03,base
SKU012,2020-01-22,129.01,12901,0.8,1.03,base
SKU013,2020-01-22,203.42,4520,0.91,1.03,base
SKU014,2020-01-22,89.95,8995,0.92,1.03,base
SKU001,2020-01-23,316.71,7038,0.94,1.03,base
SKU002,2020-01-23,130.49,13049,0.89,1.03,base
SKU003,2020-01-23,28.2,28200,0.85,1.03,base
SKU004,2020-01-23,211.96,4710,0.86,1.03,base
SKU005,2020-01-23,98.51,9851,0.95,1.03,base
SKU006,2020-01-23,116.48,2588,0.93,1.03,base
SKU007,2020-01-23,85.78,8578,0.87,1.03,base
SKU008,2020-01-23,160.03,3556,0.94,1.03,base
SKU009,2020-01-23,79.71,7971,0.92,1.03,base
SKU010,2020-01-23,144.47,3210,0.94,1.03,base
SKU011,2020-01-23,221.88,4931,0.9,1.03,base
SKU012,2020-01-23,134.86,13486,0.93,1.03,base
SKU013,2020-01-23,203.29,4518,0.93,1.03,base
SKU014,2020-01-23,96.65,9665,0.81,1.03,base
SKU001,2020-01-24,274.47,6099,0.94,1.03,base
SKU002,2020-01-24,121.87,12187,0.85,1.03,base
SKU003,2020-01-24,27.91,27910,0.87,1.03,base
SKU004,2020-01-24,201.75,4483,0.92,1.03,base
SKU005,2020-01-24,87.99,8799,0.9,1.03,base
SKU006,2020-01-24,119.1,2647,0.93,1.03,base
SKU007,2020-01-24,80.48,8048,0.86,1.03,base
SKU008,2020-01-24,139.25,3094,0.86,1.03,base
SKU009,2020-01-24,73.56,7356,0.8,1.03,base
SKU010,2020-01-24,142.2,3160,0.87,1.03,base
SKU011,2020-01-24,205.0,4556,0.91,1.03,base
SKU012,2020-01-24,123.08,12308,0.85,1.03,base
SKU013,2020-01-24,187.33,4163,0.87,1.03,base
SKU014,2020-01-24,85.57,8557,0.83,1.03,base
SKU001,2020-01-25,257.54,5723,0.92,1.03,base
SKU002,2020-01-25,114.0,11400,0.81,1.03,base
SKU003,2020-01-25,30.38,30380,0.91,1.03,base
SKU004,2020-01-25,207.68,4615,0.86,1.03,base
SKU005,2020-01-25,87.82,8782,0.81,1.03,base
SKU006,2020-01-25,114.78,2551,0.93,1.03,base
SKU007,2020-01-25,70.68,7068,0.87,1.03,base
SKU008,2020-01-25,136.81,3040,0.89,1.03,base
SKU009,2020-01-25,74.87,7487,0.91,1.03,base
SKU010,2020-01-25,136.37,3030,0.9,1.03,base
SKU011,2020-01-25,229.34,5096,0.91,1.03,base
SKU012,2020-01-25,119.89,11989,0.91,1.03,base
SKU013,2020-01-25,194.96,4332,0.89,1.03,base
SKU014,2020-01-25,85.94,8594,0.85,1.03,base
SKU001,2020-01-26,323.21,7182,0.84,1.03,base
SKU002,2020-01-26,126.89,12689,0.94,1.03,base
SKU003,2020-01-26,30.42,30420,0.95,1.03,base
SKU004,2020-01-26,237.88,5286,0.85,1.03,base
SKU005,2020-01-26,98.87,9887,0.82,1.03,base
SKU006,2020-01-26,135.66,3015,0.83,1.03,base
SKU007,2020-01-26,82.45,8245,0.9,1.03,base
SKU008,2020-01-26,163.05,3623,0.83,1.03,base
SKU009,2020-01-26,76.89,7689,0.92,1.03,base
SKU010,2020-01-26,150.78,3351,0.94,1.03,base
SKU011,2020-01-26,246.77,5484,0.94,1.03,base
SKU012,2020-01-26,115.94,11594,0.8,1.03,base
SKU013,2020-01-26,217.98,4844,0.94,1.03,base
SKU014,2020-01-26,84.83,8483,0.91,1.03,base
SKU001,2020-01-27,262.77,5839,0.81,1.04,base
SKU002,2020-01-27,126.78,12678,0.86,1.04,base
SKU003,2020-01-27,32.02,32020,0.91,1.04,base
SKU004,2020-01-27,228.49,5078,0.94,1.04,base
SKU005,2020-01-27,96.86,9686,0.82,1.04,base
SKU006,2020-01-27,133.72,2972,0.82,1.04,base
SKU007,2020-01-27,85.92,8592,0.87,1.04,base
SKU008,2020-01-27,154.63,3436,0.95,1.04,base
SKU009,2020-01-27,82.71,8271,0.95,1.04,base
SKU010,2020-01-27,143.23,3183,0.83,1.04,base
SKU011,2020-01-27,252.73,5616,0.85,1.04,base
SKU012,2020-01-27,117.69,11769,0.94,1.04,base
SKU013,2020-01-27,211.08,4691,0.91,1.04,base
SKU014,2020-01-27,92.99,9299,0.95,1.04,base
SKU001,2020-01-28,294.93,6554,0.93,1.04,base
SKU002,2020-01-28,126.42,12642,0.83,1.04,base
SKU003,2020-01-28,27.35,27350,0.91,1.04,base
SKU004,2020-01-28,208.36,4630,0.81,1.04,base
SKU005,2020-01-28,93.0,9300,0.92,1.04,base
SKU006,2020-01-28,124.33,2763,0.89,1.04,base
SKU007,2020-01-28,84.2,8420,0.94,1.04,base
SKU008,2020-01-28,158.21,3516,0.94,1.04,base
SKU009,2020-01-28,89.42,8942,0.81,1.04,base
SKU010,2020-01-28,147.73,3283,0.82,1.04,base
SKU011,2020-01-28,245.46,5455,0.87,1.04,base
SKU012,2020-01-28,114.71,11471,0.93,1.04,base
SKU013,2020-01-28,193.58,4302,0.92,1.04,base
SKU014,2020-01-28,96.01,9601,0.94,1.04,base
SKU001,2020-01-29,306.73,6816,0.89,1.04,base
SKU002,2020-01-29,134.46,13446,0.84,1.04,base
SKU003,2020-01-29,29.92,29920,0.8,1.04,base
SKU004,2020-01-29,215.14,4781,0.83,1.04,base
SKU005,2020-01-29,94.76,9476,0.9,1.04,base
SKU006,2020-01-29,137.61,3058,0.94,1.04,base
SKU007,2020-01-29,83.7,8370,0.85,1.04,base
SKU008,2020-01-29,168.15,3737,0.93,1.04,base
SKU009,2020-01-29,83.93,8393,0.86,1.04,base
SKU010,2020-01-29,154.04,3423,0.85,1.04,base
SKU011,2020-01-29,262.48,5833,0.88,1.04,base
SKU012,2020-01-29,125.87,12587,0.87,1.04,base
SKU013,2020-01-29,197.44,4388,0.94,1.04,base
SKU014,2020-01-29,92.37,9237,0.87,1.04,base
SKU001,2020-01-30,313.35,6963,0.84,1.04,base
SKU002,2020-01-30,130.47,13047,0.93,1.04,base
SKU003,2020-01-30,30.57,30570,0.95,1.04,base
SKU004,2020-01-30,214.99,4778,0.9,1.04,base
SKU005,2020-01-30,85.63,8563,0.84,1.04,base
SKU006,2020-01-30,134.01,2978,0.84,1.04,base
SKU007,2020-01-30,87.02,8702,0.81,1.04,base
SKU008,2020-01-30,155.16,3448,0.81,1.04,base
SKU009,2020-01-30,84.16,8416,0.94,1.04,base
SKU010,2020-01-30,129.99,2889,0.81,1.04,base
SKU011,2020-01-30,243.89,5420,0.87,1.04,base
SKU012,2020-01-30,133.33,13333,0.9,1.04,base
SKU013,2020-01-30,218.54,4856,0.93,1.04,base
SKU014,2020-01-30,95.29,9529,0.83,1.04,base
SKU001,2020-01-31,268.44,5965,0.87,1.04,base
SKU002,2020-01-31,119.71,11971,0.84,1.04,base
SKU003,2020-01-31,28.38,28380,0.84,1.04,base
SKU004,2020-01-31,184.71,4105,0.85,1.04,base
SKU005,2020-01-31,86.32,8632,0.89,1.04,base
SKU006,2020-01-31,117.45,2610,0.8,1.04,base
SKU007,2020-01-31,81.06,8106,0.86,1.04,base
SKU008,2020-01-31,133.54,2968,0.83,1.04,base
SKU009,2020-01-31,76.28,7628,0.95,1.04,base
SKU010,2020-01-31,133.81,2974,0.89,1.04,base
SKU011,2020-01-31,217.58,4835,0.93,1.04,base
SKU012,2020-01-31,117.94,11794,0.83,1.04,base
SKU013,2020-01-31,199.05,4423,0.92,1.04,base
SKU014,2020-01-31,85.09,8509,0.86,1.04,base
SKU001,2020-02-01,296.59,6591,0.83,1.04,base
SKU002,2020-02-01,113.43,11343,0.91,1.04,base
SKU003,2020-02-01,28.17,28170,0.91,1.04,base
SKU004,2020-02-01,196.92,4376,0.95,1.04,base
SKU005,2020-02-01,82.93,8293,0.92,1.04,base
SKU006,2020-02-01,112.05,2490,0.82,1.04,base
SKU007,2020-02-01,71.33,7133,0.85,1.04,base
SKU008,2020-02-01,142.7,3171,0.87,1.04,base
SKU009,2020-02-01,77.07,7707,0.82,1.04,base
SKU010,2020-02-01,119.13,2647,0.92,1.04,base
SKU011,2020-02-01,229.36,5097,0.88,1.04,base
SKU012,2020-02-01,115.51,11551,0.94,1.04,base
SKU013,2020-02-01,197.05,4379,0.89,1.04,base
SKU014,2020-02-01,91.66,9166,0.88,1.04,base
SKU001,2020-02-02,305.15,6781,0.81,1.04,base
SKU002,2020-02-02,121.55,12155,0.82,1.04,base
SKU003,2020-02-02,30.21,30210,0.93,1.04,base
SKU004,2020-02-02,225.88,5020,0.95,1.04,base
SKU005,2020-02-02,91.51,9151,0.86,1.04,base
SKU006,2020-02-02,117.74,2616,0.92,1.04,base
SKU007,2020-02-02,93.55,9355,0.89,1.04,base
SKU008,2020-02-02,154.36,3430,0.94,1.04,base
SKU009,2020-02-02,81.01,8101,0.84,1.04,base
SKU010,2020-02-02,130.31,2896,0.88,1.04,base
SKU011,2020-02-02,261.56,5812,0.86,1.04,base
SKU012,2020-02-02,119.24,11924,0.88,1.04,base
SKU013,2020-02-02,209.36,4652,0.84,1.04,base
SKU014,2020-02-02,98.64,9864,0.87,1.04,base
SKU001,2020-02-03,278.79,6195,0.89,1.04,base
SKU002,2020-02-03,126.09,12609,0.81,1.04,base
SKU003,2020-02-03,33.79,33790,0.91,1.04,base
SKU004,2020-02-03,192.78,4284,0.91,1.04,base
SKU005,2020-02-03,90.37,9037,0.93,1.04,base
SKU006,2020-02-03,119.91,2665,0.86,1.04,base
SKU007,2020-02-03,82.94,8294,0.81,1.04,base
SKU008,2020-02-03,156.61,3480,0.87,1.04,base
SKU009,2020-02-03,79.28,7928,0.82,1.04,base
SKU010,2020-02-03,141.72,3149,0.9,1.04,base
SKU011,2020-02-03,241.46,5366,0.81,1.04,base
SKU012,2020-02-03,123.38,12338,0.86,1.04,base
SKU013,2020-02-03,211.59,4702,0.81,1.04,base
SKU014,2020-02-03,98.48,9848,0.8,1.04,base
SKU001,2020-02-04,308.86,6864,0.94,1.05,base
SKU002,2020-02-04,129.84,12984,0.95,1.05,base
SKU003,2020-02-04,30.06,30060,0.88,1.05,base
SKU004,2020-02-04,220.0,4889,0.84,1.05,base
