mill_id,recipe_id,period,waste_pct,energy_per_ton,water_per_ton
M2,R4,2020-08,2.03,67.78,0.792
M1,R2,2020-08,2.25,64.66,0.783
M3,R4,2020-08,2.94,73.68,0.861
M3,R1,2020-08,2.16,76.05,0.82
M2,R3,2020-08,2.53,69.35,0.813
M2,R1,2020-08,1.84,67.0,0.762
M2,R2,2020-08,1.91,67.56,0.77
M2,R1,2020-09,1.92,67.02,0.787
M3,R1,2020-09,1.94,76.73,0.876
M2,R4,2020-09,2.35,67.62,0.819
M3,R4,2020-09,2.46,74.59,0.815
M1,R2,2020-09,1.84,63.92,0.771
M1,R1,2020-09,1.86,63.04,0.708
M3,R5,2020-09,1.87,74.32,0.883
M2,R3,2020-09,3.02,66.7,0.736
M3,R5,2020-10,1.04,76.3,0.875
M1,R2,2020-10,1.78,64.21,0.74
M2,R3,2020-10,3.0,67.42,0.784
M2,R5,2020-10,1.01,72.01,0.787
M2,R4,2020-10,2.15,69.13,0.823
M3,R1,2020-10,1.83,80.0,0.864
M1,R1,2020-10,2.08,63.4,0.648
M1,R3,2020-10,2.66,67.18,0.753
M3,R4,2020-10,2.07,76.45,0.885
M2,R1,2020-10,1.2,66.67,0.773
M1,R1,2020-11,1.96,67.06,0.776
M2,R4,2020-11,1.94,71.11,0.77
M2,R3,2020-11,3.27,64.18,0.83
M3,R5,2020-11,1.0,77.01,0.829
M1,R2,2020-11,1.75,65.63,0.746
M2,R1,2020-11,2.06,68.29,0.812
M2,R2,2020-11,1.72,69.42,0.776
M3,R1,2020-11,1.49,77.71,0.886
M3,R4,2020-11,2.29,72.86,0.957
M3,R4,2020-12,2.26,75.92,0.863
M2,R4,2020-12,2.01,69.46,0.78
M2,R3,2020-12,3.24,69.0,0.831
M2,R2,2020-12,1.74,66.91,0.799
M2,R1,2020-12,2.07,70.44,0.781
M3,R1,2020-12,1.87,78.55,0.873
M3,R5,2020-12,2.03,77.77,0.842
M1,R3,2020-12,2.51,61.51,0.712
M1,R1,2020-12,1.7,60.54,0.73
M1,R2,2020-12,1.42,64.21,0.721
M2,R1,2021-01,1.88,66.67,0.801
M3,R5,2021-01,1.81,76.64,0.814
M1,R3,2021-01,2.74,66.64,0.728
M1,R1,2021-01,2.15,62.32,0.772
M2,R5,2021-01,1.9,67.43,0.782
M2,R4,2021-01,2.42,68.41,0.795
M2,R3,2021-01,2.75,69.98,0.8
M1,R2,2021-01,1.02,67.45,0.693
M3,R1,2021-01,1.53,77.67,0.879
M3,R1,2021-02,2.07,77.25,0.842
M2,R4,2021-02,2.26,64.23,0.824
M2,R2,2021-02,2.03,67.88,0.817
M2,R5,2021-02,1.82,65.87,0.739
M1,R3,2021-02,2.54,63.58,0.728
M1,R1,2021-02,2.07,65.74,0.777
M3,R5,2021-02,1.46,73.85,0.846
M2,R1,2021-02,1.36,67.39,0.786
M1,R2,2021-02,1.62,61.84,0.777
M2,R3,2021-02,2.5,66.92,0.777
M3,R4,2021-02,2.0,72.33,0.802
M2,R3,2021-03,3.33,67.05,0.78
M3,R1,2021-03,1.7,71.33,0.886
M2,R1,2021-03,1.82,66.69,0.792
M2,R4,2021-03,1.82,69.64,0.778
M1,R4,2021-03,1.84,64.53,0.722
M1,R1,2021-03,2.02,66.14,0.752
M1,R3,2021-03,2.26,63.8,0.717
M1,R2,2021-03,1.92,66.16,0.75
M3,R5,2021-03,1.95,78.79,0.818
M2,R1,2021-04,2.14,70.47,0.779
M1,R2,2021-04,1.97,66.72,0.738
M3,R5,2021-04,1.36,74.41,0.836
M1,R3,2021-04,2.6,66.76,0.772
M2,R3,2021-04,3.02,63.53,0.795
M2,R4,2021-04,2.34,67.32,0.845
M3,R4,2021-04,2.21,74.19,0.833
M2,R2,2021-04,1.51,67.42,0.741
M1,R1,2021-04,2.45,64.55,0.721
M3,R1,2021-04,1.94,74.43,0.922
M2,R5,2021-04,1.26,68.5,0.747
M2,R5,2021-05,1.7,68.78,0.831
M3,R4,2021-05,2.25,78.45,0.904
M3,R3,2021-05,3.16,75.85,0.846
M3,R1,2021-05,1.93,76.52,0.832
M1,R1,2021-05,1.98,64.05,0.738
M3,R5,2021-05,1.83,74.05,0.93
M2,R1,2021-05,1.5,67.98,0.778
M1,R3,2021-05,2.97,66.95,0.76
M1,R2,2021-05,1.27,64.15,0.648
M2,R4,2021-05,2.11,69.24,0.768
M2,R3,2021-05,2.88,69.65,0.72
M1,R4,2021-05,2.56,65.35,0.754
M2,R2,2021-06,1.57,66.39,0.805
M2,R1,2021-06,1.21,69.54,0.789
M3,R5,2021-06,1.41,77.35,0.937
M3,R1,2021-06,1.33,76.56,0.837
M1,R2,2021-06,1.98,65.19,0.682
M3,R4,2021-06,2.5,74.25,0.818
M1,R3,2021-06,2.65,67.74,0.657
M1,R1,2021-06,2.11,63.68,0.729
M2,R3,2021-06,2.62,71.05,0.765
M2,R4,2021-06,2.11,69.61,0.764
M2,R5,2021-06,1.44,68.25,0.777
M1,R2,2021-07,1.48,69.32,0.747
M3,R5,2021-07,1.66,78.0,0.857
M2,R2,2021-07,1.81,65.67,0.755
M1,R3,2021-07,2.63,64.63,0.77
M3,R4,2021-07,2.58,79.55,0.87
M3,R1,2021-07,1.42,76.96,0.886
M2,R5,2021-07,1.36,70.08,0.849
M2,R1,2021-07,2.28,67.9,0.772
M1,R4,2021-07,1.7,63.47,0.718
M2,R4,2021-07,2.5,68.06,0.742
M2,R3,2021-07,2.56,68.58,0.725
M1,R1,2021-07,1.79,63.29,0.753
M3,R4,2021-08,1.82,76.17,0.893
M1,R3,2021-08,2.71,64.18,0.714
M2,R3,2021-08,2.87,67.33,0.727
M3,R1,2021-08,2.19,77.65,0.86
M2,R1,2021-08,2.0,71.73,0.832
M1,R4,2021-08,1.86,67.56,0.737
M1,R2,2021-08,2.09,64.77,0.689
M2,R4,2021-08,2.44,67.08,0.796
M3,R5,2021-08,1.51,74.36,0.843
M1,R1,2021-08,2.21,64.27,0.777
M2,R5,2021-09,1.49,69.08,0.782
M3,R4,2021-09,2.33,79.47,0.872
M1,R3,2021-09,2.45,67.44,0.79
M2,R4,2021-09,2.24,69.41,0.768
M1,R1,2021-09,1.64,68.37,0.758
M3,R1,2021-09,2.02,73.83,0.834
M1,R2,2021-09,1.96,66.3,0.73
M2,R2,2021-09,1.59,68.66,0.797
M2,R1,2021-09,2.46,68.41,0.737
M3,R5,2021-09,1.03,74.0,0.885
M2,R3,2021-09,2.98,67.0,0.736
M3,R4,2021-10,2.28,71.78,0.803
M2,R1,2021-10,1.91,70.98,0.815
M3,R1,2021-10,2.41,76.81,0.829
M2,R2,2021-10,1.73,66.15,0.743
M1,R1,2021-10,2.03,59.85,0.772
M3,R5,2021-10,1.3,78.62,0.85
M2,R4,2021-10,2.4,66.34,0.784
M1,R2,2021-10,1.45,66.66,0.722
M2,R3,2021-10,3.13,67.69,0.795
M2,R4,2021-11,2.16,73.3,0.776
M3,R5,2021-11,1.39,71.07,0.895
M1,R2,2021-11,1.64,62.53,0.697
M3,R1,2021-11,2.15,76.67,0.946
M1,R1,2021-11,1.86,62.72,0.717
M2,R1,2021-11,1.84,70.56,0.839
M2,R3,2021-11,3.22,70.26,0.761
M2,R4,2021-12,2.03,68.85,0.789
M1,R1,2021-12,2.13,68.14,0.733
M2,R3,2021-12,2.87,67.75,0.787
M3,R1,2021-12,1.84,77.38,0.812
M2,R5,2021-12,1.09,71.6,0.819
M1,R2,2021-12,1.39,69.72,0.717
M3,R5,2021-12,1.58,72.86,0.866
M2,R1,2021-12,1.4,68.07,0.777
M1,R3,2021-12,2.5,66.06,0.706
M2,R2,2022-01,1.55,68.55,0.818
M2,R4,2022-01,1.58,69.88,0.808
M1,R3,2022-01,2.72,65.2,0.709
M3,R4,2022-01,2.55,79.33,0.841
M1,R2,2022-01,2.03,64.22,0.791
M2,R3,2022-01,2.7,66.59,0.792
M3,R1,2022-01,1.39,73.94,0.826
M2,R1,2022-01,2.7,67.37,0.783
M3,R5,2022-01,1.51,76.99,0.9
M1,R1,2022-01,1.76,66.62,0.733
M1,R1,2022-02,2.14,61.97,0.773
M1,R3,2022-02,2.89,60.61,0.722
M3,R5,2022-02,1.0,74.54,0.899
M1,R4,2022-02,2.29,60.59,0.78
M2,R3,2022-02,3.4,72.77,0.747
M1,R2,2022-02,1.8,64.34,0.735
M2,R4,2022-02,2.47,68.52,0.786
M3,R1,2022-02,2.24,76.51,0.875
M3,R4,2022-02,2.02,76.07,0.887
M2,R1,2022-02,2.01,67.85,0.762
M2,R5,2022-02,1.64,71.13,0.823
M2,R4,2022-03,2.49,67.13,0.781
M1,R2,2022-03,1.7,65.99,0.727
M3,R1,2022-03,2.43,72.43,0.829
M2,R3,2022-03,2.81,66.28,0.745
M1,R3,2022-03,2.21,64.06,0.758
M1,R1,2022-03,2.0,64.31,0.731
M2,R1,2022-03,1.81,68.1,0.823
M3,R4,2022-03,2.11,76.03,0.829
M3,R5,2022-03,1.25,75.81,0.837
M2,R2,2022-03,1.64,70.66,0.81
M2,R5,2022-04,1.72,70.24,0.807
M2,R2,2022-04,2.01,68.6,0.808
M2,R1,2022-04,1.76,71.54,0.814
M3,R1,2022-04,1.4,73.27,0.862
M2,R3,2022-04,2.32,66.53,0.756
M1,R1,2022-04,2.4,66.28,0.731
M2,R4,2022-04,2.57,72.63,0.764
M3,R4,2022-04,2.28,74.7,0.869
M1,R3,2022-04,2.61,63.83,0.721
M1,R2,2022-04,1.66,65.02,0.772
M3,R5,2022-04,1.88,73.0,0.848
M1,R4,2022-04,2.93,63.96,0.74
M1,R3,2022-05,2.37,64.18,0.737
M2,R1,2022-05,2.69,70.74,0.757
M1,R4,2022-05,1.77,61.25,0.74
M1,R2,2022-05,2.25,64.02,0.709
M3,R5,2022-05,1.41,76.75,0.867
M2,R4,2022-05,1.96,66.39,0.841
M2,R5,2022-05,1.67,70.3,0.776
M1,R1,2022-05,1.47,66.78,0.714
M3,R4,2022-05,2.29,75.97,0.829
M2,R3,2022-05,2.61,67.02,0.788
M3,R1,2022-05,2.04,80.0,0.819
M2,R1,2022-06,2.05,69.55,0.748
M2,R4,2022-06,2.17,68.71,0.802
M1,R1,2022-06,1.72,62.74,0.738
M3,R5,2022-06,1.08,75.05,0.91
M3,R1,2022-06,1.94,76.13,0.852
M1,R3,2022-06,2.76,63.1,0.745
M2,R2,2022-06,1.59,68.25,0.81
M1,R2,2022-06,1.83,66.03,0.712
M2,R5,2022-06,1.93,65.66,0.832
M3,R4,2022-06,2.41,77.07,0.878
M2,R3,2022-06,2.41,68.98,0.824
M3,R5,2022-07,1.81,76.87,0.909
M1,R3,2022-07,3.23,63.92,0.716
M1,R2,2022-07,2.03,62.12,0.676
M1,R4,2022-07,2.22,63.88,0.716
M2,R4,2022-07,1.77,68.24,0.742
M2,R1,2022-07,2.32,67.69,0.781
M2,R3,2022-07,2.8,68.04,0.703
M3,R1,2022-07,1.34,74.21,0.849
M1,R1,2022-07,1.83,63.29,0.741
M2,R2,2022-07,2.01,65.6,0.78
M2,R5,2022-07,1.23,70.36,0.764
M3,R4,2022-07,2.53,74.41,0.861
M3,R5,2022-08,1.44,78.76,0.857
M2,R2,2022-08,2.06,67.34,0.796
M2,R4,2022-08,2.36,67.89,0.761
M1,R1,2022-08,2.08,62.69,0.743
M2,R3,2022-08,3.46,67.66,0.825
M3,R4,2022-08,2.14,74.57,0.868
M1,R4,2022-08,1.97,63.1,0.77
M2,R1,2022-08,2.12,67.07,0.81
M3,R1,2022-08,1.62,72.67,0.836
M1,R2,2022-08,1.81,67.73,0.772
M1,R3,2022-08,2.6,67.66,0.791
M2,R1,2022-09,2.41,65.84,0.807
M3,R1,2022-09,2.11,75.87,0.864
M3,R4,2022-09,1.93,77.04,0.836
M2,R4,2022-09,2.17,67.3,0.819
M2,R3,2022-09,3.07,68.61,0.817
M3,R5,2022-09,1.77,79.75,0.853
M2,R2,2022-09,1.47,66.88,0.781
M1,R1,2022-09,2.12,64.19,0.753
M1,R2,2022-09,1.72,65.44,0.739
M2,R1,2022-10,1.99,68.05,0.789
M2,R4,2022-10,2.19,68.01,0.769
M3,R4,2022-10,1.92,76.31,0.829
M3,R5,2022-10,1.29,78.26,0.877
M1,R3,2022-10,2.63,66.58,0.723
M2,R3,2022-10,3.07,66.44,0.755
M3,R1,2022-10,2.44,79.69,0.839
M1,R2,2022-10,2.48,65.89,0.672
M1,R1,2022-10,2.17,65.62,0.721
M2,R2,2022-10,2.04,67.48,0.846
M2,R4,2022-11,2.77,69.74,0.786
M1,R1,2022-11,2.06,67.22,0.763
M3,R4,2022-11,2.62,71.62,0.788
M1,R4,2022-11,2.36,65.31,0.782
M2,R5,2022-11,1.67,70.25,0.801
M1,R2,2022-11,1.43,64.0,0.686
M2,R3,2022-11,2.92,69.35,0.783
M1,R3,2022-11,2.99,65.62,0.707
M2,R1,2022-11,2.02,67.6,0.799
M3,R1,2022-11,2.03,76.27,0.876
M3,R5,2022-11,1.25,76.66,0.866
M3,R1,2022-12,2.02,77.45,0.83
M2,R3,2022-12,3.34,70.36,0.792
M2,R2,2022-12,1.33,68.83,0.844
M3,R5,2022-12,1.23,76.66,0.872
M1,R2,2022-12,1.53,63.62,0.741
M2,R5,2022-12,2.13,71.93,0.837
M2,R1,2022-12,1.94,71.28,0.79
M2,R4,2022-12,2.26,69.2,0.789
M1,R1,2022-12,1.98,61.93,0.693
M1,R3,2022-12,3.13,65.39,0.73
M3,R4,2022-12,1.9,77.63,0.836
M2,R1,2023-01,2.37,69.75,0.773
M3,R5,2023-01,1.54,73.62,0.862
M1,R2,2023-01,1.85,62.27,0.776
M2,R4,2023-01,2.66,69.47,0.772
M1,R3,2023-01,2.72,62.67,0.77
M3,R1,2023-01,1.97,74.85,0.872
M3,R4,2023-01,2.5,77.81,0.844
M1,R1,2023-01,1.84,66.73,0.786
M2,R3,2023-01,3.11,67.34,0.787
M2,R5,2023-01,1.97,67.58,0.816
M3,R5,2023-02,2.11,76.8,0.787
M3,R4,2023-02,1.57,73.56,0.871
M2,R1,2023-02,2.18,68.66,0.793
M3,R1,2023-02,2.19,74.74,0.878
M2,R4,2023-02,2.34,68.05,0.804
M1,R1,2023-02,2.23,65.07,0.664
M2,R3,2023-02,3.06,69.1,0.782
M1,R2,2023-02,1.36,66.22,0.706
M2,R2,2023-02,1.11,69.94,0.767
M1,R3,2023-02,3.15,65.76,0.723
M1,R4,2023-02,2.39,69.29,0.744
M2,R1,2023-03,2.53,70.38,0.764
M2,R5,2023-03,1.88,67.32,0.782
M2,R4,2023-03,2.31,70.41,0.78
M2,R2,2023-03,2.15,63.94,0.857
M1,R3,2023-03,2.29,65.82,0.743
M3,R1,2023-03,1.86,76.55,0.878
M2,R3,2023-03,2.74,68.21,0.815
M1,R2,2023-03,1.31,61.48,0.7
M3,R5,2023-03,1.37,75.31,0.864
M1,R1,2023-03,1.77,64.22,0.676
M3,R4,2023-03,2.39,74.27,0.801
M2,R3,2023-04,2.24,69.74,0.758
M1,R2,2023-04,1.74,65.14,0.669
M3,R1,2023-04,2.07,75.98,0.895
M1,R1,2023-04,2.12,69.57,0.745
M2,R1,2023-04,1.95,71.3,0.822
M3,R5,2023-04,1.56,77.62,0.857
M2,R4,2023-04,1.77,65.62,0.792
M3,R4,2023-04,2.17,74.03,0.906
M2,R2,2023-04,1.83,71.12,0.821
M1,R3,2023-04,3.31,64.72,0.721
M3,R3,2023-04,2.67,76.68,0.843
M1,R1,2023-05,2.05,68.1,0.701
M3,R4,2023-05,2.44,79.23,0.835
M3,R5,2023-05,2.12,75.93,0.856
M1,R2,2023-05,1.51,63.68,0.698
M3,R1,2023-05,2.48,76.09,0.812
M2,R4,2023-05,1.97,68.4,0.764
M2,R1,2023-05,1.71,68.42,0.775
M2,R3,2023-05,2.21,68.54,0.809
M1,R3,2023-05,2.98,62.16,0.755
M3,R4,2023-06,2.13,74.86,0.844
M3,R1,2023-06,1.67,76.85,0.82
M2,R1,2023-06,2.21,68.4,0.776
M2,R5,2023-06,1.68,68.0,0.774
M2,R2,2023-06,1.73,66.27,0.846
M1,R1,2023-06,1.53,61.07,0.73
M1,R4,2023-06,1.88,67.39,0.716
M1,R2,2023-06,2.12,65.15,0.747
M2,R4,2023-06,1.85,68.2,0.723
M1,R3,2023-06,2.42,67.58,0.639
M2,R3,2023-06,2.54,70.6,0.787
M3,R5,2023-06,1.52,78.55,0.872
M2,R5,2023-07,1.53,68.78,0.825
M1,R2,2023-07,1.99,62.87,0.72
M3,R4,2023-07,2.17,77.17,0.873
M2,R1,2023-07,2.09,65.97,0.734
M3,R1,2023-07,2.04,77.79,0.811
M2,R3,2023-07,3.49,73.51,0.76
M1,R1,2023-07,2.12,68.15,0.736
M1,R3,2023-07,2.38,64.42,0.745
M2,R4,2023-07,2.29,68.2,0.762
M2,R2,2023-07,1.89,72.52,0.749
M1,R4,2023-07,2.31,61.94,0.7
M3,R5,2023-07,1.18,72.67,0.817
M3,R4,2023-08,2.26,78.57,0.847
M1,R1,2023-08,2.79,64.74,0.785
M1,R3,2023-08,2.61,65.53,0.727
M2,R2,2023-08,1.46,67.61,0.753
M3,R1,2023-08,1.93,72.28,0.87
M2,R3,2023-08,2.52,70.06,0.771
M2,R4,2023-08,1.55,68.2,0.767
M1,R2,2023-08,1.95,67.2,0.758
M3,R5,2023-08,1.48,77.63,0.876
M2,R1,2023-08,1.81,71.55,0.775
M2,R2,2023-09,1.73,69.27,0.828
M2,R1,2023-09,1.64,70.68,0.792
M3,R1,2023-09,1.89,75.39,0.828
M3,R4,2023-09,1.86,77.71,0.874
M1,R3,2023-09,2.88,66.33,0.778
M1,R2,2023-09,1.87,62.68,0.698
M2,R3,2023-09,3.12,70.38,0.707
M2,R5,2023-09,1.57,66.73,0.839
M2,R4,2023-09,2.82,68.38,0.789
M3,R5,2023-09,1.57,78.38,0.84
M1,R1,2023-09,2.61,62.02,0.764
M2,R3,2023-10,2.92,67.72,0.825
M3,R1,2023-10,1.87,77.74,0.844
M1,R3,2023-10,3.25,61.71,0.737
M1,R4,2023-10,2.45,65.65,0.711
M1,R2,2023-10,1.22,58.97,0.763
M3,R5,2023-10,1.19,76.15,0.808
M3,R4,2023-10,2.24,76.19,0.835
M2,R2,2023-10,2.08,68.87,0.74
M1,R1,2023-10,2.34,67.21,0.694
M2,R1,2023-10,2.12,67.64,0.741
M2,R4,2023-10,2.29,69.93,0.808
M1,R1,2023-11,2.18,67.31,0.655
M1,R4,2023-11,2.77,63.68,0.703
M3,R4,2023-11,2.22,78.19,0.836
M1,R3,2023-11,2.72,67.75,0.716
M3,R5,2023-11,1.37,76.07,0.878
M1,R2,2023-11,1.71,64.03,0.692
M2,R1,2023-11,1.34,70.68,0.823
M3,R1,2023-11,1.97,75.13,0.879
M2,R3,2023-11,3.06,67.43,0.769
M2,R4,2023-11,1.8,67.77,0.804
M2,R4,2023-12,2.12,67.85,0.806
M1,R1,2023-12,1.66,64.87,0.741
M2,R2,2023-12,2.37,67.84,0.782
M1,R2,2023-12,2.13,62.91,0.758
M2,R1,2023-12,1.91,64.04,0.758
M3,R1,2023-12,1.95,79.35,0.883
M2,R3,2023-12,2.91,69.03,0.768
M3,R4,2023-12,2.7,72.9,0.847
M3,R5,2023-12,1.26,76.15,0.874
M3,R1,2024-01,1.83,77.79,0.788
M3,R5,2024-01,2.12,77.48,0.805
M2,R4,2024-01,2.63,71.15,0.759
M3,R4,2024-01,2.47,77.39,0.839
M1,R4,2024-01,2.13,66.47,0.753
M2,R3,2024-01,2.42,66.34,0.756
M1,R1,2024-01,2.12,65.6,0.75
M1,R2,2024-01,1.63,64.2,0.718
M2,R2,2024-01,1.82,70.49,0.812
M2,R5,2024-01,1.53,66.06,0.765
M2,R1,2024-01,2.31,67.79,0.792
M1,R3,2024-01,2.85,62.15,0.752
M2,R2,2024-02,2.16,71.15,0.815
M2,R3,2024-02,3.2,70.75,0.825
M2,R4,2024-02,2.19,70.65,0.773
M3,R4,2024-02,2.44,75.82,0.864
M2,R1,2024-02,2.01,68.86,0.816
M1,R1,2024-02,2.63,64.97,0.733
M3,R1,2024-02,2.16,74.76,0.859
M1,R3,2024-02,3.18,64.41,0.734
M1,R2,2024-02,2.41,63.05,0.74
M3,R5,2024-02,1.11,78.93,0.813
M1,R1,2024-03,1.84,64.51,0.723
M2,R4,2024-03,2.0,68.84,0.79
M1,R3,2024-03,2.66,67.62,0.729
M3,R4,2024-03,2.27,75.78,0.893
M1,R4,2024-03,2.81,66.27,0.671
M2,R3,2024-03,3.22,70.11,0.766
M2,R1,2024-03,1.65,69.35,0.736
M1,R2,2024-03,2.04,65.18,0.751
M3,R1,2024-03,1.89,75.22,0.841
M3,R3,2024-03,2.87,75.5,0.98
M2,R5,2024-03,1.74,67.58,0.8
M3,R5,2024-03,1.31,75.61,0.82
M2,R1,2024-04,1.97,70.59,0.754
M2,R5,2024-04,1.79,65.91,0.813
M2,R3,2024-04,3.04,67.51,0.792
M2,R4,2024-04,2.3,69.09,0.846
M1,R3,2024-04,2.96,62.26,0.763
M2,R2,2024-04,1.59,68.22,0.807
M3,R4,2024-04,2.45,76.68,0.787
M1,R2,2024-04,2.07,61.99,0.678
M1,R4,2024-04,2.02,67.5,0.731
M3,R1,2024-04,1.82,75.64,0.865
M3,R5,2024-04,1.04,77.94,0.81
M1,R1,2024-04,1.53,67.99,0.721
M3,R5,2024-05,1.27,75.27,0.839
M1,R3,2024-05,2.98,64.05,0.748
M2,R1,2024-05,1.91,67.03,0.797
M3,R1,2024-05,1.76,74.69,0.86
M3,R4,2024-05,1.72,78.79,0.891
M2,R3,2024-05,3.06,69.83,0.726
M1,R2,2024-05,1.87,64.71,0.703
M2,R4,2024-05,2.16,65.73,0.88
M2,R2,2024-05,2.12,66.87,0.817
M1,R1,2024-05,2.27,64.2,0.699
M1,R3,2024-06,2.59,66.34,0.733
M1,R1,2024-06,1.77,67.4,0.68
M3,R5,2024-06,1.42,76.54,0.876
M2,R5,2024-06,1.12,65.24,0.79
M2,R4,2024-06,2.28,68.3,0.771
M3,R1,2024-06,2.22,75.32,0.851
M2,R3,2024-06,2.94,73.03,0.852
M1,R2,2024-06,2.08,64.08,0.742
M3,R4,2024-06,2.47,78.33,0.866
M2,R1,2024-06,2.82,69.88,0.807
M2,R2,2024-06,1.78,66.24,0.748
M2,R4,2024-07,2.07,70.0,0.756
M1,R2,2024-07,1.66,62.78,0.712
M3,R5,2024-07,1.69,75.66,0.876
M2,R2,2024-07,1.81,70.94,0.772
M1,R1,2024-07,1.69,65.83,0.702
M3,R4,2024-07,1.96,75.73,0.9
M2,R1,2024-07,2.66,70.35,0.712
M3,R1,2024-07,1.56,74.38,0.908
M2,R5,2024-07,1.24,67.4,0.795
M1,R3,2024-07,3.22,67.22,0.786
M2,R3,2024-07,2.72,69.07,0.763
M3,R1,2024-08,2.07,75.96,0.868
M3,R4,2024-08,1.82,76.84,0.867
M1,R1,2024-08,2.11,62.23,0.71
M1,R3,2024-08,2.62,62.06,0.698
M3,R5,2024-08,1.74,77.2,0.842
M1,R2,2024-08,2.24,62.36,0.723
M2,R5,2024-08,1.22,68.91,0.817
M2,R3,2024-08,3.0,70.07,0.732
M2,R2,2024-08,1.75,66.15,0.818
M2,R1,2024-08,2.15,68.28,0.795
M2,R4,2024-08,2.22,69.97,0.754
M1,R4,2024-08,2.41,67.94,0.72
M2,R4,2024-09,2.28,66.53,0.761
M1,R3,2024-09,2.9,62.53,0.736
M3,R4,2024-09,2.17,74.53,0.875
M1,R2,2024-09,1.4,67.4,0.727
M2,R3,2024-09,2.87,69.21,0.803
M3,R5,2024-09,1.35,76.31,0.806
M2,R1,2024-09,2.16,67.83,0.767
M3,R1,2024-09,2.14,77.31,0.84
M2,R2,2024-09,1.45,69.0,0.792
M1,R4,2024-09,1.91,66.77,0.767
M1,R1,2024-09,2.27,64.41,0.832
M2,R2,2024-10,1.5,69.8,0.763
M2,R3,2024-10,2.62,69.25,0.776
M2,R4,2024-10,2.38,65.98,0.825
M1,R3,2024-10,2.84,64.27,0.761
M3,R1,2024-10,1.29,77.5,0.848
M2,R5,2024-10,1.37,68.28,0.771
M2,R1,2024-10,1.71,66.3,0.792
M3,R5,2024-10,1.62,74.35,0.866
M3,R4,2024-10,2.37,75.67,0.821
M1,R2,2024-10,1.43,62.14,0.677
M1,R4,2024-10,2.37,64.39,0.747
M1,R1,2024-10,2.04,64.62,0.737
M3,R1,2024-11,1.76,76.79,0.802
M2,R2,2024-11,1.88,67.31,0.817
